 frequency       vdb(in)         vdb(out)       
 1.00000000e+02 -2.44369750e+01 -3.03098208e+01 
 1.25892541e+02 -2.44369750e+01 -3.03098208e+01 
 1.58489319e+02 -2.44369750e+01 -3.03098208e+01 
 1.99526231e+02 -2.44369750e+01 -3.03098208e+01 
 2.51188643e+02 -2.44369750e+01 -3.03098208e+01 
 3.16227766e+02 -2.44369750e+01 -3.03098208e+01 
 3.98107171e+02 -2.44369750e+01 -3.03098208e+01 
 5.01187234e+02 -2.44369750e+01 -3.03098208e+01 
 6.30957344e+02 -2.44369750e+01 -3.03098208e+01 
 7.94328235e+02 -2.44369750e+01 -3.03098208e+01 
 1.00000000e+03 -2.44369750e+01 -3.03098208e+01 
 1.25892541e+03 -2.44369750e+01 -3.03098208e+01 
 1.58489319e+03 -2.44369750e+01 -3.03098208e+01 
 1.99526231e+03 -2.44369750e+01 -3.03098208e+01 
 2.51188643e+03 -2.44369750e+01 -3.03098208e+01 
 3.16227766e+03 -2.44369750e+01 -3.03098208e+01 
 3.98107171e+03 -2.44369750e+01 -3.03098208e+01 
 5.01187234e+03 -2.44369750e+01 -3.03098208e+01 
 6.30957344e+03 -2.44369750e+01 -3.03098208e+01 
 7.94328235e+03 -2.44369750e+01 -3.03098208e+01 
 1.00000000e+04 -2.44369750e+01 -3.03098208e+01 
 1.25892541e+04 -2.44369750e+01 -3.03098209e+01 
 1.58489319e+04 -2.44369750e+01 -3.03098209e+01 
 1.99526231e+04 -2.44369750e+01 -3.03098210e+01 
 2.51188643e+04 -2.44369750e+01 -3.03098211e+01 
 3.16227766e+04 -2.44369750e+01 -3.03098213e+01 
 3.98107171e+04 -2.44369750e+01 -3.03098216e+01 
 5.01187234e+04 -2.44369750e+01 -3.03098221e+01 
 6.30957344e+04 -2.44369750e+01 -3.03098229e+01 
 7.94328235e+04 -2.44369750e+01 -3.03098241e+01 
 1.00000000e+05 -2.44369750e+01 -3.03098261e+01 
 1.25892541e+05 -2.44369750e+01 -3.03098291e+01 
 1.58489319e+05 -2.44369750e+01 -3.03098340e+01 
 1.99526231e+05 -2.44369750e+01 -3.03098418e+01 
 2.51188643e+05 -2.44369750e+01 -3.03098540e+01 
 3.16227766e+05 -2.44369750e+01 -3.03098735e+01 
 3.98107171e+05 -2.44369750e+01 -3.03099043e+01 
 5.01187234e+05 -2.44369750e+01 -3.03099531e+01 
 6.30957344e+05 -2.44369750e+01 -3.03100305e+01 
 7.94328235e+05 -2.44369750e+01 -3.03101532e+01 
 1.00000000e+06 -2.44369750e+01 -3.03103476e+01 
 1.25892541e+06 -2.44369750e+01 -3.03106556e+01 
 1.58489319e+06 -2.44369750e+01 -3.03111439e+01 
 1.99526231e+06 -2.44369750e+01 -3.03119175e+01 
 2.51188643e+06 -2.44369750e+01 -3.03131434e+01 
 3.16227766e+06 -2.44369750e+01 -3.03150856e+01 
 3.98107171e+06 -2.44369750e+01 -3.03181621e+01 
 5.01187234e+06 -2.44369750e+01 -3.03230334e+01 
 6.30957344e+06 -2.44369750e+01 -3.03307428e+01 
 7.94328235e+06 -2.44369750e+01 -3.03429334e+01 
 1.00000000e+07 -2.44369750e+01 -3.03621845e+01 
 1.25892541e+07 -2.44369750e+01 -3.03925219e+01 
 1.58489319e+07 -2.44369750e+01 -3.04401739e+01 
 1.99526231e+07 -2.44369750e+01 -3.05146434e+01 
 2.51188643e+07 -2.44369750e+01 -3.06301175e+01 
 3.16227766e+07 -2.44369750e+01 -3.08070723e+01 
 3.98107171e+07 -2.44369750e+01 -3.10735607e+01 
 5.01187234e+07 -2.44369750e+01 -3.14650692e+01 
 6.30957344e+07 -2.44369750e+01 -3.20213183e+01 
 7.94328235e+07 -2.44369750e+01 -3.27788986e+01 
 1.00000000e+08 -2.44369750e+01 -3.37611601e+01 
 1.25892541e+08 -2.44369750e+01 -3.49702175e+01 
 1.58489319e+08 -2.44369750e+01 -3.63862878e+01 
 1.99526231e+08 -2.44369750e+01 -3.79748787e+01 
 2.51188643e+08 -2.44369750e+01 -3.96970917e+01 
 3.16227766e+08 -2.44369750e+01 -4.15178230e+01 
 3.98107171e+08 -2.44369750e+01 -4.34098950e+01 
 5.01187234e+08 -2.44369750e+01 -4.53550132e+01 
 6.30957344e+08 -2.44369750e+01 -4.73432523e+01 
 7.94328235e+08 -2.44369750e+01 -4.93723549e+01 
 1.00000000e+09 -2.44369750e+01 -5.14474624e+01 
