 frequency       vdb(in)         vdb(out)       
 1.00000000e+02 -2.44369750e+01 -6.60316244e+00 
 1.25892541e+02 -2.44369750e+01 -6.60316244e+00 
 1.58489319e+02 -2.44369750e+01 -6.60316244e+00 
 1.99526231e+02 -2.44369750e+01 -6.60316244e+00 
 2.51188643e+02 -2.44369750e+01 -6.60316244e+00 
 3.16227766e+02 -2.44369750e+01 -6.60316244e+00 
 3.98107171e+02 -2.44369750e+01 -6.60316244e+00 
 5.01187234e+02 -2.44369750e+01 -6.60316244e+00 
 6.30957344e+02 -2.44369750e+01 -6.60316244e+00 
 7.94328235e+02 -2.44369750e+01 -6.60316244e+00 
 1.00000000e+03 -2.44369750e+01 -6.60316244e+00 
 1.25892541e+03 -2.44369750e+01 -6.60316244e+00 
 1.58489319e+03 -2.44369750e+01 -6.60316244e+00 
 1.99526231e+03 -2.44369750e+01 -6.60316244e+00 
 2.51188643e+03 -2.44369750e+01 -6.60316244e+00 
 3.16227766e+03 -2.44369750e+01 -6.60316244e+00 
 3.98107171e+03 -2.44369750e+01 -6.60316244e+00 
 5.01187234e+03 -2.44369750e+01 -6.60316244e+00 
 6.30957344e+03 -2.44369750e+01 -6.60316244e+00 
 7.94328235e+03 -2.44369750e+01 -6.60316244e+00 
 1.00000000e+04 -2.44369750e+01 -6.60316244e+00 
 1.25892541e+04 -2.44369750e+01 -6.60316244e+00 
 1.58489319e+04 -2.44369750e+01 -6.60316244e+00 
 1.99526231e+04 -2.44369750e+01 -6.60316244e+00 
 2.51188643e+04 -2.44369750e+01 -6.60316244e+00 
 3.16227766e+04 -2.44369750e+01 -6.60316244e+00 
 3.98107171e+04 -2.44369750e+01 -6.60316244e+00 
 5.01187234e+04 -2.44369750e+01 -6.60316244e+00 
 6.30957344e+04 -2.44369750e+01 -6.60316244e+00 
 7.94328235e+04 -2.44369750e+01 -6.60316244e+00 
 1.00000000e+05 -2.44369750e+01 -6.60316245e+00 
 1.25892541e+05 -2.44369750e+01 -6.60316245e+00 
 1.58489319e+05 -2.44369750e+01 -6.60316245e+00 
 1.99526231e+05 -2.44369750e+01 -6.60316246e+00 
 2.51188643e+05 -2.44369750e+01 -6.60316247e+00 
 3.16227766e+05 -2.44369750e+01 -6.60316248e+00 
 3.98107171e+05 -2.44369750e+01 -6.60316250e+00 
 5.01187234e+05 -2.44369750e+01 -6.60316254e+00 
 6.30957344e+05 -2.44369750e+01 -6.60316259e+00 
 7.94328235e+05 -2.44369750e+01 -6.60316268e+00 
 1.00000000e+06 -2.44369750e+01 -6.60316282e+00 
 1.25892541e+06 -2.44369750e+01 -6.60316304e+00 
 1.58489319e+06 -2.44369750e+01 -6.60316339e+00 
 1.99526231e+06 -2.44369750e+01 -6.60316394e+00 
 2.51188643e+06 -2.44369750e+01 -6.60316482e+00 
 3.16227766e+06 -2.44369750e+01 -6.60316621e+00 
 3.98107171e+06 -2.44369750e+01 -6.60316841e+00 
 5.01187234e+06 -2.44369750e+01 -6.60317189e+00 
 6.30957344e+06 -2.44369750e+01 -6.60317742e+00 
 7.94328235e+06 -2.44369750e+01 -6.60318619e+00 
 1.00000000e+07 -2.44369750e+01 -6.60320007e+00 
 1.25892541e+07 -2.44369750e+01 -6.60322208e+00 
 1.58489319e+07 -2.44369750e+01 -6.60325696e+00 
 1.99526231e+07 -2.44369750e+01 -6.60331225e+00 
 2.51188643e+07 -2.44369750e+01 -6.60339987e+00 
 3.16227766e+07 -2.44369750e+01 -6.60353873e+00 
 3.98107171e+07 -2.44369750e+01 -6.60375880e+00 
 5.01187234e+07 -2.44369750e+01 -6.60410756e+00 
 6.30957344e+07 -2.44369750e+01 -6.60466026e+00 
 7.94328235e+07 -2.44369750e+01 -6.60553609e+00 
 1.00000000e+08 -2.44369750e+01 -6.60692382e+00 
 1.25892541e+08 -2.44369750e+01 -6.60912232e+00 
 1.58489319e+08 -2.44369750e+01 -6.61260442e+00 
 1.99526231e+08 -2.44369750e+01 -6.61811748e+00 
 2.51188643e+08 -2.44369750e+01 -6.62684079e+00 
 3.16227766e+08 -2.44369750e+01 -6.64063054e+00 
 3.98107171e+08 -2.44369750e+01 -6.66239659e+00 
 5.01187234e+08 -2.44369750e+01 -6.69667171e+00 
 6.30957344e+08 -2.44369750e+01 -6.75044643e+00 
 7.94328235e+08 -2.44369750e+01 -6.83433375e+00 
 1.00000000e+09 -2.44369750e+01 -6.96405610e+00 
