 frequency       vdb(in)         vdb(d)         
 1.00000000e+02 -2.44369750e+01 -1.30446376e+01 
 1.25892541e+02 -2.44369750e+01 -1.30446376e+01 
 1.58489319e+02 -2.44369750e+01 -1.30446376e+01 
 1.99526231e+02 -2.44369750e+01 -1.30446376e+01 
 2.51188643e+02 -2.44369750e+01 -1.30446376e+01 
 3.16227766e+02 -2.44369750e+01 -1.30446376e+01 
 3.98107171e+02 -2.44369750e+01 -1.30446376e+01 
 5.01187234e+02 -2.44369750e+01 -1.30446376e+01 
 6.30957344e+02 -2.44369750e+01 -1.30446376e+01 
 7.94328235e+02 -2.44369750e+01 -1.30446376e+01 
 1.00000000e+03 -2.44369750e+01 -1.30446376e+01 
 1.25892541e+03 -2.44369750e+01 -1.30446376e+01 
 1.58489319e+03 -2.44369750e+01 -1.30446376e+01 
 1.99526231e+03 -2.44369750e+01 -1.30446376e+01 
 2.51188643e+03 -2.44369750e+01 -1.30446376e+01 
 3.16227766e+03 -2.44369750e+01 -1.30446376e+01 
 3.98107171e+03 -2.44369750e+01 -1.30446377e+01 
 5.01187234e+03 -2.44369750e+01 -1.30446377e+01 
 6.30957344e+03 -2.44369750e+01 -1.30446378e+01 
 7.94328235e+03 -2.44369750e+01 -1.30446380e+01 
 1.00000000e+04 -2.44369750e+01 -1.30446382e+01 
 1.25892541e+04 -2.44369750e+01 -1.30446386e+01 
 1.58489319e+04 -2.44369750e+01 -1.30446392e+01 
 1.99526231e+04 -2.44369750e+01 -1.30446402e+01 
 2.51188643e+04 -2.44369750e+01 -1.30446418e+01 
 3.16227766e+04 -2.44369750e+01 -1.30446442e+01 
 3.98107171e+04 -2.44369750e+01 -1.30446481e+01 
 5.01187234e+04 -2.44369750e+01 -1.30446543e+01 
 6.30957344e+04 -2.44369750e+01 -1.30446640e+01 
 7.94328235e+04 -2.44369750e+01 -1.30446795e+01 
 1.00000000e+05 -2.44369750e+01 -1.30447040e+01 
 1.25892541e+05 -2.44369750e+01 -1.30447429e+01 
 1.58489319e+05 -2.44369750e+01 -1.30448045e+01 
 1.99526231e+05 -2.44369750e+01 -1.30449021e+01 
 2.51188643e+05 -2.44369750e+01 -1.30450568e+01 
 3.16227766e+05 -2.44369750e+01 -1.30453019e+01 
 3.98107171e+05 -2.44369750e+01 -1.30456904e+01 
 5.01187234e+05 -2.44369750e+01 -1.30463061e+01 
 6.30957344e+05 -2.44369750e+01 -1.30472818e+01 
 7.94328235e+05 -2.44369750e+01 -1.30488276e+01 
 1.00000000e+06 -2.44369750e+01 -1.30512764e+01 
 1.25892541e+06 -2.44369750e+01 -1.30551548e+01 
 1.58489319e+06 -2.44369750e+01 -1.30612944e+01 
 1.99526231e+06 -2.44369750e+01 -1.30710074e+01 
 2.51188643e+06 -2.44369750e+01 -1.30863570e+01 
 3.16227766e+06 -2.44369750e+01 -1.31105739e+01 
 3.98107171e+06 -2.44369750e+01 -1.31486807e+01 
 5.01187234e+06 -2.44369750e+01 -1.32083992e+01 
 6.30957344e+06 -2.44369750e+01 -1.33013962e+01 
 7.94328235e+06 -2.44369750e+01 -1.34448249e+01 
 1.00000000e+07 -2.44369750e+01 -1.36628654e+01 
 1.25892541e+07 -2.44369750e+01 -1.39874669e+01 
 1.58489319e+07 -2.44369750e+01 -1.44568650e+01 
 1.99526231e+07 -2.44369750e+01 -1.51103012e+01 
 2.51188643e+07 -2.44369750e+01 -1.59788477e+01 
 3.16227766e+07 -2.44369750e+01 -1.70755872e+01 
 3.98107171e+07 -2.44369750e+01 -1.83908320e+01 
 5.01187234e+07 -2.44369750e+01 -1.98957057e+01 
 6.30957344e+07 -2.44369750e+01 -2.15515696e+01 
 7.94328235e+07 -2.44369750e+01 -2.33196057e+01 
 1.00000000e+08 -2.44369750e+01 -2.51667629e+01 
 1.25892541e+08 -2.44369750e+01 -2.70677409e+01 
 1.58489319e+08 -2.44369750e+01 -2.90044959e+01 
 1.99526231e+08 -2.44369750e+01 -3.09647768e+01 
 2.51188643e+08 -2.44369750e+01 -3.29405874e+01 
 3.16227766e+08 -2.44369750e+01 -3.49269403e+01 
 3.98107171e+08 -2.44369750e+01 -3.69209820e+01 
 5.01187234e+08 -2.44369750e+01 -3.89214575e+01 
 6.30957344e+08 -2.44369750e+01 -4.09284667e+01 
 7.94328235e+08 -2.44369750e+01 -4.29434842e+01 
 1.00000000e+09 -2.44369750e+01 -4.49696432e+01 
