 v-sweep         v(1)            i(vd)          
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
 2.00000000e-02  0.00000000e+00 -8.88682456e-12 
 4.00000000e-02  0.00000000e+00 -1.51003356e-11 
 6.00000000e-02  0.00000000e+00 -2.01898837e-11 
 8.00000000e-02  0.00000000e+00 -2.84333051e-11 
 1.00000000e-01  0.00000000e+00 -3.98652390e-11 
 1.20000000e-01  0.00000000e+00 -5.52444745e-11 
 1.40000000e-01  0.00000000e+00 -7.53808964e-11 
 1.60000000e-01  0.00000000e+00 -1.01186610e-10 
 1.80000000e-01  0.00000000e+00 -1.33702015e-10 
 2.00000000e-01  0.00000000e+00 -1.74116903e-10 
 2.20000000e-01  0.00000000e+00 -2.23791564e-10 
 2.40000000e-01  0.00000000e+00 -2.84279505e-10 
 2.60000000e-01  0.00000000e+00 -3.57352503e-10 
 2.80000000e-01  0.00000000e+00 -4.45028463e-10 
 3.00000000e-01  0.00000000e+00 -5.49602487e-10 
 3.20000000e-01  0.00000000e+00 -6.73681556e-10 
 3.40000000e-01  0.00000000e+00 -8.20223238e-10 
 3.60000000e-01  0.00000000e+00 -9.92578901e-10 
 3.80000000e-01  0.00000000e+00 -1.19454192e-09 
 4.00000000e-01  0.00000000e+00 -1.43040142e-09 
 4.20000000e-01  0.00000000e+00 -1.70500226e-09 
 4.40000000e-01  0.00000000e+00 -2.02381178e-09 
 4.60000000e-01  0.00000000e+00 -2.39299425e-09 
 4.80000000e-01  0.00000000e+00 -2.81949365e-09 
 5.00000000e-01  0.00000000e+00 -3.31112597e-09 
 5.20000000e-01  0.00000000e+00 -3.87668172e-09 
 5.40000000e-01  0.00000000e+00 -4.52604010e-09 
 5.60000000e-01  0.00000000e+00 -5.27029584e-09 
 5.80000000e-01  0.00000000e+00 -6.12190021e-09 
 6.00000000e-01  0.00000000e+00 -7.09481771e-09 
 6.20000000e-01  0.00000000e+00 -8.20470002e-09 
 6.40000000e-01  0.00000000e+00 -9.46907929e-09 
 6.60000000e-01  0.00000000e+00 -1.09075825e-08 
 6.80000000e-01  0.00000000e+00 -1.25421697e-08 
 7.00000000e-01  0.00000000e+00 -1.43973974e-08 
 7.20000000e-01  0.00000000e+00 -1.65007122e-08 
 7.40000000e-01  0.00000000e+00 -1.88827749e-08 
 7.60000000e-01  0.00000000e+00 -2.15778202e-08 
 7.80000000e-01  0.00000000e+00 -2.46240558e-08 
 8.00000000e-01  0.00000000e+00 -2.80641039e-08 
 8.20000000e-01  0.00000000e+00 -3.19454905e-08 
 8.40000000e-01  0.00000000e+00 -3.63211873e-08 
 8.60000000e-01  0.00000000e+00 -4.12502111e-08 
 8.80000000e-01  0.00000000e+00 -4.67982877e-08 
 9.00000000e-01  0.00000000e+00 -5.30385865e-08 
 9.20000000e-01  0.00000000e+00 -6.00525331e-08 
 9.40000000e-01  0.00000000e+00 -6.79307076e-08 
 9.60000000e-01  0.00000000e+00 -7.67738388e-08 
 9.80000000e-01  0.00000000e+00 -8.66939029e-08 
 1.00000000e+00  0.00000000e+00 -9.78153377e-08 
 1.02000000e+00  0.00000000e+00 -1.10276385e-07 
 1.04000000e+00  0.00000000e+00 -1.24230574e-07 
 1.06000000e+00  0.00000000e+00 -1.39848357e-07 
 1.08000000e+00  0.00000000e+00 -1.57318925e-07 
 1.10000000e+00  0.00000000e+00 -1.76852198e-07 
 1.12000000e+00  0.00000000e+00 -1.98681036e-07 
 1.14000000e+00  0.00000000e+00 -2.23063676e-07 
 1.16000000e+00  0.00000000e+00 -2.50286414e-07 
 1.18000000e+00  0.00000000e+00 -2.80666583e-07 
 1.20000000e+00  0.00000000e+00 -3.14555825e-07 
 0.00000000e+00  2.00000000e-01  1.61959384e-10 
 2.00000000e-02  2.00000000e-01 -2.03167205e-08 
 4.00000000e-02  2.00000000e-01 -2.72345981e-08 
 6.00000000e-02  2.00000000e-01 -2.98505205e-08 
 8.00000000e-02  2.00000000e-01 -3.13463474e-08 
 1.00000000e-01  2.00000000e-01 -3.24914440e-08 
 1.20000000e-01  2.00000000e-01 -3.34976278e-08 
 1.40000000e-01  2.00000000e-01 -3.44380420e-08 
 1.60000000e-01  2.00000000e-01 -3.53432245e-08 
 1.80000000e-01  2.00000000e-01 -3.62279270e-08 
 2.00000000e-01  2.00000000e-01 -3.71053938e-08 
 2.20000000e-01  2.00000000e-01 -3.79682215e-08 
 2.40000000e-01  2.00000000e-01 -3.88304772e-08 
 2.60000000e-01  2.00000000e-01 -3.96939346e-08 
 2.80000000e-01  2.00000000e-01 -4.05598038e-08 
 3.00000000e-01  2.00000000e-01 -4.14289024e-08 
 3.20000000e-01  2.00000000e-01 -4.23024810e-08 
 3.40000000e-01  2.00000000e-01 -4.31817418e-08 
 3.60000000e-01  2.00000000e-01 -4.40678993e-08 
 3.80000000e-01  2.00000000e-01 -4.49622272e-08 
 4.00000000e-01  2.00000000e-01 -4.58660958e-08 
 4.20000000e-01  2.00000000e-01 -4.67810066e-08 
 4.40000000e-01  2.00000000e-01 -4.77086240e-08 
 4.60000000e-01  2.00000000e-01 -4.86508073e-08 
 4.80000000e-01  2.00000000e-01 -4.96096439e-08 
 5.00000000e-01  2.00000000e-01 -5.05874840e-08 
 5.20000000e-01  2.00000000e-01 -5.15869781e-08 
 5.40000000e-01  2.00000000e-01 -5.26111184e-08 
 5.60000000e-01  2.00000000e-01 -5.36632830e-08 
 5.80000000e-01  2.00000000e-01 -5.47472863e-08 
 6.00000000e-01  2.00000000e-01 -5.58674334e-08 
 6.20000000e-01  2.00000000e-01 -5.70285811e-08 
 6.40000000e-01  2.00000000e-01 -5.82362053e-08 
 6.60000000e-01  2.00000000e-01 -5.94964764e-08 
 6.80000000e-01  2.00000000e-01 -6.08163425e-08 
 7.00000000e-01  2.00000000e-01 -6.22036218e-08 
 7.20000000e-01  2.00000000e-01 -6.36671064e-08 
 7.40000000e-01  2.00000000e-01 -6.52166761e-08 
 7.60000000e-01  2.00000000e-01 -6.68634257e-08 
 7.80000000e-01  2.00000000e-01 -6.86198070e-08 
 8.00000000e-01  2.00000000e-01 -7.04997850e-08 
 8.20000000e-01  2.00000000e-01 -7.25190126e-08 
