 v-sweep         v(1)            i(vd)          
 0.00000000e+00 -2.00000000e-01 -1.63046304e-09 
-2.00000000e-02 -2.00000000e-01  5.22870723e-07 
-4.00000000e-02 -2.00000000e-01  7.60379869e-07 
-6.00000000e-02 -2.00000000e-01  8.55065855e-07 
-8.00000000e-02 -2.00000000e-01  9.00664897e-07 
-1.00000000e-01 -2.00000000e-01  9.30528537e-07 
-1.20000000e-01 -2.00000000e-01  9.54609209e-07 
-1.40000000e-01 -2.00000000e-01  9.76187541e-07 
-1.60000000e-01 -2.00000000e-01  9.96529998e-07 
-1.80000000e-01 -2.00000000e-01  1.01619974e-06 
-2.00000000e-01 -2.00000000e-01  1.03547761e-06 
-2.20000000e-01 -2.00000000e-01  1.05451712e-06 
-2.40000000e-01 -2.00000000e-01  1.07340858e-06 
-2.60000000e-01 -2.00000000e-01  1.09220842e-06 
-2.80000000e-01 -2.00000000e-01  1.11095367e-06 
-3.00000000e-01 -2.00000000e-01  1.12966959e-06 
-3.20000000e-01 -2.00000000e-01  1.14837403e-06 
-3.40000000e-01 -2.00000000e-01  1.16707994e-06 
-3.60000000e-01 -2.00000000e-01  1.18578999e-06 
-3.80000000e-01 -2.00000000e-01  1.20452195e-06 
-4.00000000e-01 -2.00000000e-01  1.22327853e-06 
-4.20000000e-01 -2.00000000e-01  1.24206385e-06 
-4.40000000e-01 -2.00000000e-01  1.26088115e-06 
-4.60000000e-01 -2.00000000e-01  1.27973299e-06 
-4.80000000e-01 -2.00000000e-01  1.29862142e-06 
-5.00000000e-01 -2.00000000e-01  1.31754805e-06 
-5.20000000e-01 -2.00000000e-01  1.33651419e-06 
-5.40000000e-01 -2.00000000e-01  1.35552086e-06 
-5.60000000e-01 -2.00000000e-01  1.37456888e-06 
-5.80000000e-01 -2.00000000e-01  1.39365890e-06 
-6.00000000e-01 -2.00000000e-01  1.41279140e-06 
-6.20000000e-01 -2.00000000e-01  1.43196678e-06 
-6.40000000e-01 -2.00000000e-01  1.45118533e-06 
-6.60000000e-01 -2.00000000e-01  1.47044725e-06 
-6.80000000e-01 -2.00000000e-01  1.48975272e-06 
-7.00000000e-01 -2.00000000e-01  1.50910183e-06 
-7.20000000e-01 -2.00000000e-01  1.52849466e-06 
-7.40000000e-01 -2.00000000e-01  1.54793126e-06 
-7.60000000e-01 -2.00000000e-01  1.56741168e-06 
-7.80000000e-01 -2.00000000e-01  1.58693593e-06 
-8.00000000e-01 -2.00000000e-01  1.60650407e-06 
-8.20000000e-01 -2.00000000e-01  1.62611613e-06 
-8.40000000e-01 -2.00000000e-01  1.64577217e-06 
-8.60000000e-01 -2.00000000e-01  1.66547229e-06 
-8.80000000e-01 -2.00000000e-01  1.68521659e-06 
-9.00000000e-01 -2.00000000e-01  1.70500524e-06 
-9.20000000e-01 -2.00000000e-01  1.72483842e-06 
-9.40000000e-01 -2.00000000e-01  1.74471637e-06 
-9.60000000e-01 -2.00000000e-01  1.76463938e-06 
-9.80000000e-01 -2.00000000e-01  1.78460779e-06 
-1.00000000e+00 -2.00000000e-01  1.80462200e-06 
-1.02000000e+00 -2.00000000e-01  1.82468248e-06 
-1.04000000e+00 -2.00000000e-01  1.84478976e-06 
-1.06000000e+00 -2.00000000e-01  1.86494444e-06 
-1.08000000e+00 -2.00000000e-01  1.88514722e-06 
-1.10000000e+00 -2.00000000e-01  1.90539887e-06 
-1.12000000e+00 -2.00000000e-01  1.92570028e-06 
-1.14000000e+00 -2.00000000e-01  1.94605246e-06 
-1.16000000e+00 -2.00000000e-01  1.96645658e-06 
-1.18000000e+00 -2.00000000e-01  1.98691400e-06 
-1.20000000e+00 -2.00000000e-01  2.00742632e-06 
 0.00000000e+00 -4.00000000e-01 -1.32288564e-08 
-2.00000000e-02 -4.00000000e-01  2.22673415e-05 
-4.00000000e-02 -4.00000000e-01  3.76739213e-05 
-6.00000000e-02 -4.00000000e-01  4.71710442e-05 
-8.00000000e-02 -4.00000000e-01  5.23904302e-05 
-1.00000000e-01 -4.00000000e-01  5.51873358e-05 
-1.20000000e-01 -4.00000000e-01  5.68630922e-05 
-1.40000000e-01 -4.00000000e-01  5.80510961e-05 
-1.60000000e-01 -4.00000000e-01  5.90160540e-05 
-1.80000000e-01 -4.00000000e-01  5.98693414e-05 
-2.00000000e-01 -4.00000000e-01  6.06613890e-05 
-2.20000000e-01 -4.00000000e-01  6.14171132e-05 
-2.40000000e-01 -4.00000000e-01  6.21498737e-05 
-2.60000000e-01 -4.00000000e-01  6.28673651e-05 
-2.80000000e-01 -4.00000000e-01  6.35742981e-05 
-3.00000000e-01 -4.00000000e-01  6.42737097e-05 
-3.20000000e-01 -4.00000000e-01  6.49676458e-05 
-3.40000000e-01 -4.00000000e-01  6.56575372e-05 
-3.60000000e-01 -4.00000000e-01  6.63444163e-05 
-3.80000000e-01 -4.00000000e-01  6.70290487e-05 
-4.00000000e-01 -4.00000000e-01  6.77120152e-05 
-4.20000000e-01 -4.00000000e-01  6.83937652e-05 
-4.40000000e-01 -4.00000000e-01  6.90746525e-05 
-4.60000000e-01 -4.00000000e-01  6.97549595e-05 
-4.80000000e-01 -4.00000000e-01  7.04349144e-05 
-5.00000000e-01 -4.00000000e-01  7.11147039e-05 
-5.20000000e-01 -4.00000000e-01  7.17944817e-05 
-5.40000000e-01 -4.00000000e-01  7.24743756e-05 
-5.60000000e-01 -4.00000000e-01  7.31543648e-05 
-5.80000000e-01 -4.00000000e-01  7.38347525e-05 
-6.00000000e-01 -4.00000000e-01  7.45155358e-05 
-6.20000000e-01 -4.00000000e-01  7.51967784e-05 
-6.40000000e-01 -4.00000000e-01  7.58785345e-05 
-6.60000000e-01 -4.00000000e-01  7.65608507e-05 
-6.80000000e-01 -4.00000000e-01  7.72437672e-05 
-7.00000000e-01 -4.00000000e-01  7.79273189e-05 
-7.20000000e-01 -4.00000000e-01  7.86115361e-05 
-7.40000000e-01 -4.00000000e-01  7.92964458e-05 
-7.60000000e-01 -4.00000000e-01  7.99820718e-05 
-7.80000000e-01 -4.00000000e-01  8.06684359e-05 
-8.00000000e-01 -4.00000000e-01  8.13555582e-05 
-8.20000000e-01 -4.00000000e-01  8.20434575e-05 
-8.40000000e-01 -4.00000000e-01  8.27321520e-05 
-8.60000000e-01 -4.00000000e-01  8.34216594e-05 
-8.80000000e-01 -4.00000000e-01  8.41119977e-05 
-9.00000000e-01 -4.00000000e-01  8.48031854e-05 
-9.20000000e-01 -4.00000000e-01  8.54952416e-05 
-9.40000000e-01 -4.00000000e-01  8.61881866e-05 
-9.60000000e-01 -4.00000000e-01  8.68820419e-05 
-9.80000000e-01 -4.00000000e-01  8.75768307e-05 
-1.00000000e+00 -4.00000000e-01  8.82725780e-05 
-1.02000000e+00 -4.00000000e-01  8.89693109e-05 
-1.04000000e+00 -4.00000000e-01  8.96670585e-05 
-1.06000000e+00 -4.00000000e-01  9.03658526e-05 
-1.08000000e+00 -4.00000000e-01  9.10657275e-05 
-1.10000000e+00 -4.00000000e-01  9.17667206e-05 
-1.12000000e+00 -4.00000000e-01  9.24688727e-05 
-1.14000000e+00 -4.00000000e-01  9.31722282e-05 
-1.16000000e+00 -4.00000000e-01  9.38768364e-05 
-1.18000000e+00 -4.00000000e-01  9.45827518e-05 
-1.20000000e+00 -4.00000000e-01  9.52900360e-05 
 0.00000000e+00 -6.00000000e-01 -7.91564193e-08 
-2.00000000e-02 -6.00000000e-01  1.05176734e-04 
-4.00000000e-02 -6.00000000e-01  1.98573912e-04 
-6.00000000e-02 -6.00000000e-01  2.80319980e-04 
-8.00000000e-02 -6.00000000e-01  3.50659217e-04 
-1.00000000e-01 -6.00000000e-01  4.09901270e-04 
-1.20000000e-01 -6.00000000e-01  4.58471781e-04 
-1.40000000e-01 -6.00000000e-01  4.96996143e-04 
-1.60000000e-01 -6.00000000e-01  5.26415185e-04 
-1.80000000e-01 -6.00000000e-01  5.48080724e-04 
-2.00000000e-01 -6.00000000e-01  5.63703245e-04 
-2.20000000e-01 -6.00000000e-01  5.75068450e-04 
-2.40000000e-01 -6.00000000e-01  5.83681944e-04 
-2.60000000e-01 -6.00000000e-01  5.90600337e-04 
-2.80000000e-01 -6.00000000e-01  5.96480687e-04 
-3.00000000e-01 -6.00000000e-01  6.01709435e-04 
-3.20000000e-01 -6.00000000e-01  6.06512232e-04 
-3.40000000e-01 -6.00000000e-01  6.11023688e-04 
-3.60000000e-01 -6.00000000e-01  6.15326989e-04 
-3.80000000e-01 -6.00000000e-01  6.19475637e-04 
-4.00000000e-01 -6.00000000e-01  6.23505450e-04 
-4.20000000e-01 -6.00000000e-01  6.27441322e-04 
-4.40000000e-01 -6.00000000e-01  6.31301155e-04 
-4.60000000e-01 -6.00000000e-01  6.35098216e-04 
-4.80000000e-01 -6.00000000e-01  6.38842600e-04 
-5.00000000e-01 -6.00000000e-01  6.42542169e-04 
-5.20000000e-01 -6.00000000e-01  6.46203166e-04 
-5.40000000e-01 -6.00000000e-01  6.49830636e-04 
-5.60000000e-01 -6.00000000e-01  6.53428716e-04 
-5.80000000e-01 -6.00000000e-01  6.57000843e-04 
-6.00000000e-01 -6.00000000e-01  6.60549903e-04 
-6.20000000e-01 -6.00000000e-01  6.64078343e-04 
-6.40000000e-01 -6.00000000e-01  6.67588258e-04 
-6.60000000e-01 -6.00000000e-01  6.71081453e-04 
-6.80000000e-01 -6.00000000e-01  6.74559492e-04 
-7.00000000e-01 -6.00000000e-01  6.78023742e-04 
-7.20000000e-01 -6.00000000e-01  6.81475402e-04 
-7.40000000e-01 -6.00000000e-01  6.84921131e-04 
-7.60000000e-01 -6.00000000e-01  6.88350215e-04 
-7.80000000e-01 -6.00000000e-01  6.91769589e-04 
-8.00000000e-01 -6.00000000e-01  6.95179996e-04 
-8.20000000e-01 -6.00000000e-01  6.98582101e-04 
-8.40000000e-01 -6.00000000e-01  7.01976512e-04 
-8.60000000e-01 -6.00000000e-01  7.05363779e-04 
-8.80000000e-01 -6.00000000e-01  7.08744407e-04 
-9.00000000e-01 -6.00000000e-01  7.12118865e-04 
-9.20000000e-01 -6.00000000e-01  7.15487590e-04 
-9.40000000e-01 -6.00000000e-01  7.18850991e-04 
-9.60000000e-01 -6.00000000e-01  7.22209459e-04 
-9.80000000e-01 -6.00000000e-01  7.25563367e-04 
-1.00000000e+00 -6.00000000e-01  7.28913078e-04 
-1.02000000e+00 -6.00000000e-01  7.32258945e-04 
-1.04000000e+00 -6.00000000e-01  7.35601317e-04 
-1.06000000e+00 -6.00000000e-01  7.38940544e-04 
-1.08000000e+00 -6.00000000e-01  7.42276973e-04 
-1.10000000e+00 -6.00000000e-01  7.45610959e-04 
-1.12000000e+00 -6.00000000e-01  7.48942859e-04 
-1.14000000e+00 -6.00000000e-01  7.52273041e-04 
-1.16000000e+00 -6.00000000e-01  7.55601881e-04 
-1.18000000e+00 -6.00000000e-01  7.58929768e-04 
-1.20000000e+00 -6.00000000e-01  7.62257103e-04 
 0.00000000e+00 -8.00000000e-01 -4.15602245e-07 
-2.00000000e-02 -8.00000000e-01  1.78591233e-04 
-4.00000000e-02 -8.00000000e-01  3.45992967e-04 
-6.00000000e-02 -8.00000000e-01  5.01914103e-04 
-8.00000000e-02 -8.00000000e-01  6.46481866e-04 
