 v-sweep         v(3)            i(vd)          
-6.00000000e-01  0.00000000e+00 -1.43545562e-08 
-5.80000000e-01  0.00000000e+00 -1.25011520e-08 
-5.60000000e-01  0.00000000e+00 -1.08683065e-08 
-5.40000000e-01  0.00000000e+00 -9.43146628e-09 
-5.20000000e-01  0.00000000e+00 -8.16867486e-09 
-5.00000000e-01  0.00000000e+00 -7.06030862e-09 
-4.80000000e-01  0.00000000e+00 -6.08883901e-09 
-4.60000000e-01  0.00000000e+00 -5.23861825e-09 
-4.40000000e-01  0.00000000e+00 -4.49568648e-09 
-4.20000000e-01  0.00000000e+00 -3.84759832e-09 
-4.00000000e-01  0.00000000e+00 -3.28326730e-09 
-3.80000000e-01  0.00000000e+00 -2.79282676e-09 
-3.60000000e-01  0.00000000e+00 -2.36750647e-09 
-3.40000000e-01  0.00000000e+00 -1.99952476e-09 
-3.20000000e-01  0.00000000e+00 -1.68199709e-09 
-3.00000000e-01  0.00000000e+00 -1.40886396e-09 
-2.80000000e-01  0.00000000e+00 -1.17484416e-09 
-2.60000000e-01  0.00000000e+00 -9.75425082e-10 
-2.40000000e-01  0.00000000e+00 -8.06912238e-10 
-2.20000000e-01  0.00000000e+00 -6.66577726e-10 
-2.00000000e-01  0.00000000e+00 -5.52980199e-10 
-1.80000000e-01  0.00000000e+00 -4.66586057e-10 
-1.60000000e-01  0.00000000e+00 -4.10924161e-10 
-1.40000000e-01  0.00000000e+00 -3.94687995e-10 
-1.20000000e-01  0.00000000e+00 -4.35520479e-10 
-1.00000000e-01  0.00000000e+00 -5.66781548e-10 
-8.00000000e-02  0.00000000e+00 -8.49585237e-10 
-6.00000000e-02  0.00000000e+00 -1.39409989e-09 
-4.00000000e-02  0.00000000e+00 -2.39702133e-09 
-2.00000000e-02  0.00000000e+00 -4.20702835e-09 
 1.73472348e-16  0.00000000e+00 -7.43807705e-09 
 2.00000000e-02  0.00000000e+00 -1.31632124e-08 
 4.00000000e-02  0.00000000e+00 -2.32411745e-08 
 6.00000000e-02  0.00000000e+00 -4.08563821e-08 
 8.00000000e-02  0.00000000e+00 -7.13906538e-08 
 1.00000000e-01  0.00000000e+00 -1.23790054e-07 
 1.20000000e-01  0.00000000e+00 -2.12635198e-07 
 1.40000000e-01  0.00000000e+00 -3.61165917e-07 
 1.60000000e-01  0.00000000e+00 -6.05535200e-07 
 1.80000000e-01  0.00000000e+00 -1.00061958e-06 
 2.00000000e-01  0.00000000e+00 -1.62787186e-06 
 2.20000000e-01  0.00000000e+00 -2.60604727e-06 
 2.40000000e-01  0.00000000e+00 -4.10616915e-06 
 2.60000000e-01  0.00000000e+00 -6.37249482e-06 
 2.80000000e-01  0.00000000e+00 -9.75072678e-06 
 3.00000000e-01  0.00000000e+00 -1.47221992e-05 
 3.20000000e-01  0.00000000e+00 -2.19373628e-05 
 3.40000000e-01  0.00000000e+00 -3.22339135e-05 
 3.60000000e-01  0.00000000e+00 -4.66107208e-05 
 3.80000000e-01  0.00000000e+00 -6.61440513e-05 
 4.00000000e-01  0.00000000e+00 -9.18459638e-05 
 4.20000000e-01  0.00000000e+00 -1.24459733e-04 
 4.40000000e-01  0.00000000e+00 -1.64263365e-04 
 4.60000000e-01  0.00000000e+00 -2.10955083e-04 
 4.80000000e-01  0.00000000e+00 -2.63684830e-04 
 5.00000000e-01  0.00000000e+00 -3.21230247e-04 
 5.20000000e-01  0.00000000e+00 -3.82235933e-04 
 5.40000000e-01  0.00000000e+00 -4.45415055e-04 
 5.60000000e-01  0.00000000e+00 -5.09663621e-04 
 5.80000000e-01  0.00000000e+00 -5.74096288e-04 
 6.00000000e-01  0.00000000e+00 -6.38035298e-04 
 6.20000000e-01  0.00000000e+00 -7.00979590e-04 
 6.40000000e-01  0.00000000e+00 -7.62569776e-04 
 6.60000000e-01  0.00000000e+00 -8.22556108e-04 
 6.80000000e-01  0.00000000e+00 -8.80771831e-04 
 7.00000000e-01  0.00000000e+00 -9.37112115e-04 
 7.20000000e-01  0.00000000e+00 -9.91517866e-04 
 7.40000000e-01  0.00000000e+00 -1.04396352e-03 
 7.60000000e-01  0.00000000e+00 -1.09444796e-03 
 7.80000000e-01  0.00000000e+00 -1.14298772e-03 
 8.00000000e-01  0.00000000e+00 -1.18961205e-03 
 8.20000000e-01  0.00000000e+00 -1.23435920e-03 
 8.40000000e-01  0.00000000e+00 -1.27727371e-03 
 8.60000000e-01  0.00000000e+00 -1.31840437e-03 
 8.80000000e-01  0.00000000e+00 -1.35780276e-03 
 9.00000000e-01  0.00000000e+00 -1.39552209e-03 
 9.20000000e-01  0.00000000e+00 -1.43161639e-03 
 9.40000000e-01  0.00000000e+00 -1.46613987e-03 
 9.60000000e-01  0.00000000e+00 -1.49914646e-03 
 9.80000000e-01  0.00000000e+00 -1.53068945e-03 
 1.00000000e+00  0.00000000e+00 -1.56082124e-03 
 1.02000000e+00  0.00000000e+00 -1.58959311e-03 
 1.04000000e+00  0.00000000e+00 -1.61705511e-03 
 1.06000000e+00  0.00000000e+00 -1.64325595e-03 
 1.08000000e+00  0.00000000e+00 -1.66824292e-03 
 1.10000000e+00  0.00000000e+00 -1.69206183e-03 
 1.12000000e+00  0.00000000e+00 -1.71475701e-03 
 1.14000000e+00  0.00000000e+00 -1.73637129e-03 
 1.16000000e+00  0.00000000e+00 -1.75694596e-03 
 1.18000000e+00  0.00000000e+00 -1.77652084e-03 
 1.20000000e+00  0.00000000e+00 -1.79513424e-03 
-6.00000000e-01 -3.00000000e-01 -1.43617451e-08 
-5.80000000e-01 -3.00000000e-01 -1.25083407e-08 
-5.60000000e-01 -3.00000000e-01 -1.08754950e-08 
-5.40000000e-01 -3.00000000e-01 -9.43865435e-09 
-5.20000000e-01 -3.00000000e-01 -8.17586216e-09 
-5.00000000e-01 -3.00000000e-01 -7.06749453e-09 
-4.80000000e-01 -3.00000000e-01 -6.09602242e-09 
-4.60000000e-01 -3.00000000e-01 -5.24579719e-09 
-4.40000000e-01 -3.00000000e-01 -4.50285740e-09 
-4.20000000e-01 -3.00000000e-01 -3.85475485e-09 
-4.00000000e-01 -3.00000000e-01 -3.29039800e-09 
-3.80000000e-01 -3.00000000e-01 -2.79991114e-09 
-3.60000000e-01 -3.00000000e-01 -2.37450777e-09 
-3.40000000e-01 -3.00000000e-01 -2.00637704e-09 
-3.20000000e-01 -3.00000000e-01 -1.68858211e-09 
-3.00000000e-01 -3.00000000e-01 -1.41496970e-09 
-2.80000000e-01 -3.00000000e-01 -1.18009046e-09 
-2.60000000e-01 -3.00000000e-01 -9.79130487e-10 
-2.40000000e-01 -3.00000000e-01 -8.07855350e-10 
-2.20000000e-01 -3.00000000e-01 -6.62569972e-10 
-2.00000000e-01 -3.00000000e-01 -5.40101151e-10 
