 v-sweep         v(3)            i(vd)          
 6.00000000e-01  0.00000000e+00  3.00720963e-10 
 5.80000000e-01  0.00000000e+00  3.01682045e-10 
 5.60000000e-01  0.00000000e+00  3.02860103e-10 
 5.40000000e-01  0.00000000e+00  3.04226721e-10 
 5.20000000e-01  0.00000000e+00  3.05826237e-10 
 5.00000000e-01  0.00000000e+00  3.07722053e-10 
 4.80000000e-01  0.00000000e+00  3.10007527e-10 
 4.60000000e-01  0.00000000e+00  3.12823405e-10 
 4.40000000e-01  0.00000000e+00  3.16385771e-10 
 4.20000000e-01  0.00000000e+00  3.21030833e-10 
 4.00000000e-01  0.00000000e+00  3.27286684e-10 
 3.80000000e-01  0.00000000e+00  3.37495005e-10 
 3.60000000e-01  0.00000000e+00  3.50799538e-10 
 3.40000000e-01  0.00000000e+00  3.70480332e-10 
 3.20000000e-01  0.00000000e+00  4.00200402e-10 
 3.00000000e-01  0.00000000e+00  4.45807838e-10 
 2.80000000e-01  0.00000000e+00  5.16641432e-10 
 2.60000000e-01  0.00000000e+00  6.27611625e-10 
 2.40000000e-01  0.00000000e+00  8.02512243e-10 
 2.20000000e-01  0.00000000e+00  1.07928133e-09 
 2.00000000e-01  0.00000000e+00  1.51833936e-09 
 1.80000000e-01  0.00000000e+00  2.21576793e-09 
 1.60000000e-01  0.00000000e+00  3.32406705e-09 
 1.40000000e-01  0.00000000e+00  5.08470950e-09 
 1.20000000e-01  0.00000000e+00  7.87892894e-09 
 1.00000000e-01  0.00000000e+00  1.23064449e-08 
 8.00000000e-02  0.00000000e+00  1.93065370e-08 
 6.00000000e-02  0.00000000e+00  3.03424947e-08 
 4.00000000e-02  0.00000000e+00  4.76794589e-08 
 2.00000000e-02  0.00000000e+00  7.47974456e-08 
-1.73472348e-16  0.00000000e+00  1.16996100e-07 
-2.00000000e-02  0.00000000e+00  1.82265493e-07 
-4.00000000e-02  0.00000000e+00  2.82518136e-07 
-6.00000000e-02  0.00000000e+00  4.35302371e-07 
-8.00000000e-02  0.00000000e+00  6.66149885e-07 
-1.00000000e-01  0.00000000e+00  1.01175691e-06 
-1.20000000e-01  0.00000000e+00  1.52426655e-06 
-1.40000000e-01  0.00000000e+00  2.27700208e-06 
-1.60000000e-01  0.00000000e+00  3.37204983e-06 
-1.80000000e-01  0.00000000e+00  4.94997940e-06 
-2.00000000e-01  0.00000000e+00  7.20149906e-06 
-2.20000000e-01  0.00000000e+00  1.03797239e-05 
-2.40000000e-01  0.00000000e+00  1.48098724e-05 
-2.60000000e-01  0.00000000e+00  2.08908955e-05 
-2.80000000e-01  0.00000000e+00  2.90816708e-05 
-3.00000000e-01  0.00000000e+00  3.98645121e-05 
-3.20000000e-01  0.00000000e+00  5.36828047e-05 
-3.40000000e-01  0.00000000e+00  7.08594655e-05 
-3.60000000e-01  0.00000000e+00  9.15178859e-05 
-3.80000000e-01  0.00000000e+00  1.15538241e-04 
-4.00000000e-01  0.00000000e+00  1.42573322e-04 
-4.20000000e-01  0.00000000e+00  1.72116941e-04 
-4.40000000e-01  0.00000000e+00  2.03591235e-04 
-4.60000000e-01  0.00000000e+00  2.36420568e-04 
-4.80000000e-01  0.00000000e+00  2.70078913e-04 
-5.00000000e-01  0.00000000e+00  3.04112977e-04 
-5.20000000e-01  0.00000000e+00  3.38148556e-04 
-5.40000000e-01  0.00000000e+00  3.71887076e-04 
-5.60000000e-01  0.00000000e+00  4.05097228e-04 
-5.80000000e-01  0.00000000e+00  4.37604772e-04 
-6.00000000e-01  0.00000000e+00  4.69282320e-04 
-6.20000000e-01  0.00000000e+00  5.00040015e-04 
-6.40000000e-01  0.00000000e+00  5.29817505e-04 
-6.60000000e-01  0.00000000e+00  5.58577282e-04 
-6.80000000e-01  0.00000000e+00  5.86299316e-04 
-7.00000000e-01  0.00000000e+00  6.12976796e-04 
-7.20000000e-01  0.00000000e+00  6.38612818e-04 
-7.40000000e-01  0.00000000e+00  6.63217818e-04 
-7.60000000e-01  0.00000000e+00  6.86807603e-04 
-7.80000000e-01  0.00000000e+00  7.09401855e-04 
-8.00000000e-01  0.00000000e+00  7.31022984e-04 
-8.20000000e-01  0.00000000e+00  7.51695254e-04 
-8.40000000e-01  0.00000000e+00  7.71444121e-04 
-8.60000000e-01  0.00000000e+00  7.90295716e-04 
-8.80000000e-01  0.00000000e+00  8.08276454e-04 
-9.00000000e-01  0.00000000e+00  8.25412721e-04 
-9.20000000e-01  0.00000000e+00  8.41730631e-04 
-9.40000000e-01  0.00000000e+00  8.57255823e-04 
-9.60000000e-01  0.00000000e+00  8.72013301e-04 
-9.80000000e-01  0.00000000e+00  8.86027289e-04 
-1.00000000e+00  0.00000000e+00  8.99321107e-04 
-1.02000000e+00  0.00000000e+00  9.11917057e-04 
-1.04000000e+00  0.00000000e+00  9.23836309e-04 
-1.06000000e+00  0.00000000e+00  9.35098795e-04 
-1.08000000e+00  0.00000000e+00  9.45723092e-04 
-1.10000000e+00  0.00000000e+00  9.55726304e-04 
-1.12000000e+00  0.00000000e+00  9.65123927e-04 
-1.14000000e+00  0.00000000e+00  9.73929704e-04 
-1.16000000e+00  0.00000000e+00  9.82155462e-04 
-1.18000000e+00  0.00000000e+00  9.89810923e-04 
-1.20000000e+00  0.00000000e+00  9.96903494e-04 
 6.00000000e-01  3.00000000e-01  3.30513344e-10 
 5.80000000e-01  3.00000000e-01  3.31434532e-10 
 5.60000000e-01  3.00000000e-01  3.32537760e-10 
 5.40000000e-01  3.00000000e-01  3.33784700e-10 
 5.20000000e-01  3.00000000e-01  3.35192819e-10 
 5.00000000e-01  3.00000000e-01  3.36782563e-10 
 4.80000000e-01  3.00000000e-01  3.38578609e-10 
 4.60000000e-01  3.00000000e-01  3.40611919e-10 
 4.40000000e-01  3.00000000e-01  3.42923106e-10 
 4.20000000e-01  3.00000000e-01  3.45567955e-10 
 4.00000000e-01  3.00000000e-01  3.48626492e-10 
 3.80000000e-01  3.00000000e-01  3.52217845e-10 
 3.60000000e-01  3.00000000e-01  3.56524582e-10 
 3.40000000e-01  3.00000000e-01  3.61832510e-10 
 3.20000000e-01  3.00000000e-01  3.68595674e-10 
 3.00000000e-01  3.00000000e-01  3.77542394e-10 
