 frequency       frequency       onoise_spectrum inoise_spectrum
 1.00000000e+00  1.00000000e+00  5.30455612e-07  2.20075583e-05 
 1.04712855e+00  1.04712855e+00  5.18381034e-07  2.15066079e-05 
 1.09647820e+00  1.09647820e+00  5.06581308e-07  2.10170605e-05 
 1.14815362e+00  1.14815362e+00  4.95050178e-07  2.05386566e-05 
 1.20226443e+00  1.20226443e+00  4.83781530e-07  2.00711426e-05 
 1.25892541e+00  1.25892541e+00  4.72769390e-07  1.96142706e-05 
 1.31825674e+00  1.31825674e+00  4.62007919e-07  1.91677984e-05 
 1.38038426e+00  1.38038426e+00  4.51491410e-07  1.87314891e-05 
 1.44543977e+00  1.44543977e+00  4.41214287e-07  1.83051116e-05 
 1.51356125e+00  1.51356125e+00  4.31171103e-07  1.78884396e-05 
 1.58489319e+00  1.58489319e+00  4.21356531e-07  1.74812524e-05 
 1.65958691e+00  1.65958691e+00  4.11765368e-07  1.70833339e-05 
 1.73780083e+00  1.73780083e+00  4.02392528e-07  1.66944733e-05 
 1.81970086e+00  1.81970086e+00  3.93233042e-07  1.63144643e-05 
 1.90546072e+00  1.90546072e+00  3.84282054e-07  1.59431054e-05 
 1.99526231e+00  1.99526231e+00  3.75534817e-07  1.55801997e-05 
 2.08929613e+00  2.08929613e+00  3.66986693e-07  1.52255549e-05 
 2.18776162e+00  2.18776162e+00  3.58633151e-07  1.48789829e-05 
 2.29086765e+00  2.29086765e+00  3.50469761e-07  1.45402999e-05 
 2.39883292e+00  2.39883292e+00  3.42492194e-07  1.42093264e-05 
 2.51188643e+00  2.51188643e+00  3.34696222e-07  1.38858869e-05 
 2.63026799e+00  2.63026799e+00  3.27077710e-07  1.35698098e-05 
 2.75422870e+00  2.75422870e+00  3.19632618e-07  1.32609276e-05 
 2.88403150e+00  2.88403150e+00  3.12357000e-07  1.29590766e-05 
 3.01995172e+00  3.01995172e+00  3.05246998e-07  1.26640966e-05 
 3.16227766e+00  3.16227766e+00  2.98298842e-07  1.23758313e-05 
 3.31131121e+00  3.31131121e+00  2.91508848e-07  1.20941278e-05 
 3.46736850e+00  3.46736850e+00  2.84873416e-07  1.18188368e-05 
 3.63078055e+00  3.63078055e+00  2.78389027e-07  1.15498123e-05 
 3.80189396e+00  3.80189396e+00  2.72052244e-07  1.12869117e-05 
 3.98107171e+00  3.98107171e+00  2.65859707e-07  1.10299955e-05 
 4.16869383e+00  4.16869383e+00  2.59808132e-07  1.07789276e-05 
 4.36515832e+00  4.36515832e+00  2.53894311e-07  1.05335748e-05 
 4.57088190e+00  4.57088190e+00  2.48115107e-07  1.02938070e-05 
 4.78630092e+00  4.78630092e+00  2.42467458e-07  1.00594972e-05 
 5.01187234e+00  5.01187234e+00  2.36948368e-07  9.83052101e-06 
 5.24807460e+00  5.24807460e+00  2.31554912e-07  9.60675712e-06 
 5.49540874e+00  5.49540874e+00  2.26284229e-07  9.38808686e-06 
 5.75439937e+00  5.75439937e+00  2.21133524e-07  9.17439428e-06 
 6.02559586e+00  6.02559586e+00  2.16100068e-07  8.96556610e-06 
 6.30957344e+00  6.30957344e+00  2.11181191e-07  8.76149157e-06 
 6.60693448e+00  6.60693448e+00  2.06374285e-07  8.56206250e-06 
 6.91830971e+00  6.91830971e+00  2.01676801e-07  8.36717316e-06 
 7.24435960e+00  7.24435960e+00  1.97086249e-07  8.17672019e-06 
 7.58577575e+00  7.58577575e+00  1.92600194e-07  7.99060264e-06 
 7.94328235e+00  7.94328235e+00  1.88216259e-07  7.80872180e-06 
 8.31763771e+00  8.31763771e+00  1.83932119e-07  7.63098126e-06 
 8.70963590e+00  8.70963590e+00  1.79745502e-07  7.45728676e-06 
 9.12010839e+00  9.12010839e+00  1.75654188e-07  7.28754621e-06 
 9.54992586e+00  9.54992586e+00  1.71656008e-07  7.12166962e-06 
 1.00000000e+01  1.00000000e+01  1.67748843e-07  6.95956903e-06 
 1.04712855e+01  1.04712855e+01  1.63930620e-07  6.80115850e-06 
 1.09647820e+01  1.09647820e+01  1.60199316e-07  6.64635403e-06 
 1.14815362e+01  1.14815362e+01  1.56552951e-07  6.49507354e-06 
 1.20226443e+01  1.20226443e+01  1.52989593e-07  6.34723683e-06 
 1.25892541e+01  1.25892541e+01  1.49507352e-07  6.20276551e-06 
 1.31825674e+01  1.31825674e+01  1.46104382e-07  6.06158298e-06 
 1.38038426e+01  1.38038426e+01  1.42778878e-07  5.92361437e-06 
 1.44543977e+01  1.44543977e+01  1.39529078e-07  5.78878655e-06 
 1.51356125e+01  1.51356125e+01  1.36353257e-07  5.65702802e-06 
 1.58489319e+01  1.58489319e+01  1.33249733e-07  5.52826892e-06 
 1.65958691e+01  1.65958691e+01  1.30216860e-07  5.40244098e-06 
 1.73780083e+01  1.73780083e+01  1.27253029e-07  5.27947748e-06 
 1.81970086e+01  1.81970086e+01  1.24356670e-07  5.15931324e-06 
 1.90546072e+01  1.90546072e+01  1.21526246e-07  5.04188453e-06 
 1.99526231e+01  1.99526231e+01  1.18760257e-07  4.92712910e-06 
 2.08929613e+01  2.08929613e+01  1.16057236e-07  4.81498609e-06 
 2.18776162e+01  2.18776162e+01  1.13415750e-07  4.70539605e-06 
 2.29086765e+01  2.29086765e+01  1.10834399e-07  4.59830088e-06 
 2.39883292e+01  2.39883292e+01  1.08311814e-07  4.49364379e-06 
 2.51188643e+01  2.51188643e+01  1.05846657e-07  4.39136928e-06 
 2.63026799e+01  2.63026799e+01  1.03437621e-07  4.29142314e-06 
 2.75422870e+01  2.75422870e+01  1.01083430e-07  4.19375237e-06 
 2.88403150e+01  2.88403150e+01  9.87828340e-08  4.09830518e-06 
 3.01995172e+01  3.01995172e+01  9.65346141e-08  4.00503096e-06 
 3.16227766e+01  3.16227766e+01  9.43375782e-08  3.91388027e-06 
 3.31131121e+01  3.31131121e+01  9.21905612e-08  3.82480477e-06 
 3.46736850e+01  3.46736850e+01  9.00924249e-08  3.73775723e-06 
 3.63078055e+01  3.63078055e+01  8.80420569e-08  3.65269149e-06 
 3.80189396e+01  3.80189396e+01  8.60383699e-08  3.56956247e-06 
 3.98107171e+01  3.98107171e+01  8.40803015e-08  3.48832607e-06 
 4.16869383e+01  4.16869383e+01  8.21668137e-08  3.40893923e-06 
 4.36515832e+01  4.36515832e+01  8.02968917e-08  3.33135985e-06 
 4.57088190e+01  4.57088190e+01  7.84695443e-08  3.25554681e-06 
 4.78630092e+01  4.78630092e+01  7.66838024e-08  3.18145989e-06 
 5.01187234e+01  5.01187234e+01  7.49387193e-08  3.10905983e-06 
 5.24807460e+01  5.24807460e+01  7.32333697e-08  3.03830824e-06 
 5.49540874e+01  5.49540874e+01  7.15668494e-08  2.96916760e-06 
 5.75439937e+01  5.75439937e+01  6.99382748e-08  2.90160124e-06 
 6.02559586e+01  6.02559586e+01  6.83467824e-08  2.83557336e-06 
 6.30957344e+01  6.30957344e+01  6.67915284e-08  2.77104893e-06 
 6.60693448e+01  6.60693448e+01  6.52716881e-08  2.70799375e-06 
 6.91830971e+01  6.91830971e+01  6.37864557e-08  2.64637439e-06 
 7.24435960e+01  7.24435960e+01  6.23350437e-08  2.58615816e-06 
 7.58577575e+01  7.58577575e+01  6.09166826e-08  2.52731315e-06 
 7.94328235e+01  7.94328235e+01  5.95306203e-08  2.46980816e-06 
 8.31763771e+01  8.31763771e+01  5.81761219e-08  2.41361269e-06 
 8.70963590e+01  8.70963590e+01  5.68524693e-08  2.35869695e-06 
 9.12010839e+01  9.12010839e+01  5.55589606e-08  2.30503182e-06 
 9.54992586e+01  9.54992586e+01  5.42949100e-08  2.25258885e-06 
 1.00000000e+02  1.00000000e+02  5.30596473e-08  2.20134024e-06 
 1.04712855e+02  1.04712855e+02  5.18525174e-08  2.15125880e-06 
 1.09647820e+02  1.09647820e+02  5.06728805e-08  2.10231798e-06 
 1.14815362e+02  1.14815362e+02  4.95201110e-08  2.05449185e-06 
 1.20226443e+02  1.20226443e+02  4.83935977e-08  2.00775503e-06 
 1.25892541e+02  1.25892541e+02  4.72927433e-08  1.96208275e-06 
 1.31825674e+02  1.31825674e+02  4.62169641e-08  1.91745079e-06 
 1.38038426e+02  1.38038426e+02  4.51656898e-08  1.87383549e-06 
 1.44543977e+02  1.44543977e+02  4.41383629e-08  1.83121372e-06 
 1.51356125e+02  1.51356125e+02  4.31344387e-08  1.78956289e-06 
 1.58489319e+02  1.58489319e+02  4.21533850e-08  1.74886090e-06 
 1.65958691e+02  1.65958691e+02  4.11946815e-08  1.70908618e-06 
 1.73780083e+02  1.73780083e+02  4.02578200e-08  1.67021764e-06 
 1.81970086e+02  1.81970086e+02  3.93423037e-08  1.63223468e-06 
 1.90546072e+02  1.90546072e+02  3.84476472e-08  1.59511714e-06 
 1.99526231e+02  1.99526231e+02  3.75733761e-08  1.55884535e-06 
 2.08929613e+02  2.08929613e+02  3.67190269e-08  1.52340009e-06 
 2.18776162e+02  2.18776162e+02  3.58841466e-08  1.48876255e-06 
 2.29086765e+02  2.29086765e+02  3.50682925e-08  1.45491437e-06 
 2.39883292e+02  2.39883292e+02  3.42710320e-08  1.42183760e-06 
