 time            v(in1)          v(in2)          v(out)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  3.55443906e-05 
 1.00000000e-13  0.00000000e+00  0.00000000e+00  3.55443906e-05 
 2.00000000e-13  0.00000000e+00  0.00000000e+00  3.55443906e-05 
 4.00000000e-13  0.00000000e+00  0.00000000e+00  3.55443906e-05 
 8.00000000e-13  0.00000000e+00  0.00000000e+00  3.55443906e-05 
 1.60000000e-12  0.00000000e+00  0.00000000e+00  3.55443906e-05 
 3.20000000e-12  0.00000000e+00  0.00000000e+00  3.55443906e-05 
 6.40000000e-12  0.00000000e+00  0.00000000e+00  3.55443906e-05 
 1.28000000e-11  0.00000000e+00  0.00000000e+00  3.55443906e-05 
 2.28000000e-11  0.00000000e+00  0.00000000e+00  3.55443906e-05 
 3.28000000e-11  0.00000000e+00  0.00000000e+00  3.55443906e-05 
 4.28000000e-11  0.00000000e+00  0.00000000e+00  3.55443906e-05 
 5.28000000e-11  0.00000000e+00  0.00000000e+00  3.55443906e-05 
 6.28000000e-11  0.00000000e+00  0.00000000e+00  3.55443906e-05 
 7.28000000e-11  0.00000000e+00  0.00000000e+00  3.55443906e-05 
 8.28000000e-11  0.00000000e+00  0.00000000e+00  3.55443906e-05 
 9.28000000e-11  0.00000000e+00  0.00000000e+00  3.55443906e-05 
 1.00000000e-10  0.00000000e+00  0.00000000e+00  3.55443906e-05 
 1.00009236e-10  1.10836011e-04  0.00000000e+00  3.55446656e-05 
 1.00027709e-10  3.32508032e-04  0.00000000e+00  3.55462939e-05 
 1.00064654e-10  7.75852076e-04  0.00000000e+00  3.55618684e-05 
 1.00138545e-10  1.66254016e-03  0.00000000e+00  3.56921884e-05 
 1.00286326e-10  3.43591633e-03  0.00000000e+00  3.66286872e-05 
 1.00449276e-10  5.39130812e-03  0.00000000e+00  3.90504913e-05 
 1.00645421e-10  7.74504887e-03  0.00000000e+00  4.42158918e-05 
 1.00857275e-10  1.02873030e-02  0.00000000e+00  5.25854348e-05 
 1.01140068e-10  1.36808121e-02  0.00000000e+00  6.79144930e-05 
 1.01485757e-10  1.78290783e-02  0.00000000e+00  9.21911685e-05 
 1.01987676e-10  2.38521083e-02  0.00000000e+00  1.35817075e-04 
