 time            v(g_pulse)      v(n1)          
 0.00000000e+00  0.00000000e+00  5.69882111e-01 
 1.00000000e-13  0.00000000e+00  5.69882111e-01 
 2.00000000e-13  0.00000000e+00  5.69882111e-01 
 4.00000000e-13  0.00000000e+00  5.69882111e-01 
 8.00000000e-13  0.00000000e+00  5.69882111e-01 
 1.60000000e-12  0.00000000e+00  5.69882111e-01 
 3.20000000e-12  0.00000000e+00  5.69882111e-01 
 6.40000000e-12  0.00000000e+00  5.69882111e-01 
 1.28000000e-11  0.00000000e+00  5.69882111e-01 
 2.28000000e-11  0.00000000e+00  5.69882111e-01 
 3.28000000e-11  0.00000000e+00  5.69882111e-01 
 4.28000000e-11  0.00000000e+00  5.69882111e-01 
 5.28000000e-11  0.00000000e+00  5.69882111e-01 
 6.28000000e-11  0.00000000e+00  5.69882111e-01 
 7.28000000e-11  0.00000000e+00  5.69882111e-01 
 8.28000000e-11  0.00000000e+00  5.69882111e-01 
 9.28000000e-11  0.00000000e+00  5.69882111e-01 
 1.00000000e-10  0.00000000e+00  5.69882111e-01 
 1.00000088e-10  1.06197266e-05  5.69882112e-01 
 1.00000265e-10  3.18591797e-05  5.69882112e-01 
 1.00000619e-10  7.43380859e-05  5.69882115e-01 
 1.00001327e-10  1.59295898e-04  5.69882127e-01 
 1.00002743e-10  3.29211523e-04  5.69882175e-01 
 1.00005575e-10  6.69042773e-04  5.69882374e-01 
 1.00011239e-10  1.34870527e-03  5.69883168e-01 
 1.00022567e-10  2.70803027e-03  5.69886304e-01 
 1.00045222e-10  5.42668027e-03  5.69898422e-01 
 1.00075011e-10  9.00132935e-03  5.69925288e-01 
 1.00107396e-10  1.28874629e-02  5.69967098e-01 
 1.00139547e-10  1.67456543e-02  5.70020039e-01 
 1.00173138e-10  2.07765943e-02  5.70085953e-01 
 1.00207391e-10  2.48869705e-02  5.70162863e-01 
 1.00243535e-10  2.92242292e-02  5.70253163e-01 
 1.00280650e-10  3.36779881e-02  5.70354255e-01 
 1.00319749e-10  3.83699194e-02  5.70468513e-01 
 1.00360124e-10  4.32149375e-02  5.70593509e-01 
 1.00402695e-10  4.83234468e-02  5.70731683e-01 
 1.00446917e-10  5.36300540e-02  5.70880874e-01 
 1.00493636e-10  5.92362634e-02  5.71043503e-01 
 1.00542457e-10  6.50948423e-02  5.71217769e-01 
 1.00594195e-10  7.13034567e-02  5.71406110e-01 
 1.00648610e-10  7.78332043e-02  5.71607171e-01 
 1.00706528e-10  8.47834050e-02  5.71823498e-01 
 1.00767878e-10  9.21454107e-02  5.72054287e-01 
 1.00833561e-10  1.00027327e-01  5.72302351e-01 
 1.00903714e-10  1.08445626e-01  5.72567601e-01 
 1.00979397e-10  1.17527682e-01  5.72853392e-01 
 1.01061043e-10  1.27325124e-01  5.73160639e-01 
 1.01150017e-10  1.38002071e-01  5.73493710e-01 
 1.01247217e-10  1.49666073e-01  5.73855103e-01 
 1.01354603e-10  1.62552411e-01  5.74251142e-01 
 1.01473961e-10  1.76875262e-01  5.74687301e-01 
 1.01608647e-10  1.93037674e-01  5.75174529e-01 
 1.01763099e-10  2.11571893e-01  5.75727168e-01 
 1.01947597e-10  2.33711654e-01  5.76379415e-01 
 1.02118631e-10  2.54235765e-01  5.76976886e-01 
 1.02329051e-10  2.79486160e-01  5.77701835e-01 
 1.02442092e-10  2.93051069e-01  5.78085675e-01 
 1.02544528e-10  3.05343413e-01  5.78430626e-01 
 1.02639724e-10  3.16766875e-01  5.78746494e-01 
 1.02749390e-10  3.29926763e-01  5.79102763e-01 
 1.02814180e-10  3.37701639e-01  5.79309512e-01 
 1.02902275e-10  3.48273029e-01  5.79585371e-01 
 1.02983888e-10  3.58066546e-01  5.79835132e-01 
 1.03069380e-10  3.68325587e-01  5.80090104e-01 
 1.03158548e-10  3.79025756e-01  5.80348353e-01 
 1.03246683e-10  3.89601990e-01  5.80596041e-01 
 1.03328861e-10  3.99463324e-01  5.80820551e-01 
 1.03422049e-10  4.10645870e-01  5.81068304e-01 
 1.03516566e-10  4.21987931e-01  5.81313051e-01 
 1.03630657e-10  4.35678897e-01  5.81600957e-01 
 1.03738593e-10  4.48631207e-01  5.81867240e-01 
 1.03814982e-10  4.57797842e-01  5.82052064e-01 
 1.03897852e-10  4.67742245e-01  5.82248850e-01 
 1.03998768e-10  4.79852133e-01  5.82483051e-01 
 1.04085641e-10  4.90276878e-01  5.82679142e-01 
 1.04174523e-10  5.00942724e-01  5.82873608e-01 
 1.04284518e-10  5.14142194e-01  5.83104821e-01 
 1.04357015e-10  5.22841795e-01  5.83249761e-01 
 1.04416415e-10  5.29969752e-01  5.83362793e-01 
 1.04477556e-10  5.37306770e-01  5.83474028e-01 
 1.04545983e-10  5.45517902e-01  5.83591798e-01 
 1.04622647e-10  5.54717609e-01  5.83714499e-01 
 1.04698776e-10  5.63853067e-01  5.83825947e-01 
 1.04851033e-10  5.82123984e-01  5.84014554e-01 
 1.04953140e-10  5.94376760e-01  5.84113555e-01 
 1.05066007e-10  6.07920864e-01  5.84194727e-01 
 1.05210972e-10  6.25316685e-01  5.84252682e-01 
 1.05337778e-10  6.40533390e-01  5.84257665e-01 
 1.05465852e-10  6.55902292e-01  5.84219232e-01 
 1.05601174e-10  6.72140833e-01  5.84128999e-01 
 1.05810078e-10  6.97209352e-01  5.83883629e-01 
 1.05994335e-10  7.19320200e-01  5.83557970e-01 
 1.06222285e-10  7.46674178e-01  5.83004559e-01 
 1.06416767e-10  7.70012013e-01  5.82400887e-01 
 1.06621485e-10  7.94578169e-01  5.81631764e-01 
 1.06891087e-10  8.26930421e-01  5.80405852e-01 
 1.07169691e-10  8.60362931e-01  5.78886333e-01 
 1.07463298e-10  8.95595712e-01  5.77000156e-01 
 1.07819906e-10  9.38388685e-01  5.74316225e-01 
 1.08183335e-10  9.82000244e-01  5.71152801e-01 
 1.08527692e-10  1.02332303e+00  5.67759595e-01 
 1.08933520e-10  1.07202242e+00  5.63281393e-01 
 1.09281057e-10  1.11372682e+00  5.59054234e-01 
 1.09715042e-10  1.16580502e+00  5.53292425e-01 
 1.10000000e-10  1.20000000e+00  5.49227271e-01 
 1.10001398e-10  1.20000000e+00  5.49206817e-01 
 1.10004194e-10  1.20000000e+00  5.49165848e-01 
 1.10009787e-10  1.20000000e+00  5.49083559e-01 
 1.10020972e-10  1.20000000e+00  5.48917601e-01 
 1.10043342e-10  1.20000000e+00  5.48580375e-01 
 1.10088083e-10  1.20000000e+00  5.47886268e-01 
