 time            v(in1)          v(in2)          v(out)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.14169899e+00 
 1.00000000e-13  0.00000000e+00  0.00000000e+00  1.14169899e+00 
 2.00000000e-13  0.00000000e+00  0.00000000e+00  1.14169899e+00 
 4.00000000e-13  0.00000000e+00  0.00000000e+00  1.14169899e+00 
 8.00000000e-13  0.00000000e+00  0.00000000e+00  1.14169899e+00 
 1.60000000e-12  0.00000000e+00  0.00000000e+00  1.14169899e+00 
 3.20000000e-12  0.00000000e+00  0.00000000e+00  1.14169899e+00 
 6.40000000e-12  0.00000000e+00  0.00000000e+00  1.14169899e+00 
 1.28000000e-11  0.00000000e+00  0.00000000e+00  1.14169899e+00 
 2.28000000e-11  0.00000000e+00  0.00000000e+00  1.14169899e+00 
 3.28000000e-11  0.00000000e+00  0.00000000e+00  1.14169899e+00 
 4.28000000e-11  0.00000000e+00  0.00000000e+00  1.14169899e+00 
 5.28000000e-11  0.00000000e+00  0.00000000e+00  1.14169899e+00 
 6.28000000e-11  0.00000000e+00  0.00000000e+00  1.14169899e+00 
 7.28000000e-11  0.00000000e+00  0.00000000e+00  1.14169899e+00 
 8.28000000e-11  0.00000000e+00  0.00000000e+00  1.14169899e+00 
 9.28000000e-11  0.00000000e+00  0.00000000e+00  1.14169899e+00 
 1.00000000e-10  0.00000000e+00  0.00000000e+00  1.14169899e+00 
 1.00009068e-10  1.08811940e-04  0.00000000e+00  1.14169914e+00 
 1.00027203e-10  3.26435821e-04  0.00000000e+00  1.14169974e+00 
 1.00063474e-10  7.61683583e-04  0.00000000e+00  1.14170263e+00 
 1.00136015e-10  1.63217911e-03  0.00000000e+00  1.14171464e+00 
 1.00281098e-10  3.37317015e-03  0.00000000e+00  1.14175971e+00 
 1.00446056e-10  5.35266682e-03  0.00000000e+00  1.14183897e+00 
 1.00640017e-10  7.68020404e-03  0.00000000e+00  1.14196188e+00 
 1.00851840e-10  1.02220814e-02  0.00000000e+00  1.14212545e+00 
 1.01127261e-10  1.35271316e-02  0.00000000e+00  1.14237506e+00 
 1.01466120e-10  1.75934434e-02  0.00000000e+00  1.14272910e+00 
 1.01945639e-10  2.33476705e-02  0.00000000e+00  1.14330056e+00 
 1.02617645e-10  3.14117427e-02  0.00000000e+00  1.14420738e+00 
 1.03305187e-10  3.96622398e-02  0.00000000e+00  1.14522907e+00 
 1.04121754e-10  4.94610509e-02  0.00000000e+00  1.14652521e+00 
 1.04976837e-10  5.97220401e-02  0.00000000e+00  1.14794549e+00 
 1.06014787e-10  7.21774412e-02  0.00000000e+00  1.14972012e+00 
 1.07152072e-10  8.58248585e-02  0.00000000e+00  1.15169789e+00 
 1.08554417e-10  1.02653010e-01  0.00000000e+00  1.15415256e+00 
 1.10157767e-10  1.21893204e-01  0.00000000e+00  1.15695314e+00 
 1.12180144e-10  1.46161728e-01  0.00000000e+00  1.16044804e+00 
 1.14573783e-10  1.74885395e-01  0.00000000e+00  1.16449758e+00 
 1.17264176e-10  2.07170113e-01  0.00000000e+00  1.16890896e+00 
 1.20648724e-10  2.47784689e-01  0.00000000e+00  1.17421224e+00 
 1.23196453e-10  2.78357441e-01  0.00000000e+00  1.17798899e+00 
 1.24876383e-10  2.98516598e-01  0.00000000e+00  1.18035804e+00 
 1.26311565e-10  3.15738785e-01  0.00000000e+00  1.18229200e+00 
 1.27719284e-10  3.32631406e-01  0.00000000e+00  1.18409617e+00 
 1.28393613e-10  3.40723354e-01  0.00000000e+00  1.18492439e+00 
 1.28803716e-10  3.45644593e-01  0.00000000e+00  1.18541832e+00 
 1.29203690e-10  3.50444279e-01  0.00000000e+00  1.18589084e+00 
 1.29640237e-10  3.55682847e-01  0.00000000e+00  1.18639518e+00 
 1.30314393e-10  3.63772711e-01  0.00000000e+00  1.18714964e+00 
 1.31662703e-10  3.79952440e-01  0.00000000e+00  1.18856232e+00 
 1.33286473e-10  3.99437671e-01  0.00000000e+00  1.19007227e+00 
 1.34807211e-10  4.17686530e-01  0.00000000e+00  1.19126701e+00 
 1.36258364e-10  4.35100369e-01  0.00000000e+00  1.19217689e+00 
 1.37913299e-10  4.54959590e-01  0.00000000e+00  1.19289474e+00 
 1.39499427e-10  4.73993124e-01  0.00000000e+00  1.19321897e+00 
 1.41244340e-10  4.94932078e-01  0.00000000e+00  1.19311150e+00 
