 time            v(in1)          v(in2)          v(out)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  2.95801609e-05 
 1.00000000e-13  0.00000000e+00  0.00000000e+00  2.95801609e-05 
 2.00000000e-13  0.00000000e+00  0.00000000e+00  2.95801609e-05 
 4.00000000e-13  0.00000000e+00  0.00000000e+00  2.95801609e-05 
 8.00000000e-13  0.00000000e+00  0.00000000e+00  2.95801609e-05 
 1.60000000e-12  0.00000000e+00  0.00000000e+00  2.95801609e-05 
 3.20000000e-12  0.00000000e+00  0.00000000e+00  2.95801609e-05 
 6.40000000e-12  0.00000000e+00  0.00000000e+00  2.95801609e-05 
 1.28000000e-11  0.00000000e+00  0.00000000e+00  2.95801609e-05 
 2.28000000e-11  0.00000000e+00  0.00000000e+00  2.95801609e-05 
 3.28000000e-11  0.00000000e+00  0.00000000e+00  2.95801609e-05 
 4.28000000e-11  0.00000000e+00  0.00000000e+00  2.95801609e-05 
 5.28000000e-11  0.00000000e+00  0.00000000e+00  2.95801609e-05 
 6.28000000e-11  0.00000000e+00  0.00000000e+00  2.95801609e-05 
 7.28000000e-11  0.00000000e+00  0.00000000e+00  2.95801609e-05 
 8.28000000e-11  0.00000000e+00  0.00000000e+00  2.95801609e-05 
 9.28000000e-11  0.00000000e+00  0.00000000e+00  2.95801609e-05 
 1.00000000e-10  0.00000000e+00  0.00000000e+00  2.95801609e-05 
 1.00000905e-10  1.08572584e-05  0.00000000e+00  2.95801613e-05 
 1.00002714e-10  3.25717751e-05  0.00000000e+00  2.95801636e-05 
 1.00006333e-10  7.60008085e-05  0.00000000e+00  2.95801866e-05 
 1.00013572e-10  1.62858875e-04  0.00000000e+00  2.95803955e-05 
 1.00028048e-10  3.36575009e-04  0.00000000e+00  2.95821582e-05 
 1.00057001e-10  6.84007277e-04  0.00000000e+00  2.95962242e-05 
 1.00114906e-10  1.37887181e-03  0.00000000e+00  2.97023554e-05 
 1.00186783e-10  2.24139064e-03  0.00000000e+00  3.00551742e-05 
 1.00260191e-10  3.12229484e-03  0.00000000e+00  3.07577555e-05 
 1.00338556e-10  4.06267198e-03  0.00000000e+00  3.19698025e-05 
 1.00422017e-10  5.06420652e-03  0.00000000e+00  3.38458907e-05 
 1.00514673e-10  6.17607860e-03  0.00000000e+00  3.66801879e-05 
 1.00615513e-10  7.38615827e-03  0.00000000e+00  4.06862786e-05 
 1.00728565e-10  8.74277453e-03  0.00000000e+00  4.63160250e-05 
 1.00854058e-10  1.02486998e-02  0.00000000e+00  5.39368885e-05 
 1.00997690e-10  1.19722782e-02  0.00000000e+00  6.43433610e-05 
 1.01162001e-10  1.39440163e-02  0.00000000e+00  7.82993552e-05 
 1.01356399e-10  1.62767885e-02  0.00000000e+00  9.73775145e-05 
 1.01589277e-10  1.90713297e-02  0.00000000e+00  1.23468478e-04 
 1.01879410e-10  2.25529206e-02  0.00000000e+00  1.60179162e-04 
 1.02187077e-10  2.62449202e-02  0.00000000e+00  2.03328382e-04 
 1.02513476e-10  3.01617066e-02  0.00000000e+00  2.52875611e-04 
 1.02851230e-10  3.42147607e-02  0.00000000e+00  3.07290882e-04 
 1.03215675e-10  3.85881034e-02  0.00000000e+00  3.68627033e-04 
 1.03599738e-10  4.31968586e-02  0.00000000e+00  4.35265673e-04 
 1.04016204e-10  4.81944510e-02  0.00000000e+00  5.08874823e-04 
 1.04460040e-10  5.35204749e-02  0.00000000e+00  5.87913270e-04 
 1.04945261e-10  5.93431291e-02  0.00000000e+00  6.74054651e-04 
 1.05470279e-10  6.56433487e-02  0.00000000e+00  7.66012159e-04 
 1.06052106e-10  7.26252775e-02  0.00000000e+00  8.65481998e-04 
 1.06694852e-10  8.03382290e-02  0.00000000e+00  9.71526459e-04 
 1.07413703e-10  8.89644328e-02  0.00000000e+00  1.08458097e-03 
 1.08193528e-10  9.83223368e-02  0.00000000e+00  1.20002744e-03 
 1.09061204e-10  1.08734450e-01  0.00000000e+00  1.31933866e-03 
 1.10015119e-10  1.20181427e-01  0.00000000e+00  1.43937892e-03 
 1.11080844e-10  1.32970124e-01  0.00000000e+00  1.56007117e-03 
 1.12250653e-10  1.47007838e-01  0.00000000e+00  1.67705213e-03 
 1.13540837e-10  1.62490043e-01  0.00000000e+00  1.78855110e-03 
 1.14930850e-10  1.79170195e-01  0.00000000e+00  1.88982898e-03 
 1.16414054e-10  1.96968652e-01  0.00000000e+00  1.97838683e-03 
 1.17947288e-10  2.15367461e-01  0.00000000e+00  2.05090038e-03 
 1.19226369e-10  2.30716422e-01  0.00000000e+00  2.09784242e-03 
 1.20627009e-10  2.47524108e-01  0.00000000e+00  2.13627775e-03 
 1.21787980e-10  2.61455756e-01  0.00000000e+00  2.15871822e-03 
 1.22866983e-10  2.74403801e-01  0.00000000e+00  2.17247725e-03 
 1.23727264e-10  2.84727166e-01  0.00000000e+00  2.17873591e-03 
 1.24700655e-10  2.96407861e-01  0.00000000e+00  2.18091294e-03 
 1.25458582e-10  3.05502987e-01  0.00000000e+00  2.17903427e-03 
 1.26137344e-10  3.13648130e-01  0.00000000e+00  2.17472049e-03 
 1.26865806e-10  3.22389670e-01  0.00000000e+00  2.16731638e-03 
 1.27499813e-10  3.29997760e-01  0.00000000e+00  2.15851133e-03 
 1.28177757e-10  3.38133090e-01  0.00000000e+00  2.14662937e-03 
 1.28878402e-10  3.46540829e-01  0.00000000e+00  2.13160502e-03 
 1.29620561e-10  3.55446729e-01  0.00000000e+00  2.11257478e-03 
