 frequency       vdb(in)         vdb(out)       
 1.00000000e+02 -2.44369750e+01 -3.07885553e+01 
 1.25892541e+02 -2.44369750e+01 -3.07885553e+01 
 1.58489319e+02 -2.44369750e+01 -3.07885553e+01 
 1.99526231e+02 -2.44369750e+01 -3.07885553e+01 
 2.51188643e+02 -2.44369750e+01 -3.07885553e+01 
 3.16227766e+02 -2.44369750e+01 -3.07885553e+01 
 3.98107171e+02 -2.44369750e+01 -3.07885553e+01 
 5.01187234e+02 -2.44369750e+01 -3.07885553e+01 
 6.30957344e+02 -2.44369750e+01 -3.07885553e+01 
 7.94328235e+02 -2.44369750e+01 -3.07885553e+01 
 1.00000000e+03 -2.44369750e+01 -3.07885553e+01 
 1.25892541e+03 -2.44369750e+01 -3.07885553e+01 
 1.58489319e+03 -2.44369750e+01 -3.07885553e+01 
 1.99526231e+03 -2.44369750e+01 -3.07885553e+01 
 2.51188643e+03 -2.44369750e+01 -3.07885553e+01 
 3.16227766e+03 -2.44369750e+01 -3.07885553e+01 
 3.98107171e+03 -2.44369750e+01 -3.07885553e+01 
 5.01187234e+03 -2.44369750e+01 -3.07885553e+01 
 6.30957344e+03 -2.44369750e+01 -3.07885553e+01 
 7.94328235e+03 -2.44369750e+01 -3.07885553e+01 
 1.00000000e+04 -2.44369750e+01 -3.07885554e+01 
 1.25892541e+04 -2.44369750e+01 -3.07885555e+01 
 1.58489319e+04 -2.44369750e+01 -3.07885556e+01 
 1.99526231e+04 -2.44369750e+01 -3.07885557e+01 
 2.51188643e+04 -2.44369750e+01 -3.07885560e+01 
 3.16227766e+04 -2.44369750e+01 -3.07885564e+01 
 3.98107171e+04 -2.44369750e+01 -3.07885571e+01 
 5.01187234e+04 -2.44369750e+01 -3.07885581e+01 
 6.30957344e+04 -2.44369750e+01 -3.07885598e+01 
 7.94328235e+04 -2.44369750e+01 -3.07885624e+01 
 1.00000000e+05 -2.44369750e+01 -3.07885666e+01 
 1.25892541e+05 -2.44369750e+01 -3.07885733e+01 
 1.58489319e+05 -2.44369750e+01 -3.07885838e+01 
 1.99526231e+05 -2.44369750e+01 -3.07886005e+01 
 2.51188643e+05 -2.44369750e+01 -3.07886270e+01 
 3.16227766e+05 -2.44369750e+01 -3.07886690e+01 
 3.98107171e+05 -2.44369750e+01 -3.07887355e+01 
 5.01187234e+05 -2.44369750e+01 -3.07888409e+01 
 6.30957344e+05 -2.44369750e+01 -3.07890080e+01 
 7.94328235e+05 -2.44369750e+01 -3.07892727e+01 
 1.00000000e+06 -2.44369750e+01 -3.07896923e+01 
 1.25892541e+06 -2.44369750e+01 -3.07903572e+01 
 1.58489319e+06 -2.44369750e+01 -3.07914107e+01 
 1.99526231e+06 -2.44369750e+01 -3.07930800e+01 
 2.51188643e+06 -2.44369750e+01 -3.07957243e+01 
 3.16227766e+06 -2.44369750e+01 -3.07999120e+01 
 3.98107171e+06 -2.44369750e+01 -3.08065407e+01 
 5.01187234e+06 -2.44369750e+01 -3.08170259e+01 
 6.30957344e+06 -2.44369750e+01 -3.08335920e+01 
 7.94328235e+06 -2.44369750e+01 -3.08597189e+01 
 1.00000000e+07 -2.44369750e+01 -3.09008078e+01 
 1.25892541e+07 -2.44369750e+01 -3.09651433e+01 
 1.58489319e+07 -2.44369750e+01 -3.10651952e+01 
 1.99526231e+07 -2.44369750e+01 -3.12191911e+01 
 2.51188643e+07 -2.44369750e+01 -3.14525951e+01 
 3.16227766e+07 -2.44369750e+01 -3.17985931e+01 
 3.98107171e+07 -2.44369750e+01 -3.22960713e+01 
 5.01187234e+07 -2.44369750e+01 -3.29836175e+01 
 6.30957344e+07 -2.44369750e+01 -3.38899087e+01 
 7.94328235e+07 -2.44369750e+01 -3.50243278e+01 
 1.00000000e+08 -2.44369750e+01 -3.63734887e+01 
 1.25892541e+08 -2.44369750e+01 -3.79061160e+01 
 1.58489319e+08 -2.44369750e+01 -3.95828879e+01 
 1.99526231e+08 -2.44369750e+01 -4.13655628e+01 
 2.51188643e+08 -2.44369750e+01 -4.32221894e+01 
 3.16227766e+08 -2.44369750e+01 -4.51285251e+01 
 3.98107171e+08 -2.44369750e+01 -4.70672398e+01 
 5.01187234e+08 -2.44369750e+01 -4.90263156e+01 
 6.30957344e+08 -2.44369750e+01 -5.09974207e+01 
 7.94328235e+08 -2.44369750e+01 -5.29745301e+01 
 1.00000000e+09 -2.44369750e+01 -5.49528096e+01 
