 frequency       vdb(in)         vdb(d)         
 1.00000000e+02 -2.44369750e+01 -1.11588140e+01 
 1.25892541e+02 -2.44369750e+01 -1.11588140e+01 
 1.58489319e+02 -2.44369750e+01 -1.11588140e+01 
 1.99526231e+02 -2.44369750e+01 -1.11588140e+01 
 2.51188643e+02 -2.44369750e+01 -1.11588140e+01 
 3.16227766e+02 -2.44369750e+01 -1.11588140e+01 
 3.98107171e+02 -2.44369750e+01 -1.11588140e+01 
 5.01187234e+02 -2.44369750e+01 -1.11588140e+01 
 6.30957344e+02 -2.44369750e+01 -1.11588140e+01 
 7.94328235e+02 -2.44369750e+01 -1.11588140e+01 
 1.00000000e+03 -2.44369750e+01 -1.11588140e+01 
 1.25892541e+03 -2.44369750e+01 -1.11588140e+01 
 1.58489319e+03 -2.44369750e+01 -1.11588140e+01 
 1.99526231e+03 -2.44369750e+01 -1.11588141e+01 
 2.51188643e+03 -2.44369750e+01 -1.11588141e+01 
 3.16227766e+03 -2.44369750e+01 -1.11588142e+01 
 3.98107171e+03 -2.44369750e+01 -1.11588143e+01 
 5.01187234e+03 -2.44369750e+01 -1.11588145e+01 
 6.30957344e+03 -2.44369750e+01 -1.11588148e+01 
 7.94328235e+03 -2.44369750e+01 -1.11588153e+01 
 1.00000000e+04 -2.44369750e+01 -1.11588161e+01 
 1.25892541e+04 -2.44369750e+01 -1.11588174e+01 
 1.58489319e+04 -2.44369750e+01 -1.11588193e+01 
 1.99526231e+04 -2.44369750e+01 -1.11588225e+01 
 2.51188643e+04 -2.44369750e+01 -1.11588275e+01 
 3.16227766e+04 -2.44369750e+01 -1.11588354e+01 
 3.98107171e+04 -2.44369750e+01 -1.11588479e+01 
 5.01187234e+04 -2.44369750e+01 -1.11588678e+01 
 6.30957344e+04 -2.44369750e+01 -1.11588992e+01 
 7.94328235e+04 -2.44369750e+01 -1.11589491e+01 
 1.00000000e+05 -2.44369750e+01 -1.11590282e+01 
 1.25892541e+05 -2.44369750e+01 -1.11591534e+01 
 1.58489319e+05 -2.44369750e+01 -1.11593520e+01 
 1.99526231e+05 -2.44369750e+01 -1.11596666e+01 
 2.51188643e+05 -2.44369750e+01 -1.11601653e+01 
 3.16227766e+05 -2.44369750e+01 -1.11609555e+01 
 3.98107171e+05 -2.44369750e+01 -1.11622076e+01 
 5.01187234e+05 -2.44369750e+01 -1.11641912e+01 
 6.30957344e+05 -2.44369750e+01 -1.11673333e+01 
 7.94328235e+05 -2.44369750e+01 -1.11723084e+01 
 1.00000000e+06 -2.44369750e+01 -1.11801818e+01 
 1.25892541e+06 -2.44369750e+01 -1.11926312e+01 
 1.58489319e+06 -2.44369750e+01 -1.12122892e+01 
 1.99526231e+06 -2.44369750e+01 -1.12432641e+01 
 2.51188643e+06 -2.44369750e+01 -1.12919078e+01 
 3.16227766e+06 -2.44369750e+01 -1.13679039e+01 
 3.98107171e+06 -2.44369750e+01 -1.14856902e+01 
 5.01187234e+06 -2.44369750e+01 -1.16660620e+01 
 6.30957344e+06 -2.44369750e+01 -1.19374201e+01 
 7.94328235e+06 -2.44369750e+01 -1.23355169e+01 
 1.00000000e+07 -2.44369750e+01 -1.29000671e+01 
 1.25892541e+07 -2.44369750e+01 -1.36671824e+01 
 1.58489319e+07 -2.44369750e+01 -1.46592108e+01 
 1.99526231e+07 -2.44369750e+01 -1.58769582e+01 
 2.51188643e+07 -2.44369750e+01 -1.72993875e+01 
 3.16227766e+07 -2.44369750e+01 -1.88910090e+01 
 3.98107171e+07 -2.44369750e+01 -2.06120663e+01 
 5.01187234e+07 -2.44369750e+01 -2.24263757e+01 
 6.30957344e+07 -2.44369750e+01 -2.43049901e+01 
 7.94328235e+07 -2.44369750e+01 -2.62266157e+01 
 1.00000000e+08 -2.44369750e+01 -2.81764239e+01 
 1.25892541e+08 -2.44369750e+01 -3.01444488e+01 
 1.58489319e+08 -2.44369750e+01 -3.21241441e+01 
 1.99526231e+08 -2.44369750e+01 -3.41112708e+01 
 2.51188643e+08 -2.44369750e+01 -3.61031083e+01 
 3.16227766e+08 -2.44369750e+01 -3.80979180e+01 
 3.98107171e+08 -2.44369750e+01 -4.00945887e+01 
 5.01187234e+08 -2.44369750e+01 -4.20924057e+01 
 6.30957344e+08 -2.44369750e+01 -4.40908991e+01 
 7.94328235e+08 -2.44369750e+01 -4.60897445e+01 
 1.00000000e+09 -2.44369750e+01 -4.80886928e+01 
