 v-sweep         v(1)            i(vd)          
 0.00000000e+00  2.00000000e-01  0.00000000e+00 
 2.00000000e-02  2.00000000e-01 -3.55314238e-08 
 4.00000000e-02  2.00000000e-01 -5.12420388e-08 
 6.00000000e-02  2.00000000e-01 -5.82395598e-08 
 8.00000000e-02  2.00000000e-01 -6.15274568e-08 
 1.00000000e-01  2.00000000e-01 -6.31943979e-08 
 1.20000000e-01  2.00000000e-01 -6.41099858e-08 
 1.40000000e-01  2.00000000e-01 -6.46514918e-08 
 1.60000000e-01  2.00000000e-01 -6.49929560e-08 
 1.80000000e-01  2.00000000e-01 -6.52673730e-08 
 2.00000000e-01  2.00000000e-01 -6.54075064e-08 
 2.20000000e-01  2.00000000e-01 -6.55115090e-08 
 2.40000000e-01  2.00000000e-01 -6.55905409e-08 
 2.60000000e-01  2.00000000e-01 -6.56518795e-08 
 2.80000000e-01  2.00000000e-01 -6.57003860e-08 
 3.00000000e-01  2.00000000e-01 -6.57393855e-08 
 3.20000000e-01  2.00000000e-01 -6.57712045e-08 
 3.40000000e-01  2.00000000e-01 -6.57975052e-08 
 3.60000000e-01  2.00000000e-01 -6.58194982e-08 
 3.80000000e-01  2.00000000e-01 -6.58380808e-08 
 4.00000000e-01  2.00000000e-01 -6.58539289e-08 
 4.20000000e-01  2.00000000e-01 -6.58675590e-08 
 4.40000000e-01  2.00000000e-01 -6.58793715e-08 
 4.60000000e-01  2.00000000e-01 -6.58896799e-08 
 4.80000000e-01  2.00000000e-01 -6.58987331e-08 
 5.00000000e-01  2.00000000e-01 -6.59067303e-08 
 5.20000000e-01  2.00000000e-01 -6.59138326e-08 
 5.40000000e-01  2.00000000e-01 -6.59201715e-08 
 5.60000000e-01  2.00000000e-01 -6.59258550e-08 
 5.80000000e-01  2.00000000e-01 -6.59309726e-08 
 6.00000000e-01  2.00000000e-01 -6.59355989e-08 
 6.20000000e-01  2.00000000e-01 -6.59397967e-08 
 6.40000000e-01  2.00000000e-01 -6.59436189e-08 
 6.60000000e-01  2.00000000e-01 -6.59471103e-08 
 6.80000000e-01  2.00000000e-01 -6.59503095e-08 
 7.00000000e-01  2.00000000e-01 -6.59532493e-08 
 7.20000000e-01  2.00000000e-01 -6.59559581e-08 
 7.40000000e-01  2.00000000e-01 -6.59584605e-08 
 7.60000000e-01  2.00000000e-01 -6.59607779e-08 
 7.80000000e-01  2.00000000e-01 -6.59629289e-08 
 8.00000000e-01  2.00000000e-01 -6.59649298e-08 
 8.20000000e-01  2.00000000e-01 -6.59667950e-08 
 8.40000000e-01  2.00000000e-01 -6.59685372e-08 
 8.60000000e-01  2.00000000e-01 -6.59701676e-08 
 8.80000000e-01  2.00000000e-01 -6.59716961e-08 
 9.00000000e-01  2.00000000e-01 -6.59731315e-08 
 9.20000000e-01  2.00000000e-01 -6.59744818e-08 
 9.40000000e-01  2.00000000e-01 -6.59757541e-08 
 9.60000000e-01  2.00000000e-01 -6.59769546e-08 
 9.80000000e-01  2.00000000e-01 -6.59780891e-08 
 1.00000000e+00  2.00000000e-01 -6.59791627e-08 
 1.02000000e+00  2.00000000e-01 -6.59801801e-08 
 1.04000000e+00  2.00000000e-01 -6.59811454e-08 
 1.06000000e+00  2.00000000e-01 -6.59820625e-08 
 1.08000000e+00  2.00000000e-01 -6.59829349e-08 
 1.10000000e+00  2.00000000e-01 -6.59837656e-08 
 1.12000000e+00  2.00000000e-01 -6.59845576e-08 
 1.14000000e+00  2.00000000e-01 -6.59853134e-08 
 1.16000000e+00  2.00000000e-01 -6.59860355e-08 
 1.18000000e+00  2.00000000e-01 -6.59867262e-08 
 1.20000000e+00  2.00000000e-01 -6.59873873e-08 
 0.00000000e+00  4.00000000e-01  0.00000000e+00 
 2.00000000e-02  4.00000000e-01 -1.30476712e-05 
 4.00000000e-02  4.00000000e-01 -2.02466314e-05 
 6.00000000e-02  4.00000000e-01 -2.39345068e-05 
 8.00000000e-02  4.00000000e-01 -2.58210303e-05 
 1.00000000e-01  4.00000000e-01 -2.68366922e-05 
 1.20000000e-01  4.00000000e-01 -2.74271296e-05 
 1.40000000e-01  4.00000000e-01 -2.77999579e-05 
 1.60000000e-01  4.00000000e-01 -2.80543445e-05 
 1.80000000e-01  4.00000000e-01 -2.82399853e-05 
 2.00000000e-01  4.00000000e-01 -2.84012474e-05 
 2.20000000e-01  4.00000000e-01 -2.85107544e-05 
 2.40000000e-01  4.00000000e-01 -2.86036823e-05 
 2.60000000e-01  4.00000000e-01 -2.86843570e-05 
 2.80000000e-01  4.00000000e-01 -2.87557031e-05 
 3.00000000e-01  4.00000000e-01 -2.88197553e-05 
 3.20000000e-01  4.00000000e-01 -2.88779677e-05 
 3.40000000e-01  4.00000000e-01 -2.89314063e-05 
 3.60000000e-01  4.00000000e-01 -2.89808706e-05 
 3.80000000e-01  4.00000000e-01 -2.90269736e-05 
 4.00000000e-01  4.00000000e-01 -2.90701938e-05 
 4.20000000e-01  4.00000000e-01 -2.91109119e-05 
 4.40000000e-01  4.00000000e-01 -2.91494351e-05 
 4.60000000e-01  4.00000000e-01 -2.91860153e-05 
 4.80000000e-01  4.00000000e-01 -2.92208611e-05 
 5.00000000e-01  4.00000000e-01 -2.92541478e-05 
 5.20000000e-01  4.00000000e-01 -2.92860240e-05 
 5.40000000e-01  4.00000000e-01 -2.93166169e-05 
 5.60000000e-01  4.00000000e-01 -2.93460362e-05 
 5.80000000e-01  4.00000000e-01 -2.93743774e-05 
 6.00000000e-01  4.00000000e-01 -2.94017241e-05 
 6.20000000e-01  4.00000000e-01 -2.94281502e-05 
 6.40000000e-01  4.00000000e-01 -2.94537208e-05 
 6.60000000e-01  4.00000000e-01 -2.94784944e-05 
 6.80000000e-01  4.00000000e-01 -2.95025232e-05 
 7.00000000e-01  4.00000000e-01 -2.95258540e-05 
 7.20000000e-01  4.00000000e-01 -2.95485294e-05 
 7.40000000e-01  4.00000000e-01 -2.95705877e-05 
 7.60000000e-01  4.00000000e-01 -2.95920642e-05 
 7.80000000e-01  4.00000000e-01 -2.96129906e-05 
 8.00000000e-01  4.00000000e-01 -2.96333964e-05 
 8.20000000e-01  4.00000000e-01 -2.96533085e-05 
 8.40000000e-01  4.00000000e-01 -2.96727517e-05 
 8.60000000e-01  4.00000000e-01 -2.96917487e-05 
 8.80000000e-01  4.00000000e-01 -2.97103210e-05 
 9.00000000e-01  4.00000000e-01 -2.97284880e-05 
 9.20000000e-01  4.00000000e-01 -2.97462681e-05 
 9.40000000e-01  4.00000000e-01 -2.97636783e-05 
 9.60000000e-01  4.00000000e-01 -2.97807345e-05 
 9.80000000e-01  4.00000000e-01 -2.97974514e-05 
 1.00000000e+00  4.00000000e-01 -2.98138431e-05 
 1.02000000e+00  4.00000000e-01 -2.98299225e-05 
 1.04000000e+00  4.00000000e-01 -2.98457019e-05 
 1.06000000e+00  4.00000000e-01 -2.98611928e-05 
 1.08000000e+00  4.00000000e-01 -2.98764060e-05 
 1.10000000e+00  4.00000000e-01 -2.98913518e-05 
 1.12000000e+00  4.00000000e-01 -2.99060397e-05 
 1.14000000e+00  4.00000000e-01 -2.99204790e-05 
 1.16000000e+00  4.00000000e-01 -2.99346783e-05 
 1.18000000e+00  4.00000000e-01 -2.99486457e-05 
 1.20000000e+00  4.00000000e-01 -2.99623890e-05 
 0.00000000e+00  6.00000000e-01  0.00000000e+00 
 2.00000000e-02  6.00000000e-01 -1.11707833e-04 
 4.00000000e-02  6.00000000e-01 -2.06810155e-04 
 6.00000000e-02  6.00000000e-01 -2.84681612e-04 
 8.00000000e-02  6.00000000e-01 -3.46571945e-04 
 1.00000000e-01  6.00000000e-01 -3.94775266e-04 
 1.20000000e-01  6.00000000e-01 -4.31909104e-04 
 1.40000000e-01  6.00000000e-01 -4.60445801e-04 
 1.60000000e-01  6.00000000e-01 -4.82484380e-04 
 1.80000000e-01  6.00000000e-01 -4.99690258e-04 
 2.00000000e-01  6.00000000e-01 -5.13327712e-04 
 2.20000000e-01  6.00000000e-01 -5.24330104e-04 
 2.40000000e-01  6.00000000e-01 -5.33375640e-04 
 2.60000000e-01  6.00000000e-01 -5.40953741e-04 
 2.80000000e-01  6.00000000e-01 -5.47925028e-04 
 3.00000000e-01  6.00000000e-01 -5.53415974e-04 
 3.20000000e-01  6.00000000e-01 -5.58266097e-04 
 3.40000000e-01  6.00000000e-01 -5.62604662e-04 
 3.60000000e-01  6.00000000e-01 -5.66528665e-04 
 3.80000000e-01  6.00000000e-01 -5.70111854e-04 
 4.00000000e-01  6.00000000e-01 -5.73411046e-04 
 4.20000000e-01  6.00000000e-01 -5.76470590e-04 
 4.40000000e-01  6.00000000e-01 -5.79325540e-04 
 4.60000000e-01  6.00000000e-01 -5.82003945e-04 
 4.80000000e-01  6.00000000e-01 -5.84528513e-04 
 5.00000000e-01  6.00000000e-01 -5.86917829e-04 
 5.20000000e-01  6.00000000e-01 -5.89187269e-04 
 5.40000000e-01  6.00000000e-01 -5.91349675e-04 
 5.60000000e-01  6.00000000e-01 -5.93415875e-04 
 5.80000000e-01  6.00000000e-01 -5.95395076e-04 
 6.00000000e-01  6.00000000e-01 -5.97295171e-04 
 6.20000000e-01  6.00000000e-01 -5.99122979e-04 
 6.40000000e-01  6.00000000e-01 -6.00884430e-04 
 6.60000000e-01  6.00000000e-01 -6.02584714e-04 
 6.80000000e-01  6.00000000e-01 -6.04228403e-04 
 7.00000000e-01  6.00000000e-01 -6.05819547e-04 
 7.20000000e-01  6.00000000e-01 -6.07361749e-04 
 7.40000000e-01  6.00000000e-01 -6.08858235e-04 
 7.60000000e-01  6.00000000e-01 -6.10311901e-04 
 7.80000000e-01  6.00000000e-01 -6.11725362e-04 
 8.00000000e-01  6.00000000e-01 -6.13100987e-04 
 8.20000000e-01  6.00000000e-01 -6.14440927e-04 
 8.40000000e-01  6.00000000e-01 -6.15747148e-04 
 8.60000000e-01  6.00000000e-01 -6.17021445e-04 
 8.80000000e-01  6.00000000e-01 -6.18265469e-04 
 9.00000000e-01  6.00000000e-01 -6.19480737e-04 
 9.20000000e-01  6.00000000e-01 -6.20668650e-04 
 9.40000000e-01  6.00000000e-01 -6.21830502e-04 
 9.60000000e-01  6.00000000e-01 -6.22967496e-04 
 9.80000000e-01  6.00000000e-01 -6.24080747e-04 
