 v-sweep         v(3)            i(vd)          
 6.00000000e-01  0.00000000e+00 -3.77093713e-04 
 6.20000000e-01  0.00000000e+00 -4.50720151e-04 
 6.40000000e-01  0.00000000e+00 -5.26333377e-04 
 6.60000000e-01  0.00000000e+00 -6.02622051e-04 
 6.80000000e-01  0.00000000e+00 -6.80016398e-04 
 7.00000000e-01  0.00000000e+00 -7.57151009e-04 
 7.20000000e-01  0.00000000e+00 -8.33613050e-04 
 7.40000000e-01  0.00000000e+00 -9.09090262e-04 
 7.60000000e-01  0.00000000e+00 -9.83349375e-04 
 7.80000000e-01  0.00000000e+00 -1.05621887e-03 
 8.00000000e-01  0.00000000e+00 -1.12757539e-03 
 8.20000000e-01  0.00000000e+00 -1.19733309e-03 
 8.40000000e-01  0.00000000e+00 -1.26543534e-03 
 8.60000000e-01  0.00000000e+00 -1.33184826e-03 
 8.80000000e-01  0.00000000e+00 -1.39655561e-03 
 9.00000000e-01  0.00000000e+00 -1.45955491e-03 
 9.20000000e-01  0.00000000e+00 -1.52085430e-03 
 9.40000000e-01  0.00000000e+00 -1.58047009e-03 
 9.60000000e-01  0.00000000e+00 -1.63842490e-03 
 9.80000000e-01  0.00000000e+00 -1.69474609e-03 
 1.00000000e+00  0.00000000e+00 -1.74946457e-03 
 1.02000000e+00  0.00000000e+00 -1.80261389e-03 
 1.04000000e+00  0.00000000e+00 -1.85422940e-03 
 1.06000000e+00  0.00000000e+00 -1.90434774e-03 
 1.08000000e+00  0.00000000e+00 -1.95300630e-03 
 1.10000000e+00  0.00000000e+00 -2.00024285e-03 
 1.12000000e+00  0.00000000e+00 -2.04609525e-03 
 1.14000000e+00  0.00000000e+00 -2.09060122e-03 
 1.16000000e+00  0.00000000e+00 -2.13379810e-03 
 1.18000000e+00  0.00000000e+00 -2.17572276e-03 
 1.20000000e+00  0.00000000e+00 -2.21641148e-03 
 6.00000000e-01 -3.00000000e-01 -2.10518695e-04 
 6.20000000e-01 -3.00000000e-01 -2.73493768e-04 
 6.40000000e-01 -3.00000000e-01 -3.41444150e-04 
 6.60000000e-01 -3.00000000e-01 -4.12919953e-04 
 6.80000000e-01 -3.00000000e-01 -4.86709135e-04 
 7.00000000e-01 -3.00000000e-01 -5.61310159e-04 
 7.20000000e-01 -3.00000000e-01 -6.37346862e-04 
 7.40000000e-01 -3.00000000e-01 -7.13258159e-04 
 7.60000000e-01 -3.00000000e-01 -7.88596626e-04 
 7.80000000e-01 -3.00000000e-01 -8.63024594e-04 
 8.00000000e-01 -3.00000000e-01 -9.36290318e-04 
 8.20000000e-01 -3.00000000e-01 -1.00820897e-03 
 8.40000000e-01 -3.00000000e-01 -1.07864767e-03 
 8.60000000e-01 -3.00000000e-01 -1.14751385e-03 
 8.80000000e-01 -3.00000000e-01 -1.21474617e-03 
 9.00000000e-01 -3.00000000e-01 -1.28030749e-03 
 9.20000000e-01 -3.00000000e-01 -1.34417940e-03 
 9.40000000e-01 -3.00000000e-01 -1.40635797e-03 
 9.60000000e-01 -3.00000000e-01 -1.46685043e-03 
 9.80000000e-01 -3.00000000e-01 -1.52567259e-03 
 1.00000000e+00 -3.00000000e-01 -1.58284679e-03 
 1.02000000e+00 -3.00000000e-01 -1.63840032e-03 
 1.04000000e+00 -3.00000000e-01 -1.69236412e-03 
 1.06000000e+00 -3.00000000e-01 -1.74477183e-03 
 1.08000000e+00 -3.00000000e-01 -1.79565898e-03 
 1.10000000e+00 -3.00000000e-01 -1.84506235e-03 
 1.12000000e+00 -3.00000000e-01 -1.89301950e-03 
 1.14000000e+00 -3.00000000e-01 -1.93956837e-03 
 1.16000000e+00 -3.00000000e-01 -1.98474696e-03 
 1.18000000e+00 -3.00000000e-01 -2.02859310e-03 
 1.20000000e+00 -3.00000000e-01 -2.07114424e-03 
 6.00000000e-01 -6.00000000e-01 -9.64711290e-05 
 6.20000000e-01 -6.00000000e-01 -1.42326611e-04 
 6.40000000e-01 -6.00000000e-01 -1.96632579e-04 
 6.60000000e-01 -6.00000000e-01 -2.57730821e-04 
 6.80000000e-01 -6.00000000e-01 -3.23957298e-04 
 7.00000000e-01 -6.00000000e-01 -3.93829726e-04 
 7.20000000e-01 -6.00000000e-01 -4.66106449e-04 
 7.40000000e-01 -6.00000000e-01 -5.39783778e-04 
 7.60000000e-01 -6.00000000e-01 -6.13881299e-04 
 7.80000000e-01 -6.00000000e-01 -6.88440414e-04 
 8.00000000e-01 -6.00000000e-01 -7.62454466e-04 
 8.20000000e-01 -6.00000000e-01 -8.35581184e-04 
 8.40000000e-01 -6.00000000e-01 -9.07566232e-04 
 8.60000000e-01 -6.00000000e-01 -9.78223525e-04 
 8.80000000e-01 -6.00000000e-01 -1.04741980e-03 
 9.00000000e-01 -6.00000000e-01 -1.11506261e-03 
 9.20000000e-01 -6.00000000e-01 -1.18109105e-03 
 9.40000000e-01 -6.00000000e-01 -1.24546854e-03 
 9.60000000e-01 -6.00000000e-01 -1.30817732e-03 
 9.80000000e-01 -6.00000000e-01 -1.36921405e-03 
 1.00000000e+00 -6.00000000e-01 -1.42858653e-03 
 1.02000000e+00 -6.00000000e-01 -1.48631107e-03 
 1.04000000e+00 -6.00000000e-01 -1.54241040e-03 
 1.06000000e+00 -6.00000000e-01 -1.59691213e-03 
 1.08000000e+00 -6.00000000e-01 -1.64984746e-03 
 1.10000000e+00 -6.00000000e-01 -1.70125016e-03 
 1.12000000e+00 -6.00000000e-01 -1.75115587e-03 
 1.14000000e+00 -6.00000000e-01 -1.79960136e-03 
 1.16000000e+00 -6.00000000e-01 -1.84662417e-03 
 1.18000000e+00 -6.00000000e-01 -1.89226211e-03 
 1.20000000e+00 -6.00000000e-01 -1.93655306e-03 
 6.00000000e-01 -9.00000000e-01 -3.35874905e-05 
 6.20000000e-01 -9.00000000e-01 -5.92522423e-05 
 6.40000000e-01 -9.00000000e-01 -9.49407031e-05 
 6.60000000e-01 -9.00000000e-01 -1.40232463e-04 
 6.80000000e-01 -9.00000000e-01 -1.93834600e-04 
 7.00000000e-01 -9.00000000e-01 -2.54084198e-04 
 7.20000000e-01 -9.00000000e-01 -3.19324914e-04 
 7.40000000e-01 -9.00000000e-01 -3.88089991e-04 
 7.60000000e-01 -9.00000000e-01 -4.59156813e-04 
 7.80000000e-01 -9.00000000e-01 -5.31027870e-04 
 8.00000000e-01 -9.00000000e-01 -6.04311078e-04 
 8.20000000e-01 -9.00000000e-01 -6.77457857e-04 
 8.40000000e-01 -9.00000000e-01 -7.50028027e-04 
 8.60000000e-01 -9.00000000e-01 -8.21691786e-04 
 8.80000000e-01 -9.00000000e-01 -8.92205170e-04 
 9.00000000e-01 -9.00000000e-01 -9.61390633e-04 
 9.20000000e-01 -9.00000000e-01 -1.02912187e-03 
 9.40000000e-01 -9.00000000e-01 -1.09531210e-03 
 9.60000000e-01 -9.00000000e-01 -1.15990492e-03 
 9.80000000e-01 -9.00000000e-01 -1.22286741e-03 
 1.00000000e+00 -9.00000000e-01 -1.28418462e-03 
 1.02000000e+00 -9.00000000e-01 -1.34385549e-03 
 1.04000000e+00 -9.00000000e-01 -1.40188951e-03 
 1.06000000e+00 -9.00000000e-01 -1.45830426e-03 
 1.08000000e+00 -9.00000000e-01 -1.51312344e-03 
 1.10000000e+00 -9.00000000e-01 -1.56637529e-03 
 1.12000000e+00 -9.00000000e-01 -1.61809139e-03 
 1.14000000e+00 -9.00000000e-01 -1.66830576e-03 
 1.16000000e+00 -9.00000000e-01 -1.71705403e-03 
 1.18000000e+00 -9.00000000e-01 -1.76437293e-03 
 1.20000000e+00 -9.00000000e-01 -1.81029977e-03 
 6.00000000e-01 -1.20000000e+00 -8.64474439e-06 
 6.20000000e-01 -1.20000000e+00 -1.86003815e-05 
 6.40000000e-01 -1.20000000e+00 -3.60460988e-05 
 6.60000000e-01 -1.20000000e+00 -6.28007500e-05 
 6.80000000e-01 -1.20000000e+00 -9.94674589e-05 
 7.00000000e-01 -1.20000000e+00 -1.45449679e-04 
 7.20000000e-01 -1.20000000e+00 -1.99361828e-04 
 7.40000000e-01 -1.20000000e+00 -2.59528399e-04 
 7.60000000e-01 -1.20000000e+00 -3.24328262e-04 
 7.80000000e-01 -1.20000000e+00 -3.92348861e-04 
 8.00000000e-01 -1.20000000e+00 -4.62424783e-04 
 8.20000000e-01 -1.20000000e+00 -5.33199933e-04 
 8.40000000e-01 -1.20000000e+00 -6.05129711e-04 
 8.60000000e-01 -1.20000000e+00 -6.76818075e-04 
 8.80000000e-01 -1.20000000e+00 -7.47856100e-04 
 9.00000000e-01 -1.20000000e+00 -8.17938950e-04 
 9.20000000e-01 -1.20000000e+00 -8.86842441e-04 
 9.40000000e-01 -1.20000000e+00 -9.54404606e-04 
 9.60000000e-01 -1.20000000e+00 -1.02051136e-03 
 9.80000000e-01 -1.20000000e+00 -1.08508546e-03 
 1.00000000e+00 -1.20000000e+00 -1.14807793e-03 
 1.02000000e+00 -1.20000000e+00 -1.20946158e-03 
 1.04000000e+00 -1.20000000e+00 -1.26922585e-03 
 1.06000000e+00 -1.20000000e+00 -1.32737300e-03 
 1.08000000e+00 -1.20000000e+00 -1.38391501e-03 
 1.10000000e+00 -1.20000000e+00 -1.43887128e-03 
 1.12000000e+00 -1.20000000e+00 -1.49226675e-03 
 1.14000000e+00 -1.20000000e+00 -1.54413049e-03 
 1.16000000e+00 -1.20000000e+00 -1.59449459e-03 
 1.18000000e+00 -1.20000000e+00 -1.64339325e-03 
 1.20000000e+00 -1.20000000e+00 -1.69086210e-03 
