 v-sweep         v(3)            i(vd)          
 6.00000000e-01  0.00000000e+00  1.00000000e-13 
 5.80000000e-01  0.00000000e+00  1.00000000e-13 
 5.60000000e-01  0.00000000e+00  1.00000000e-13 
 5.40000000e-01  0.00000000e+00  1.00000000e-13 
 5.20000000e-01  0.00000000e+00  1.00000000e-13 
 5.00000000e-01  0.00000000e+00  1.00000000e-13 
 4.80000000e-01  0.00000000e+00  1.00000000e-13 
 4.60000000e-01  0.00000000e+00  1.00000000e-13 
 4.40000000e-01  0.00000000e+00  1.00000000e-13 
 4.20000000e-01  0.00000000e+00  1.00000001e-13 
 4.00000000e-01  0.00000000e+00  1.00000002e-13 
 3.80000000e-01  0.00000000e+00  1.00000003e-13 
 3.60000000e-01  0.00000000e+00  1.00000008e-13 
 3.40000000e-01  0.00000000e+00  1.00000017e-13 
 3.20000000e-01  0.00000000e+00  1.00000039e-13 
 3.00000000e-01  0.00000000e+00  1.00000089e-13 
 2.80000000e-01  0.00000000e+00  1.00000202e-13 
 2.60000000e-01  0.00000000e+00  1.00000462e-13 
 2.40000000e-01  0.00000000e+00  1.00001057e-13 
 2.20000000e-01  0.00000000e+00  1.00002428e-13 
 2.00000000e-01  0.00000000e+00  1.00005592e-13 
 1.80000000e-01  0.00000000e+00  1.00012919e-13 
 1.60000000e-01  0.00000000e+00  1.00029931e-13 
 1.40000000e-01  0.00000000e+00  1.00069529e-13 
 1.20000000e-01  0.00000000e+00  1.00161934e-13 
 1.00000000e-01  0.00000000e+00  1.00378098e-13 
 8.00000000e-02  0.00000000e+00  1.00884960e-13 
 6.00000000e-02  0.00000000e+00  1.02076167e-13 
 4.00000000e-02  0.00000000e+00  1.04881893e-13 
 2.00000000e-02  0.00000000e+00  1.11504569e-13 
-1.73472348e-16  0.00000000e+00  1.27169452e-13 
-2.00000000e-02  0.00000000e+00  1.64296326e-13 
-4.00000000e-02  0.00000000e+00  2.52463990e-13 
-6.00000000e-02  0.00000000e+00  4.62238664e-13 
-8.00000000e-02  0.00000000e+00  9.62273096e-13 
-1.00000000e-01  0.00000000e+00  2.15634200e-12 
-1.20000000e-01  0.00000000e+00  6.37868486e-12 
-1.40000000e-01  0.00000000e+00  1.51382622e-11 
-1.60000000e-01  0.00000000e+00  3.61790630e-11 
-1.80000000e-01  0.00000000e+00  8.68006974e-11 
-2.00000000e-01  0.00000000e+00  2.08780312e-10 
-2.20000000e-01  0.00000000e+00  5.03153539e-10 
-2.40000000e-01  0.00000000e+00  1.21461578e-09 
-2.60000000e-01  0.00000000e+00  2.93659917e-09 
-2.80000000e-01  0.00000000e+00  7.11015369e-09 
-3.00000000e-01  0.00000000e+00  1.72387135e-08 
-3.20000000e-01  0.00000000e+00  4.18473783e-08 
-3.40000000e-01  0.00000000e+00  1.01691890e-07 
-3.60000000e-01  0.00000000e+00  2.47237187e-07 
-3.80000000e-01  0.00000000e+00  6.00680548e-07 
-4.00000000e-01  0.00000000e+00  1.45434609e-06 
-4.20000000e-01  0.00000000e+00  3.48701698e-06 
-4.40000000e-01  0.00000000e+00  8.17276596e-06 
-4.60000000e-01  0.00000000e+00  1.83155390e-05 
-4.80000000e-01  0.00000000e+00  3.82011478e-05 
-5.00000000e-01  0.00000000e+00  7.27084604e-05 
-5.20000000e-01  0.00000000e+00  1.25741549e-04 
-5.40000000e-01  0.00000000e+00  1.99117992e-04 
-5.60000000e-01  0.00000000e+00  2.92386187e-04 
-5.80000000e-01  0.00000000e+00  4.03362150e-04 
-6.00000000e-01  0.00000000e+00  5.28968609e-04 
-6.20000000e-01  0.00000000e+00  6.65956471e-04 
-6.40000000e-01  0.00000000e+00  8.11324499e-04 
-6.60000000e-01  0.00000000e+00  9.62490106e-04 
-6.80000000e-01  0.00000000e+00  1.11732118e-03 
