 frequency       frequency       onoise_spectrum inoise_spectrum
 1.00000000e+00  1.00000000e+00  1.58033939e-07  1.37109491e-06 
 1.04712855e+00  1.04712855e+00  1.54437159e-07  1.33988943e-06 
 1.09647820e+00  1.09647820e+00  1.50922264e-07  1.30939436e-06 
 1.14815362e+00  1.14815362e+00  1.47487390e-07  1.27959356e-06 
 1.20226443e+00  1.20226443e+00  1.44130716e-07  1.25047122e-06 
 1.25892541e+00  1.25892541e+00  1.40850462e-07  1.22201189e-06 
 1.31825674e+00  1.31825674e+00  1.37644888e-07  1.19420049e-06 
 1.38038426e+00  1.38038426e+00  1.34512296e-07  1.16702226e-06 
 1.44543977e+00  1.44543977e+00  1.31451024e-07  1.14046281e-06 
 1.51356125e+00  1.51356125e+00  1.28459449e-07  1.11450805e-06 
 1.58489319e+00  1.58489319e+00  1.25535985e-07  1.08914422e-06 
 1.65958691e+00  1.65958691e+00  1.22679082e-07  1.06435786e-06 
 1.73780083e+00  1.73780083e+00  1.19887224e-07  1.04013584e-06 
 1.81970086e+00  1.81970086e+00  1.17158933e-07  1.01646531e-06 
 1.90546072e+00  1.90546072e+00  1.14492761e-07  9.93333731e-07 
 1.99526231e+00  1.99526231e+00  1.11887294e-07  9.70728827e-07 
 2.08929613e+00  2.08929613e+00  1.09341152e-07  9.48638615e-07 
 2.18776162e+00  2.18776162e+00  1.06852983e-07  9.27051385e-07 
 2.29086765e+00  2.29086765e+00  1.04421470e-07  9.05955690e-07 
 2.39883292e+00  2.39883292e+00  1.02045322e-07  8.85340344e-07 
 2.51188643e+00  2.51188643e+00  9.97232797e-08  8.65194417e-07 
 2.63026799e+00  2.63026799e+00  9.74541122e-08  8.45507228e-07 
 2.75422870e+00  2.75422870e+00  9.52366161e-08  8.26268338e-07 
 2.88403150e+00  2.88403150e+00  9.30696157e-08  8.07467546e-07 
 3.01995172e+00  3.01995172e+00  9.09519621e-08  7.89094884e-07 
