 time            v(in1)          v(in2)          v(out)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  5.12367994e-09 
 1.00000000e-13  0.00000000e+00  0.00000000e+00  5.12367948e-09 
 2.00000000e-13  0.00000000e+00  0.00000000e+00  5.12367959e-09 
 4.00000000e-13  0.00000000e+00  0.00000000e+00  5.12367981e-09 
 8.00000000e-13  0.00000000e+00  0.00000000e+00  5.12367948e-09 
 1.60000000e-12  0.00000000e+00  0.00000000e+00  5.12367970e-09 
 3.20000000e-12  0.00000000e+00  0.00000000e+00  5.12368070e-09 
 6.40000000e-12  0.00000000e+00  0.00000000e+00  5.12367959e-09 
 1.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368037e-09 
 2.28000000e-11  0.00000000e+00  0.00000000e+00  5.12367970e-09 
 3.28000000e-11  0.00000000e+00  0.00000000e+00  5.12367976e-09 
 4.28000000e-11  0.00000000e+00  0.00000000e+00  5.12367981e-09 
 5.28000000e-11  0.00000000e+00  0.00000000e+00  5.12367976e-09 
 6.28000000e-11  0.00000000e+00  0.00000000e+00  5.12367948e-09 
 7.28000000e-11  0.00000000e+00  0.00000000e+00  5.12367987e-09 
 8.28000000e-11  0.00000000e+00  0.00000000e+00  5.12367954e-09 
 9.28000000e-11  0.00000000e+00  0.00000000e+00  5.12367965e-09 
 1.00000000e-10  0.00000000e+00  0.00000000e+00  5.12368004e-09 
 1.00012326e-10  1.47915101e-04  0.00000000e+00  4.74607304e-05 
 1.00036979e-10  4.43745302e-04  0.00000000e+00  1.41195120e-04 
 1.00086284e-10  1.03540570e-03  0.00000000e+00  3.21744371e-04 
 1.00184894e-10  2.21872651e-03  0.00000000e+00  6.56524316e-04 
 1.00382114e-10  4.58536812e-03  0.00000000e+00  1.23081344e-03 
 1.00776554e-10  9.31865134e-03  0.00000000e+00  2.06625884e-03 
 1.01336177e-10  1.60341212e-02  0.00000000e+00  2.72313687e-03 
 1.01884656e-10  2.26158692e-02  0.00000000e+00  2.96721604e-03 
 1.02531065e-10  3.03727797e-02  0.00000000e+00  2.96564615e-03 
 1.03218432e-10  3.86211892e-02  0.00000000e+00  2.78056320e-03 
 1.04078144e-10  4.89377334e-02  0.00000000e+00  2.44243965e-03 
 1.05042772e-10  6.05132612e-02  0.00000000e+00  2.03773572e-03 
 1.06275769e-10  7.53092338e-02  0.00000000e+00  1.57505671e-03 
 1.07740872e-10  9.28904695e-02  0.00000000e+00  1.14424137e-03 
 1.09705286e-10  1.16463427e-01  0.00000000e+00  7.49466217e-04 
 1.12193031e-10  1.46316369e-01  0.00000000e+00  4.60873276e-04 
 1.15591023e-10  1.87092272e-01  0.00000000e+00  2.76230226e-04 
 1.19966359e-10  2.39596305e-01  0.00000000e+00  1.96691692e-04 
 1.25620761e-10  3.07449136e-01  0.00000000e+00  1.86675254e-04 
 1.33250574e-10  3.99006894e-01  0.00000000e+00  2.17462121e-04 
 1.43250574e-10  5.19006894e-01  0.00000000e+00  2.82452364e-04 
 1.53250574e-10  6.39006894e-01  0.00000000e+00  3.62486531e-04 
 1.60643246e-10  7.27718952e-01  0.00000000e+00  3.95174800e-04 
 1.65618946e-10  7.87427358e-01  0.00000000e+00  3.48714736e-04 
 1.70402562e-10  8.44830741e-01  0.00000000e+00  2.36366006e-04 
 1.74419677e-10  8.93036127e-01  0.00000000e+00  1.36281854e-04 
 1.78181185e-10  9.38174223e-01  0.00000000e+00  5.25190278e-05 
 1.82269633e-10  9.87235596e-01  0.00000000e+00 -2.31250635e-05 
 1.86217208e-10  1.03460649e+00  0.00000000e+00 -8.49079212e-05 
