 time            v(A)            v(B)            v(A_GT_B)       v(A_LT_B)       v(A_EQ_B)      
 0.00000000e+00  0.00000000e+00  0.00000000e+00  5.12368022e-09  5.12368010e-09  1.20000000e+00 
 1.00000000e-13  0.00000000e+00  0.00000000e+00  5.12368015e-09  5.12367704e-09  1.20000000e+00 
 2.00000000e-13  0.00000000e+00  0.00000000e+00  5.12368059e-09  5.12367393e-09  1.20000000e+00 
 4.00000000e-13  0.00000000e+00  0.00000000e+00  5.12368081e-09  5.12366816e-09  1.20000000e+00 
 8.00000000e-13  0.00000000e+00  0.00000000e+00  5.12368081e-09  5.12365994e-09  1.20000000e+00 
 1.60000000e-12  0.00000000e+00  0.00000000e+00  5.12368059e-09  5.12365328e-09  1.20000000e+00 
 3.20000000e-12  0.00000000e+00  0.00000000e+00  5.12367992e-09  5.12365095e-09  1.20000000e+00 
 6.40000000e-12  0.00000000e+00  0.00000000e+00  5.12367992e-09  5.12365950e-09  1.20000000e+00 
 1.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368015e-09  5.12367382e-09  1.20000000e+00 
 2.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368009e-09  5.12367937e-09  1.20000000e+00 
 3.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368031e-09  5.12368026e-09  1.20000000e+00 
 4.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368048e-09  5.12368042e-09  1.20000000e+00 
 5.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368009e-09  5.12368042e-09  1.20000000e+00 
 6.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368042e-09  5.12368026e-09  1.20000000e+00 
 7.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368026e-09  5.12367998e-09  1.20000000e+00 
 8.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368009e-09  5.12368020e-09  1.20000000e+00 
 9.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368048e-09  5.12368026e-09  1.20000000e+00 
 1.00000000e-10  0.00000000e+00  0.00000000e+00  5.12368048e-09  5.12368037e-09  1.20000000e+00 
 1.00008367e-10  1.00408586e-04  0.00000000e+00  4.45212196e-05  1.08451876e-05  1.20000919e+00 
 1.00025102e-10  3.01225759e-04  0.00000000e+00  1.32864351e-04  3.23057133e-05  1.20002721e+00 
 1.00058572e-10  7.02860104e-04  0.00000000e+00  3.05470775e-04  7.39302744e-05  1.20006117e+00 
 1.00125511e-10  1.50612880e-03  0.00000000e+00  6.34894948e-04  1.52197921e-04  1.20012132e+00 
 1.00259389e-10  3.11266618e-03  0.00000000e+00  1.23459593e-03  2.90332156e-04  1.20021463e+00 
 1.00527145e-10  6.32574094e-03  0.00000000e+00  2.22604341e-03  5.03641621e-04  1.20031974e+00 
 1.01062658e-10  1.27518905e-02  0.00000000e+00  3.56167559e-03  7.44275517e-04  1.20034291e+00 
 1.01618831e-10  1.94259671e-02  0.00000000e+00  4.28579253e-03  8.16964027e-04  1.20024976e+00 
 1.02284484e-10  2.74138123e-02  0.00000000e+00  4.61237333e-03  7.77990924e-04  1.20012044e+00 
 1.02957882e-10  3.54945841e-02  0.00000000e+00  4.59165269e-03  6.71428925e-04  1.20001713e+00 
 1.03810680e-10  4.57281619e-02  0.00000000e+00  4.31865116e-03  5.08126862e-04  1.19993604e+00 
 1.04734905e-10  5.68188601e-02  0.00000000e+00  3.89504074e-03  3.37067868e-04  1.19989549e+00 
 1.05926476e-10  7.11177085e-02  0.00000000e+00  3.32569446e-03  1.55757757e-04  1.19988460e+00 
 1.07231720e-10  8.67806393e-02  0.00000000e+00  2.76794264e-03  1.42846635e-05  1.19989767e+00 
 1.08920487e-10  1.07045846e-01  0.00000000e+00  2.19425246e-03 -9.53757718e-05  1.19992488e+00 
 1.10568787e-10  1.26825448e-01  0.00000000e+00  1.78244224e-03 -1.45724409e-04  1.19995005e+00 
 1.12561360e-10  1.50736323e-01  0.00000000e+00  1.43449050e-03 -1.62601616e-04  1.19997303e+00 
 1.14589467e-10  1.75073600e-01  0.00000000e+00  1.20260146e-03 -1.52977623e-04  1.19998847e+00 
 1.17046574e-10  2.04558889e-01  0.00000000e+00  1.03279927e-03 -1.26463329e-04  1.19999940e+00 
 1.19627114e-10  2.35525371e-01  0.00000000e+00  9.42734998e-04 -9.42056356e-05  1.20000503e+00 
 1.22731924e-10  2.72783087e-01  0.00000000e+00  9.11303749e-04 -5.86200351e-05  1.20000753e+00 
 1.26064131e-10  3.12769573e-01  0.00000000e+00  9.39084356e-04 -2.78616328e-05  1.20000767e+00 
 1.30060737e-10  3.60728838e-01  0.00000000e+00  1.02100443e-03 -2.70646657e-06  1.20000653e+00 
 1.32798534e-10  3.93582408e-01  0.00000000e+00  1.08450296e-03  4.50304425e-06  1.20000539e+00 
 1.35669667e-10  4.28036009e-01  0.00000000e+00  1.09771079e-03 -5.96939413e-06  1.20000387e+00 
 1.37883332e-10  4.54599984e-01  0.00000000e+00  1.03002333e-03 -3.04323423e-05  1.20000261e+00 
 1.39912870e-10  4.78954441e-01  0.00000000e+00  8.87215463e-04 -6.51883150e-05  1.20000154e+00 
 1.42046214e-10  5.04554572e-01  0.00000000e+00  6.53927275e-04 -1.10987919e-04  1.20000064e+00 
 1.44350163e-10  5.32201952e-01  0.00000000e+00  3.11914952e-04 -1.68524266e-04  1.19999993e+00 
 1.46538943e-10  5.58467311e-01  0.00000000e+00 -9.06727892e-05 -2.28466637e-04  1.19999946e+00 
 1.48812643e-10  5.85751711e-01  0.00000000e+00 -5.80910296e-04 -2.94244229e-04  1.19999914e+00 
 1.51003928e-10  6.12047139e-01  0.00000000e+00 -1.12301293e-03 -3.61102797e-04  1.19999887e+00 
 1.53207852e-10  6.38494227e-01  0.00000000e+00 -1.74423211e-03 -4.32982318e-04  1.19999852e+00 
 1.55287350e-10  6.63448206e-01  0.00000000e+00 -2.41354869e-03 -5.07163279e-04  1.19999804e+00 
 1.57309399e-10  6.87712792e-01  0.00000000e+00 -3.16039773e-03 -5.87795234e-04  1.19999733e+00 
 1.59192770e-10  7.10313235e-01  0.00000000e+00 -3.96161613e-03 -6.72692015e-04  1.19999640e+00 
 1.61010630e-10  7.32127557e-01  0.00000000e+00 -4.85252047e-03 -7.64857817e-04  1.19999527e+00 
 1.62740124e-10  7.52881492e-01  0.00000000e+00 -5.82475701e-03 -8.61080515e-04  1.19999405e+00 
