 time            v(g_pulse)      v(n1)          
 0.00000000e+00  0.00000000e+00  6.21618012e-01 
 1.00000000e-13  0.00000000e+00  6.21618012e-01 
 2.00000000e-13  0.00000000e+00  6.21618012e-01 
 4.00000000e-13  0.00000000e+00  6.21618012e-01 
 8.00000000e-13  0.00000000e+00  6.21618012e-01 
 1.60000000e-12  0.00000000e+00  6.21618012e-01 
 3.20000000e-12  0.00000000e+00  6.21618012e-01 
 6.40000000e-12  0.00000000e+00  6.21618012e-01 
 1.28000000e-11  0.00000000e+00  6.21618012e-01 
 2.28000000e-11  0.00000000e+00  6.21618011e-01 
 3.28000000e-11  0.00000000e+00  6.21618011e-01 
 4.28000000e-11  0.00000000e+00  6.21618011e-01 
 5.28000000e-11  0.00000000e+00  6.21618010e-01 
 6.28000000e-11  0.00000000e+00  6.21618006e-01 
 7.28000000e-11  0.00000000e+00  6.21617999e-01 
 8.28000000e-11  0.00000000e+00  6.21617989e-01 
 9.28000000e-11  0.00000000e+00  6.21617973e-01 
 1.00000000e-10  0.00000000e+00  6.21617959e-01 
 1.00000044e-10  5.27611810e-06  6.21618618e-01 
 1.00000132e-10  1.58283543e-05  6.21619937e-01 
 1.00000308e-10  3.69328267e-05  6.21622573e-01 
 1.00000660e-10  7.91417714e-05  6.21627846e-01 
 1.00001363e-10  1.63559661e-04  6.21638390e-01 
 1.00002770e-10  3.32395440e-04  6.21659477e-01 
 1.00005584e-10  6.70066998e-04  6.21701643e-01 
 1.00011212e-10  1.34541011e-03  6.21785936e-01 
 1.00022467e-10  2.69609635e-03  6.21954378e-01 
 1.00044979e-10  5.39746881e-03  6.22290679e-01 
 1.00090002e-10  1.08002137e-02  6.22960969e-01 
 1.00180048e-10  2.16057036e-02  6.24292427e-01 
 1.00360139e-10  4.32166833e-02  6.26920852e-01 
 1.00720322e-10  8.64386428e-02  6.32046874e-01 
 1.01162084e-10  1.39450046e-01  6.38110388e-01 
 1.01600451e-10  1.92054062e-01  6.43905245e-01 
 1.02048884e-10  2.45866097e-01  6.49627415e-01 
 1.02421563e-10  2.90587516e-01  6.54243099e-01 
 1.02592082e-10  3.11049841e-01  6.56320829e-01 
 1.02730766e-10  3.27691864e-01  6.57999667e-01 
 1.02862603e-10  3.43512300e-01  6.59589650e-01 
 1.02997876e-10  3.59745178e-01  6.61217663e-01 
 1.03151111e-10  3.78133279e-01  6.63063055e-01 
 1.03294474e-10  3.95336935e-01  6.64794018e-01 
 1.03447817e-10  4.13738023e-01  6.66647293e-01 
 1.03614250e-10  4.33709959e-01  6.68653526e-01 
 1.03787547e-10  4.54505580e-01  6.70723015e-01 
 1.03959810e-10  4.75177173e-01  6.72742319e-01 
 1.04152769e-10  4.98332252e-01  6.74936840e-01 
 1.04333616e-10  5.20033862e-01  6.76908081e-01 
 1.04523569e-10  5.42828320e-01  6.78866062e-01 
 1.04703606e-10  5.64432739e-01  6.80596757e-01 
 1.04900572e-10  5.88068631e-01  6.82330956e-01 
 1.05093876e-10  6.11265108e-01  6.83853810e-01 
 1.05302096e-10  6.36251502e-01  6.85277663e-01 
 1.05511014e-10  6.61321654e-01  6.86464588e-01 
 1.05735138e-10  6.88216555e-01  6.87452667e-01 
 1.05963884e-10  7.15666041e-01  6.88142339e-01 
 1.06208983e-10  7.45077932e-01  6.88510085e-01 
 1.06462395e-10  7.75487367e-01  6.88474407e-01 
 1.06733017e-10  8.07961984e-01  6.87958602e-01 
 1.07007381e-10  8.40885743e-01  6.86923851e-01 
 1.07296155e-10  8.75538632e-01  6.85272449e-01 
 1.07590189e-10  9.10822705e-01  6.82995925e-01 
 1.07898467e-10  9.47816060e-01  6.79965238e-01 
 1.08213927e-10  9.85671237e-01  6.76186270e-01 
 1.08544484e-10  1.02533805e+00  6.71500203e-01 
 1.08885812e-10  1.06629744e+00  6.65895848e-01 
 1.09223359e-10  1.10680314e+00  6.59612944e-01 
 1.09534574e-10  1.14414885e+00  6.53185280e-01 
 1.09864955e-10  1.18379462e+00  6.45712208e-01 
 1.10000000e-10  1.20000000e+00  6.42470147e-01 
 1.10000079e-10  1.20000000e+00  6.42466873e-01 
 1.10000237e-10  1.20000000e+00  6.42460325e-01 
 1.10000554e-10  1.20000000e+00  6.42447229e-01 
 1.10001187e-10  1.20000000e+00  6.42421040e-01 
 1.10002452e-10  1.20000000e+00  6.42368665e-01 
 1.10004984e-10  1.20000000e+00  6.42263939e-01 
 1.10010047e-10  1.20000000e+00  6.42054573e-01 
 1.10020172e-10  1.20000000e+00  6.41636191e-01 
 1.10040424e-10  1.20000000e+00  6.40800822e-01 
 1.10080927e-10  1.20000000e+00  6.39135636e-01 
 1.10161933e-10  1.20000000e+00  6.35827295e-01 
 1.10323946e-10  1.20000000e+00  6.29297285e-01 
 1.10647971e-10  1.20000000e+00  6.16572813e-01 
 1.10951277e-10  1.20000000e+00  6.05055761e-01 
 1.11257765e-10  1.20000000e+00  5.93791059e-01 
 1.11592813e-10  1.20000000e+00  5.81882363e-01 
 1.11914652e-10  1.20000000e+00  5.70821867e-01 
 1.12252634e-10  1.20000000e+00  5.59589344e-01 
 1.12585336e-10  1.20000000e+00  5.48897610e-01 
 1.12920180e-10  1.20000000e+00  5.38486303e-01 
 1.13254268e-10  1.20000000e+00  5.28432319e-01 
 1.13591566e-10  1.20000000e+00  5.18605487e-01 
 1.13930170e-10  1.20000000e+00  5.09054211e-01 
 1.14272492e-10  1.20000000e+00  4.99704731e-01 
 1.14617066e-10  1.20000000e+00  4.90593028e-01 
 1.14965751e-10  1.20000000e+00  4.81666871e-01 
 1.15317523e-10  1.20000000e+00  4.72950843e-01 
 1.15673891e-10  1.20000000e+00  4.64406742e-01 
 1.16034169e-10  1.20000000e+00  4.56051509e-01 
 1.16399634e-10  1.20000000e+00  4.47855874e-01 
 1.16786164e-10  1.20000000e+00  4.39484639e-01 
 1.17152323e-10  1.20000000e+00  4.31828438e-01 
 1.17526809e-10  1.20000000e+00  4.24265380e-01 
 1.17917017e-10  1.20000000e+00  4.16664042e-01 
 1.18312078e-10  1.20000000e+00  4.09250145e-01 
 1.18717974e-10  1.20000000e+00  4.01919855e-01 
 1.19130077e-10  1.20000000e+00  3.94766305e-01 
 1.19554872e-10  1.20000000e+00  3.87687924e-01 
 1.19985609e-10  1.20000000e+00  3.80807414e-01 
 1.20427702e-10  1.20000000e+00  3.74046371e-01 
 1.20877906e-10  1.20000000e+00  3.67463958e-01 
 1.21260907e-10  1.20000000e+00  3.62096697e-01 
 1.21608250e-10  1.20000000e+00  3.57407861e-01 
 1.21944785e-10  1.20000000e+00  3.53022028e-01 
 1.22272303e-10  1.20000000e+00  3.48897650e-01 
 1.22585318e-10  1.20000000e+00  3.45084515e-01 
 1.22894493e-10  1.20000000e+00  3.41437705e-01 
 1.23194401e-10  1.20000000e+00  3.38010112e-01 
 1.23486562e-10  1.20000000e+00  3.34771720e-01 
 1.23777596e-10  1.20000000e+00  3.31641331e-01 
 1.24053387e-10  1.20000000e+00  3.28759770e-01 
 1.24333860e-10  1.20000000e+00  3.25911031e-01 
 1.24598663e-10  1.20000000e+00  3.23294271e-01 
