 frequency       vdb(in)         vdb(out)       
 1.00000000e+02 -2.44369750e+01 -2.69406404e+01 
 1.25892541e+02 -2.44369750e+01 -2.69406404e+01 
 1.58489319e+02 -2.44369750e+01 -2.69406404e+01 
 1.99526231e+02 -2.44369750e+01 -2.69406404e+01 
 2.51188643e+02 -2.44369750e+01 -2.69406404e+01 
 3.16227766e+02 -2.44369750e+01 -2.69406404e+01 
 3.98107171e+02 -2.44369750e+01 -2.69406404e+01 
 5.01187234e+02 -2.44369750e+01 -2.69406404e+01 
 6.30957344e+02 -2.44369750e+01 -2.69406404e+01 
 7.94328235e+02 -2.44369750e+01 -2.69406404e+01 
 1.00000000e+03 -2.44369750e+01 -2.69406404e+01 
 1.25892541e+03 -2.44369750e+01 -2.69406404e+01 
 1.58489319e+03 -2.44369750e+01 -2.69406404e+01 
 1.99526231e+03 -2.44369750e+01 -2.69406404e+01 
 2.51188643e+03 -2.44369750e+01 -2.69406404e+01 
 3.16227766e+03 -2.44369750e+01 -2.69406404e+01 
 3.98107171e+03 -2.44369750e+01 -2.69406404e+01 
 5.01187234e+03 -2.44369750e+01 -2.69406404e+01 
 6.30957344e+03 -2.44369750e+01 -2.69406404e+01 
 7.94328235e+03 -2.44369750e+01 -2.69406404e+01 
 1.00000000e+04 -2.44369750e+01 -2.69406404e+01 
 1.25892541e+04 -2.44369750e+01 -2.69406404e+01 
 1.58489319e+04 -2.44369750e+01 -2.69406404e+01 
 1.99526231e+04 -2.44369750e+01 -2.69406404e+01 
 2.51188643e+04 -2.44369750e+01 -2.69406404e+01 
 3.16227766e+04 -2.44369750e+01 -2.69406404e+01 
 3.98107171e+04 -2.44369750e+01 -2.69406404e+01 
 5.01187234e+04 -2.44369750e+01 -2.69406404e+01 
 6.30957344e+04 -2.44369750e+01 -2.69406404e+01 
 7.94328235e+04 -2.44369750e+01 -2.69406404e+01 
 1.00000000e+05 -2.44369750e+01 -2.69406404e+01 
 1.25892541e+05 -2.44369750e+01 -2.69406404e+01 
 1.58489319e+05 -2.44369750e+01 -2.69406404e+01 
 1.99526231e+05 -2.44369750e+01 -2.69406404e+01 
 2.51188643e+05 -2.44369750e+01 -2.69406404e+01 
 3.16227766e+05 -2.44369750e+01 -2.69406404e+01 
 3.98107171e+05 -2.44369750e+01 -2.69406404e+01 
 5.01187234e+05 -2.44369750e+01 -2.69406404e+01 
 6.30957344e+05 -2.44369750e+01 -2.69406404e+01 
 7.94328235e+05 -2.44369750e+01 -2.69406404e+01 
 1.00000000e+06 -2.44369750e+01 -2.69406404e+01 
 1.25892541e+06 -2.44369750e+01 -2.69406404e+01 
 1.58489319e+06 -2.44369750e+01 -2.69406404e+01 
 1.99526231e+06 -2.44369750e+01 -2.69406404e+01 
 2.51188643e+06 -2.44369750e+01 -2.69406404e+01 
 3.16227766e+06 -2.44369750e+01 -2.69406404e+01 
 3.98107171e+06 -2.44369750e+01 -2.69406405e+01 
 5.01187234e+06 -2.44369750e+01 -2.69406405e+01 
 6.30957344e+06 -2.44369750e+01 -2.69406405e+01 
 7.94328235e+06 -2.44369750e+01 -2.69406406e+01 
 1.00000000e+07 -2.44369750e+01 -2.69406407e+01 
 1.25892541e+07 -2.44369750e+01 -2.69406408e+01 
 1.58489319e+07 -2.44369750e+01 -2.69406410e+01 
 1.99526231e+07 -2.44369750e+01 -2.69406414e+01 
 2.51188643e+07 -2.44369750e+01 -2.69406420e+01 
 3.16227766e+07 -2.44369750e+01 -2.69406429e+01 
 3.98107171e+07 -2.44369750e+01 -2.69406444e+01 
 5.01187234e+07 -2.44369750e+01 -2.69406467e+01 
 6.30957344e+07 -2.44369750e+01 -2.69406504e+01 
 7.94328235e+07 -2.44369750e+01 -2.69406562e+01 
 1.00000000e+08 -2.44369750e+01 -2.69406654e+01 
 1.25892541e+08 -2.44369750e+01 -2.69406800e+01 
 1.58489319e+08 -2.44369750e+01 -2.69407032e+01 
 1.99526231e+08 -2.44369750e+01 -2.69407399e+01 
 2.51188643e+08 -2.44369750e+01 -2.69407980e+01 
 3.16227766e+08 -2.44369750e+01 -2.69408902e+01 
 3.98107171e+08 -2.44369750e+01 -2.69410363e+01 
 5.01187234e+08 -2.44369750e+01 -2.69412679e+01 
 6.30957344e+08 -2.44369750e+01 -2.69416348e+01 
 7.94328235e+08 -2.44369750e+01 -2.69422163e+01 
 1.00000000e+09 -2.44369750e+01 -2.69431378e+01 
