 frequency       vdb(in)         vdb(d)         
 1.00000000e+02 -2.44369750e+01 -3.24074074e+01 
 1.25892541e+02 -2.44369750e+01 -3.24074074e+01 
 1.58489319e+02 -2.44369750e+01 -3.24074074e+01 
 1.99526231e+02 -2.44369750e+01 -3.24074074e+01 
 2.51188643e+02 -2.44369750e+01 -3.24074074e+01 
 3.16227766e+02 -2.44369750e+01 -3.24074074e+01 
 3.98107171e+02 -2.44369750e+01 -3.24074074e+01 
 5.01187234e+02 -2.44369750e+01 -3.24074074e+01 
 6.30957344e+02 -2.44369750e+01 -3.24074074e+01 
 7.94328235e+02 -2.44369750e+01 -3.24074074e+01 
 1.00000000e+03 -2.44369750e+01 -3.24074074e+01 
 1.25892541e+03 -2.44369750e+01 -3.24074074e+01 
 1.58489319e+03 -2.44369750e+01 -3.24074074e+01 
 1.99526231e+03 -2.44369750e+01 -3.24074074e+01 
 2.51188643e+03 -2.44369750e+01 -3.24074074e+01 
 3.16227766e+03 -2.44369750e+01 -3.24074074e+01 
 3.98107171e+03 -2.44369750e+01 -3.24074074e+01 
 5.01187234e+03 -2.44369750e+01 -3.24074074e+01 
 6.30957344e+03 -2.44369750e+01 -3.24074075e+01 
 7.94328235e+03 -2.44369750e+01 -3.24074075e+01 
 1.00000000e+04 -2.44369750e+01 -3.24074076e+01 
 1.25892541e+04 -2.44369750e+01 -3.24074078e+01 
 1.58489319e+04 -2.44369750e+01 -3.24074080e+01 
 1.99526231e+04 -2.44369750e+01 -3.24074084e+01 
 2.51188643e+04 -2.44369750e+01 -3.24074090e+01 
 3.16227766e+04 -2.44369750e+01 -3.24074100e+01 
 3.98107171e+04 -2.44369750e+01 -3.24074115e+01 
 5.01187234e+04 -2.44369750e+01 -3.24074139e+01 
 6.30957344e+04 -2.44369750e+01 -3.24074177e+01 
 7.94328235e+04 -2.44369750e+01 -3.24074238e+01 
 1.00000000e+05 -2.44369750e+01 -3.24074334e+01 
 1.25892541e+05 -2.44369750e+01 -3.24074487e+01 
 1.58489319e+05 -2.44369750e+01 -3.24074729e+01 
 1.99526231e+05 -2.44369750e+01 -3.24075112e+01 
 2.51188643e+05 -2.44369750e+01 -3.24075719e+01 
 3.16227766e+05 -2.44369750e+01 -3.24076681e+01 
 3.98107171e+05 -2.44369750e+01 -3.24078206e+01 
 5.01187234e+05 -2.44369750e+01 -3.24080623e+01 
 6.30957344e+05 -2.44369750e+01 -3.24084453e+01 
 7.94328235e+05 -2.44369750e+01 -3.24090523e+01 
 1.00000000e+06 -2.44369750e+01 -3.24100142e+01 
 1.25892541e+06 -2.44369750e+01 -3.24115382e+01 
 1.58489319e+06 -2.44369750e+01 -3.24139524e+01 
 1.99526231e+06 -2.44369750e+01 -3.24177761e+01 
 2.51188643e+06 -2.44369750e+01 -3.24238292e+01 
 3.16227766e+06 -2.44369750e+01 -3.24334055e+01 
 3.98107171e+06 -2.44369750e+01 -3.24485398e+01 
 5.01187234e+06 -2.44369750e+01 -3.24724186e+01 
 6.30957344e+06 -2.44369750e+01 -3.25099970e+01 
 7.94328235e+06 -2.44369750e+01 -3.25688966e+01 
 1.00000000e+07 -2.44369750e+01 -3.26606401e+01 
 1.25892541e+07 -2.44369750e+01 -3.28021869e+01 
 1.58489319e+07 -2.44369750e+01 -3.30174813e+01 
 1.99526231e+07 -2.44369750e+01 -3.33382382e+01 
 2.51188643e+07 -2.44369750e+01 -3.38025551e+01 
 3.16227766e+07 -2.44369750e+01 -3.44497628e+01 
 3.98107171e+07 -2.44369750e+01 -3.53113412e+01 
 5.01187234e+07 -2.44369750e+01 -3.64010373e+01 
 6.30957344e+07 -2.44369750e+01 -3.77098512e+01 
 7.94328235e+07 -2.44369750e+01 -3.92093666e+01 
 1.00000000e+08 -2.44369750e+01 -4.08610787e+01 
 1.25892541e+08 -2.44369750e+01 -4.26260447e+01 
 1.58489319e+08 -2.44369750e+01 -4.44709585e+01 
 1.99526231e+08 -2.44369750e+01 -4.63702323e+01 
 2.51188643e+08 -2.44369750e+01 -4.83055435e+01 
 3.16227766e+08 -2.44369750e+01 -5.02643679e+01 
 3.98107171e+08 -2.44369750e+01 -5.22384115e+01 
 5.01187234e+08 -2.44369750e+01 -5.42223134e+01 
 6.30957344e+08 -2.44369750e+01 -5.62126961e+01 
 7.94328235e+08 -2.44369750e+01 -5.82075224e+01 
 1.00000000e+09 -2.44369750e+01 -6.02056896e+01 
