 v-sweep         v(1)            i(vd)          
 0.00000000e+00  2.00000000e-01  1.69812512e-10 
 2.00000000e-02  2.00000000e-01 -9.19858108e-07 
 4.00000000e-02  2.00000000e-01 -1.32984812e-06 
 6.00000000e-02  2.00000000e-01 -1.49386014e-06 
 8.00000000e-02  2.00000000e-01 -1.57443827e-06 
 1.00000000e-01  2.00000000e-01 -1.62787186e-06 
 1.20000000e-01  2.00000000e-01 -1.67102589e-06 
 1.40000000e-01  2.00000000e-01 -1.70957611e-06 
 1.60000000e-01  2.00000000e-01 -1.74577191e-06 
 1.80000000e-01  2.00000000e-01 -1.78118813e-06 
 2.00000000e-01  2.00000000e-01 -1.81504734e-06 
 2.20000000e-01  2.00000000e-01 -1.84849005e-06 
 2.40000000e-01  2.00000000e-01 -1.88165448e-06 
 2.60000000e-01  2.00000000e-01 -1.91454153e-06 
 2.80000000e-01  2.00000000e-01 -1.94743124e-06 
 3.00000000e-01  2.00000000e-01 -1.98023626e-06 
 3.20000000e-01  2.00000000e-01 -2.01299429e-06 
 3.40000000e-01  2.00000000e-01 -2.04573324e-06 
 3.60000000e-01  2.00000000e-01 -2.07847433e-06 
 3.80000000e-01  2.00000000e-01 -2.11123408e-06 
 4.00000000e-01  2.00000000e-01 -2.14402569e-06 
 4.20000000e-01  2.00000000e-01 -2.17685994e-06 
 4.40000000e-01  2.00000000e-01 -2.20974587e-06 
 4.60000000e-01  2.00000000e-01 -2.24269122e-06 
 4.80000000e-01  2.00000000e-01 -2.27570286e-06 
 5.00000000e-01  2.00000000e-01 -2.30878699e-06 
 5.20000000e-01  2.00000000e-01 -2.34194941e-06 
 5.40000000e-01  2.00000000e-01 -2.37519571e-06 
 5.60000000e-01  2.00000000e-01 -2.40853135e-06 
 5.80000000e-01  2.00000000e-01 -2.44196190e-06 
 6.00000000e-01  2.00000000e-01 -2.47549307e-06 
 6.20000000e-01  2.00000000e-01 -2.50913088e-06 
 6.40000000e-01  2.00000000e-01 -2.54288178e-06 
 6.60000000e-01  2.00000000e-01 -2.57675269e-06 
 6.80000000e-01  2.00000000e-01 -2.61075123e-06 
 7.00000000e-01  2.00000000e-01 -2.64488573e-06 
 7.20000000e-01  2.00000000e-01 -2.67916543e-06 
 7.40000000e-01  2.00000000e-01 -2.71360058e-06 
 7.60000000e-01  2.00000000e-01 -2.74820260e-06 
 7.80000000e-01  2.00000000e-01 -2.78298425e-06 
 8.00000000e-01  2.00000000e-01 -2.81795978e-06 
 8.20000000e-01  2.00000000e-01 -2.85314512e-06 
 8.40000000e-01  2.00000000e-01 -2.88855812e-06 
 8.60000000e-01  2.00000000e-01 -2.92421874e-06 
 8.80000000e-01  2.00000000e-01 -2.96014932e-06 
 9.00000000e-01  2.00000000e-01 -2.99637485e-06 
 9.20000000e-01  2.00000000e-01 -3.03292326e-06 
 9.40000000e-01  2.00000000e-01 -3.06982578e-06 
 9.60000000e-01  2.00000000e-01 -3.10711732e-06 
 9.80000000e-01  2.00000000e-01 -3.14483681e-06 
 1.00000000e+00  2.00000000e-01 -3.18302773e-06 
 1.02000000e+00  2.00000000e-01 -3.22173856e-06 
 1.04000000e+00  2.00000000e-01 -3.26102335e-06 
 1.06000000e+00  2.00000000e-01 -3.30094234e-06 
 1.08000000e+00  2.00000000e-01 -3.34156261e-06 
 1.10000000e+00  2.00000000e-01 -3.38295888e-06 
 1.12000000e+00  2.00000000e-01 -3.42521430e-06 
 1.14000000e+00  2.00000000e-01 -3.46842143e-06 
 1.16000000e+00  2.00000000e-01 -3.51268326e-06 
