 v-sweep         v(3)            i(vd)          
 6.00000000e-01  0.00000000e+00 -4.41582191e-04 
 6.20000000e-01  0.00000000e+00 -5.30060493e-04 
 6.40000000e-01  0.00000000e+00 -6.20483606e-04 
 6.60000000e-01  0.00000000e+00 -7.11253022e-04 
 6.80000000e-01  0.00000000e+00 -8.01225839e-04 
 7.00000000e-01  0.00000000e+00 -8.89620809e-04 
 7.20000000e-01  0.00000000e+00 -9.75921681e-04 
 7.40000000e-01  0.00000000e+00 -1.05979898e-03 
 7.60000000e-01  0.00000000e+00 -1.14105267e-03 
 7.80000000e-01  0.00000000e+00 -1.21957193e-03 
 8.00000000e-01  0.00000000e+00 -1.29530744e-03 
 8.20000000e-01  0.00000000e+00 -1.36825239e-03 
 8.40000000e-01  0.00000000e+00 -1.43842933e-03 
 8.60000000e-01  0.00000000e+00 -1.50588113e-03 
 8.80000000e-01  0.00000000e+00 -1.57066459e-03 
 9.00000000e-01  0.00000000e+00 -1.63284594e-03 
 9.20000000e-01  0.00000000e+00 -1.69249763e-03 
 9.40000000e-01  0.00000000e+00 -1.74969595e-03 
 9.60000000e-01  0.00000000e+00 -1.80451940e-03 
 9.80000000e-01  0.00000000e+00 -1.85704736e-03 
 1.00000000e+00  0.00000000e+00 -1.90735923e-03 
 1.02000000e+00  0.00000000e+00 -1.95553372e-03 
 1.04000000e+00  0.00000000e+00 -2.00164835e-03 
 1.06000000e+00  0.00000000e+00 -2.04577907e-03 
 1.08000000e+00  0.00000000e+00 -2.08800002e-03 
 1.10000000e+00  0.00000000e+00 -2.12838329e-03 
 1.12000000e+00  0.00000000e+00 -2.16699885e-03 
 1.14000000e+00  0.00000000e+00 -2.20391443e-03 
 1.16000000e+00  0.00000000e+00 -2.23919547e-03 
 1.18000000e+00  0.00000000e+00 -2.27290509e-03 
 1.20000000e+00  0.00000000e+00 -2.30510413e-03 
 6.00000000e-01 -3.00000000e-01 -1.84411745e-04 
 6.20000000e-01 -3.00000000e-01 -2.46448924e-04 
 6.40000000e-01 -3.00000000e-01 -3.16659882e-04 
 6.60000000e-01 -3.00000000e-01 -3.92750958e-04 
 6.80000000e-01 -3.00000000e-01 -4.72470331e-04 
 7.00000000e-01 -3.00000000e-01 -5.53934558e-04 
 7.20000000e-01 -3.00000000e-01 -6.35724288e-04 
 7.40000000e-01 -3.00000000e-01 -7.16837171e-04 
 7.60000000e-01 -3.00000000e-01 -7.96593542e-04 
 7.80000000e-01 -3.00000000e-01 -8.74546048e-04 
 8.00000000e-01 -3.00000000e-01 -9.50409151e-04 
 8.20000000e-01 -3.00000000e-01 -1.02400860e-03 
 8.40000000e-01 -3.00000000e-01 -1.09524653e-03 
 8.60000000e-01 -3.00000000e-01 -1.16407760e-03 
 8.80000000e-01 -3.00000000e-01 -1.23049282e-03 
 9.00000000e-01 -3.00000000e-01 -1.29450833e-03 
 9.20000000e-01 -3.00000000e-01 -1.35615778e-03 
 9.40000000e-01 -3.00000000e-01 -1.41548687e-03 
 9.60000000e-01 -3.00000000e-01 -1.47254957e-03 
 9.80000000e-01 -3.00000000e-01 -1.52740537e-03 
 1.00000000e+00 -3.00000000e-01 -1.58011729e-03 
 1.02000000e+00 -3.00000000e-01 -1.63075040e-03 
 1.04000000e+00 -3.00000000e-01 -1.67937080e-03 
 1.06000000e+00 -3.00000000e-01 -1.72604476e-03 
 1.08000000e+00 -3.00000000e-01 -1.77083819e-03 
 1.10000000e+00 -3.00000000e-01 -1.81381614e-03 
 1.12000000e+00 -3.00000000e-01 -1.85504248e-03 
 1.14000000e+00 -3.00000000e-01 -1.89457970e-03 
 1.16000000e+00 -3.00000000e-01 -1.93248866e-03 
 1.18000000e+00 -3.00000000e-01 -1.96882856e-03 
 1.20000000e+00 -3.00000000e-01 -2.00365676e-03 
 6.00000000e-01 -6.00000000e-01 -5.92208049e-05 
 6.20000000e-01 -6.00000000e-01 -8.91053910e-05 
 6.40000000e-01 -6.00000000e-01 -1.28811979e-04 
 6.60000000e-01 -6.00000000e-01 -1.78391549e-04 
 6.80000000e-01 -6.00000000e-01 -2.36791973e-04 
 7.00000000e-01 -6.00000000e-01 -3.02160050e-04 
 7.20000000e-01 -6.00000000e-01 -3.72348205e-04 
 7.40000000e-01 -6.00000000e-01 -4.45368703e-04 
 7.60000000e-01 -6.00000000e-01 -5.19628764e-04 
 7.80000000e-01 -6.00000000e-01 -5.93962413e-04 
 8.00000000e-01 -6.00000000e-01 -6.67560928e-04 
 8.20000000e-01 -6.00000000e-01 -7.39881623e-04 
 8.40000000e-01 -6.00000000e-01 -8.10569399e-04 
 8.60000000e-01 -6.00000000e-01 -8.79398442e-04 
 8.80000000e-01 -6.00000000e-01 -9.46231466e-04 
 9.00000000e-01 -6.00000000e-01 -1.01099190e-03 
 9.20000000e-01 -6.00000000e-01 -1.07364505e-03 
 9.40000000e-01 -6.00000000e-01 -1.13418523e-03 
 9.60000000e-01 -6.00000000e-01 -1.19262702e-03 
 9.80000000e-01 -6.00000000e-01 -1.24899913e-03 
 1.00000000e+00 -6.00000000e-01 -1.30334010e-03 
 1.02000000e+00 -6.00000000e-01 -1.35569528e-03 
 1.04000000e+00 -6.00000000e-01 -1.40611457e-03 
 1.06000000e+00 -6.00000000e-01 -1.45465090e-03 
 1.08000000e+00 -6.00000000e-01 -1.50135894e-03 
 1.10000000e+00 -6.00000000e-01 -1.54629430e-03 
 1.12000000e+00 -6.00000000e-01 -1.58951281e-03 
 1.14000000e+00 -6.00000000e-01 -1.63107006e-03 
 1.16000000e+00 -6.00000000e-01 -1.67102102e-03 
 1.18000000e+00 -6.00000000e-01 -1.70941971e-03 
 1.20000000e+00 -6.00000000e-01 -1.74631909e-03 
 6.00000000e-01 -9.00000000e-01 -1.61449378e-05 
 6.20000000e-01 -9.00000000e-01 -2.61312368e-05 
 6.40000000e-01 -9.00000000e-01 -4.14958470e-05 
 6.60000000e-01 -9.00000000e-01 -6.40101769e-05 
 6.80000000e-01 -9.00000000e-01 -9.51036819e-05 
 7.00000000e-01 -9.00000000e-01 -1.35402455e-04 
 7.20000000e-01 -9.00000000e-01 -1.84486761e-04 
 7.40000000e-01 -9.00000000e-01 -2.40997123e-04 
 7.60000000e-01 -9.00000000e-01 -3.03037635e-04 
 7.80000000e-01 -9.00000000e-01 -3.68660972e-04 
 8.00000000e-01 -9.00000000e-01 -4.36204083e-04 
 8.20000000e-01 -9.00000000e-01 -5.04403017e-04 
 8.40000000e-01 -9.00000000e-01 -5.72361680e-04 
 8.60000000e-01 -9.00000000e-01 -6.39469608e-04 
 8.80000000e-01 -9.00000000e-01 -7.05321179e-04 
 9.00000000e-01 -9.00000000e-01 -7.69652676e-04 
 9.20000000e-01 -9.00000000e-01 -8.32297534e-04 
 9.40000000e-01 -9.00000000e-01 -8.93155681e-04 
