 v-sweep         v(3)            i(vd)          
 6.00000000e-01  0.00000000e+00  7.64873957e-12 
 5.80000000e-01  0.00000000e+00  8.56541951e-12 
 5.60000000e-01  0.00000000e+00  9.66000640e-12 
 5.40000000e-01  0.00000000e+00  1.08928797e-11 
 5.20000000e-01  0.00000000e+00  1.22780996e-11 
 5.00000000e-01  0.00000000e+00  1.38305644e-11 
 4.80000000e-01  0.00000000e+00  1.55659230e-11 
 4.60000000e-01  0.00000000e+00  1.75004409e-11 
 4.40000000e-01  0.00000000e+00  1.96508069e-11 
 4.20000000e-01  0.00000000e+00  2.20338673e-11 
 4.00000000e-01  0.00000000e+00  2.46662694e-11 
 3.80000000e-01  0.00000000e+00  2.75639932e-11 
 3.60000000e-01  0.00000000e+00  3.07417461e-11 
 3.40000000e-01  0.00000000e+00  3.42121901e-11 
 3.20000000e-01  0.00000000e+00  3.79849661e-11 
 3.00000000e-01  0.00000000e+00  4.20654712e-11 
 2.80000000e-01  0.00000000e+00  4.64533402e-11 
 2.60000000e-01  0.00000000e+00  5.11405699e-11 
 2.40000000e-01  0.00000000e+00  5.61092215e-11 
 2.20000000e-01  0.00000000e+00  6.13286249e-11 
 2.00000000e-01  0.00000000e+00  6.67520116e-11 
 1.80000000e-01  0.00000000e+00  7.23125194e-11 
 1.60000000e-01  0.00000000e+00  7.79185659e-11 
 1.40000000e-01  0.00000000e+00  8.34487458e-11 
 1.20000000e-01  0.00000000e+00  8.87467674e-11 
 1.00000000e-01  0.00000000e+00  9.36178044e-11 
 8.00000000e-02  0.00000000e+00  9.78295859e-11 
 6.00000000e-02  0.00000000e+00  1.01125951e-10 
 4.00000000e-02  0.00000000e+00  1.03270479e-10 
 2.00000000e-02  0.00000000e+00  1.03623175e-10 
-1.73472348e-16  0.00000000e+00  1.03951588e-10 
-2.00000000e-02  0.00000000e+00  1.05504450e-10 
-4.00000000e-02  0.00000000e+00  1.13185133e-10 
-6.00000000e-02  0.00000000e+00  1.38887659e-10 
-8.00000000e-02  0.00000000e+00  2.10120356e-10 
-1.00000000e-01  0.00000000e+00  3.88754787e-10 
-1.20000000e-01  0.00000000e+00  8.11141776e-10 
-1.40000000e-01  0.00000000e+00  1.77206868e-09 
-1.60000000e-01  0.00000000e+00  3.89509898e-09 
-1.80000000e-01  0.00000000e+00  8.46352749e-09 
-2.00000000e-01  0.00000000e+00  1.80265491e-08 
-2.20000000e-01  0.00000000e+00  3.74271599e-08 
-2.40000000e-01  0.00000000e+00  7.53907397e-08 
-2.60000000e-01  0.00000000e+00  1.46761331e-07 
