 frequency       frequency       onoise_spectrum inoise_spectrum
 1.00000000e+00  1.00000000e+00  5.41262906e-07  1.62227289e-05 
 1.04712855e+00  1.04712855e+00  5.28942307e-07  1.58534560e-05 
 1.09647820e+00  1.09647820e+00  5.16902161e-07  1.54925888e-05 
 1.14815362e+00  1.14815362e+00  5.05136082e-07  1.51399359e-05 
 1.20226443e+00  1.20226443e+00  4.93637834e-07  1.47953105e-05 
 1.25892541e+00  1.25892541e+00  4.82401319e-07  1.44585297e-05 
 1.31825674e+00  1.31825674e+00  4.71420579e-07  1.41294151e-05 
 1.38038426e+00  1.38038426e+00  4.60689793e-07  1.38077920e-05 
 1.44543977e+00  1.44543977e+00  4.50203271e-07  1.34934900e-05 
 1.51356125e+00  1.51356125e+00  4.39955452e-07  1.31863425e-05 
 1.58489319e+00  1.58489319e+00  4.29940904e-07  1.28861865e-05 
 1.65958691e+00  1.65958691e+00  4.20154316e-07  1.25928629e-05 
 1.73780083e+00  1.73780083e+00  4.10590500e-07  1.23062162e-05 
 1.81970086e+00  1.81970086e+00  4.01244384e-07  1.20260945e-05 
 1.90546072e+00  1.90546072e+00  3.92111013e-07  1.17523492e-05 
 1.99526231e+00  1.99526231e+00  3.83185544e-07  1.14848351e-05 
 2.08929613e+00  2.08929613e+00  3.74463246e-07  1.12234104e-05 
 2.18776162e+00  2.18776162e+00  3.65939492e-07  1.09679365e-05 
 2.29086765e+00  2.29086765e+00  3.57609765e-07  1.07182780e-05 
 2.39883292e+00  2.39883292e+00  3.49469648e-07  1.04743024e-05 
 2.51188643e+00  2.51188643e+00  3.41514823e-07  1.02358804e-05 
 2.63026799e+00  2.63026799e+00  3.33741075e-07  1.00028857e-05 
 2.75422870e+00  2.75422870e+00  3.26144280e-07  9.77519461e-06 
 2.88403150e+00  2.88403150e+00  3.18720411e-07  9.55268646e-06 
 3.01995172e+00  3.01995172e+00  3.11465533e-07  9.33524327e-06 
 3.16227766e+00  3.16227766e+00  3.04375797e-07  9.12274975e-06 
 3.31131121e+00  3.31131121e+00  2.97447445e-07  8.91509323e-06 
 3.46736850e+00  3.46736850e+00  2.90676804e-07  8.71216361e-06 
 3.63078055e+00  3.63078055e+00  2.84060284e-07  8.51385330e-06 
 3.80189396e+00  3.80189396e+00  2.77594376e-07  8.32005714e-06 
 3.98107171e+00  3.98107171e+00  2.71275652e-07  8.13067239e-06 
 4.16869383e+00  4.16869383e+00  2.65100762e-07  7.94559863e-06 
 4.36515832e+00  4.36515832e+00  2.59066433e-07  7.76473773e-06 
 4.57088190e+00  4.57088190e+00  2.53169463e-07  7.58799379e-06 
 4.78630092e+00  4.78630092e+00  2.47406728e-07  7.41527312e-06 
 5.01187234e+00  5.01187234e+00  2.41775171e-07  7.24648411e-06 
 5.24807460e+00  5.24807460e+00  2.36271806e-07  7.08153729e-06 
 5.49540874e+00  5.49540874e+00  2.30893715e-07  6.92034520e-06 
 5.75439937e+00  5.75439937e+00  2.25638048e-07  6.76282236e-06 
 6.02559586e+00  6.02559586e+00  2.20502017e-07  6.60888526e-06 
 6.30957344e+00  6.30957344e+00  2.15482899e-07  6.45845228e-06 
 6.60693448e+00  6.60693448e+00  2.10578032e-07  6.31144366e-06 
 6.91830971e+00  6.91830971e+00  2.05784818e-07  6.16778145e-06 
 7.24435960e+00  7.24435960e+00  2.01100712e-07  6.02738947e-06 
 7.58577575e+00  7.58577575e+00  1.96523234e-07  5.89019330e-06 
 7.94328235e+00  7.94328235e+00  1.92049954e-07  5.75612019e-06 
 8.31763771e+00  8.31763771e+00  1.87678502e-07  5.62509904e-06 
 8.70963590e+00  8.70963590e+00  1.83406559e-07  5.49706040e-06 
 9.12010839e+00  9.12010839e+00  1.79231861e-07  5.37193638e-06 
