 time            v(A)            v(B)            v(A_GT_B)       v(A_LT_B)       v(A_EQ_B)      
 0.00000000e+00  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 1.00000000e-13  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 2.00000000e-13  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 4.00000000e-13  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 8.00000000e-13  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 1.60000000e-12  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 3.20000000e-12  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 6.40000000e-12  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 1.28000000e-11  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 2.28000000e-11  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 3.28000000e-11  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 4.28000000e-11  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 5.28000000e-11  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 6.28000000e-11  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 7.28000000e-11  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 8.28000000e-11  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 9.28000000e-11  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 1.00000000e-10  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 1.00009082e-10  1.08979358e-04  0.00000000e+00  3.41856366e-05  3.70290218e-05  1.19926091e+00 
 1.00027245e-10  3.26938074e-04  0.00000000e+00  3.41873666e-05  3.70290269e-05  1.19926091e+00 
 1.00063571e-10  7.62855505e-04  0.00000000e+00  3.42039298e-05  3.70291147e-05  1.19926091e+00 
 1.00136224e-10  1.63469037e-03  0.00000000e+00  3.43428094e-05  3.70305112e-05  1.19926091e+00 
 1.00281530e-10  3.37836010e-03  0.00000000e+00  3.53446019e-05  3.70487649e-05  1.19926091e+00 
 1.00445201e-10  5.34241307e-03  0.00000000e+00  3.80212326e-05  3.71179251e-05  1.19926091e+00 
 1.00639562e-10  7.67474369e-03  0.00000000e+00  4.36944466e-05  3.73083862e-05  1.19926091e+00 
 1.00851419e-10  1.02170270e-02  0.00000000e+00  5.30169368e-05  3.76869685e-05  1.19926093e+00 
 1.01128771e-10  1.35452486e-02  0.00000000e+00  6.98162351e-05  3.84795609e-05  1.19926095e+00 
 1.01332360e-10  1.59883234e-02  0.00000000e+00  8.51358404e-05  3.92800634e-05  1.19926099e+00 
 1.01556135e-10  1.86736152e-02  0.00000000e+00  1.04482397e-04  4.03752364e-05  1.19926104e+00 
 1.01818814e-10  2.18257622e-02  0.00000000e+00  1.30066866e-04  4.19324481e-05  1.19926113e+00 
 1.02205391e-10  2.64646962e-02  0.00000000e+00  1.72291057e-04  4.46676633e-05  1.19926130e+00 
 1.02978547e-10  3.57425643e-02  0.00000000e+00  2.67916505e-04  5.11826737e-05  1.19926180e+00 
 1.03830567e-10  4.59668012e-02  0.00000000e+00  3.83213212e-04  5.91913757e-05  1.19926253e+00 
 1.04833423e-10  5.80010720e-02  0.00000000e+00  5.22064477e-04  6.86608052e-05  1.19926354e+00 
 1.05867710e-10  7.04125254e-02  0.00000000e+00  6.61192506e-04  7.76940063e-05  1.19926463e+00 
 1.07151117e-10  8.58134059e-02  0.00000000e+00  8.21006403e-04  8.71926679e-05  1.19926586e+00 
 1.08585837e-10  1.03030042e-01  0.00000000e+00  9.78621909e-04  9.52653220e-05  1.19926696e+00 
 1.10412064e-10  1.24944767e-01  0.00000000e+00  1.14564744e-03  1.01803009e-04  1.19926782e+00 
 1.11193366e-10  1.34320393e-01  0.00000000e+00  1.20588695e-03  1.03428730e-04  1.19926799e+00 
 1.11682120e-10  1.40185435e-01  0.00000000e+00  1.24033212e-03  1.04133737e-04  1.19926805e+00 
 1.12389417e-10  1.48673010e-01  0.00000000e+00  1.28606638e-03  1.04773211e-04  1.19926808e+00 
 1.12764816e-10  1.53177794e-01  0.00000000e+00  1.30844607e-03  1.04903026e-04  1.19926807e+00 
 1.13328662e-10  1.59943946e-01  0.00000000e+00  1.33972642e-03  1.04809507e-04  1.19926803e+00 
 1.14456354e-10  1.73476250e-01  0.00000000e+00  1.39442126e-03  1.04266562e-04  1.19926787e+00 
 1.16140005e-10  1.93680064e-01  0.00000000e+00  1.45851147e-03  1.02580161e-04  1.19926738e+00 
 1.17941542e-10  2.15298510e-01  0.00000000e+00  1.50693907e-03  9.92453014e-05  1.19926659e+00 
 1.18510554e-10  2.22126643e-01  0.00000000e+00  1.51969946e-03  9.79195216e-05  1.19926629e+00 
 1.19327219e-10  2.31926629e-01  0.00000000e+00  1.53830185e-03  9.58436449e-05  1.19926584e+00 
 1.19878619e-10  2.38543423e-01  0.00000000e+00  1.54977453e-03  9.43404983e-05  1.19926552e+00 
 1.20558367e-10  2.46700399e-01  0.00000000e+00  1.56161725e-03  9.23933379e-05  1.19926511e+00 
 1.21917863e-10  2.63014353e-01  0.00000000e+00  1.57786758e-03  8.82425696e-05  1.19926426e+00 
 1.23752490e-10  2.85029877e-01  0.00000000e+00  1.58537591e-03  8.22244365e-05  1.19926311e+00 
 1.25470049e-10  3.05640589e-01  0.00000000e+00  1.57902517e-03  7.62800244e-05  1.19926206e+00 
 1.27118936e-10  3.25427228e-01  0.00000000e+00  1.56178467e-03  7.03533688e-05  1.19926110e+00 
 1.28547307e-10  3.42567681e-01  0.00000000e+00  1.53826287e-03  6.50425301e-05  1.19926033e+00 
 1.30144329e-10  3.61731949e-01  0.00000000e+00  1.50253047e-03  5.88793643e-05  1.19925952e+00 
 1.31724013e-10  3.80688162e-01  0.00000000e+00  1.45707647e-03  5.24908143e-05  1.19925880e+00 
 1.33431251e-10  4.01175010e-01  0.00000000e+00  1.39611948e-03  4.51642818e-05  1.19925809e+00 
 1.34874973e-10  4.18499679e-01  0.00000000e+00  1.33420255e-03  3.85268031e-05  1.19925756e+00 
 1.36576698e-10  4.38920382e-01  0.00000000e+00  1.24758718e-03  3.00035013e-05  1.19925698e+00 
 1.38122047e-10  4.57464565e-01  0.00000000e+00  1.15520265e-03  2.14764334e-05  1.19925650e+00 
 1.39955753e-10  4.79469038e-01  0.00000000e+00  1.02727999e-03  1.06167914e-05  1.19925598e+00 
 1.41613854e-10  4.99366245e-01  0.00000000e+00  8.93648572e-04 -8.15092638e-09  1.19925554e+00 
 1.43296584e-10  5.19559013e-01  0.00000000e+00  7.40247612e-04 -1.27870842e-05  1.19925512e+00 
 1.45082037e-10  5.40984443e-01  0.00000000e+00  5.58097085e-04 -2.75194548e-05  1.19925470e+00 
 1.46929521e-10  5.63154249e-01  0.00000000e+00  3.49443003e-04 -4.40578728e-05  1.19925427e+00 
 1.48952293e-10  5.87427518e-01  0.00000000e+00  9.91087892e-05 -6.35415995e-05  1.19925384e+00 
 1.51225997e-10  6.14711958e-01  0.00000000e+00 -2.20527497e-04 -8.70013911e-05  1.19925339e+00 
 1.53555460e-10  6.42665522e-01  0.00000000e+00 -5.76030766e-04 -1.12596964e-04  1.19925300e+00 
 1.54245129e-10  6.50941550e-01  0.00000000e+00 -6.84869413e-04 -1.20466509e-04  1.19925291e+00 
 1.54705743e-10  6.56468918e-01  0.00000000e+00 -7.58435729e-04 -1.25796506e-04  1.19925285e+00 
 1.54963138e-10  6.59557656e-01  0.00000000e+00 -7.99843254e-04 -1.28801055e-04  1.19925281e+00 
 1.55146031e-10  6.61752377e-01  0.00000000e+00 -8.29394056e-04 -1.30947439e-04  1.19925279e+00 
 1.55264183e-10  6.63170190e-01  0.00000000e+00 -8.48540582e-04 -1.32336144e-04  1.19925278e+00 
 1.55413178e-10  6.64958137e-01  0.00000000e+00 -8.72748273e-04 -1.34074894e-04  1.19925276e+00 
 1.55556223e-10  6.66674677e-01  0.00000000e+00 -8.96054639e-04 -1.35717851e-04  1.19925274e+00 
 1.55711084e-10  6.68533011e-01  0.00000000e+00 -9.21358291e-04 -1.37461921e-04  1.19925272e+00 
 1.56020807e-10  6.72249678e-01  0.00000000e+00 -9.72189533e-04 -1.40862842e-04  1.19925268e+00 
 1.56640251e-10  6.79683013e-01  0.00000000e+00 -1.07474539e-03 -1.47504416e-04  1.19925262e+00 
 1.57592803e-10  6.91113638e-01  0.00000000e+00 -1.23477084e-03 -1.57818758e-04  1.19925253e+00 
 1.58785032e-10  7.05420384e-01  0.00000000e+00 -1.43906043e-03 -1.71495768e-04  1.19925246e+00 
 1.59174352e-10  7.10092227e-01  0.00000000e+00 -1.50566740e-03 -1.76200981e-04  1.19925244e+00 
