 time            v(A)            v(B)            v(A_GT_B)       v(A_LT_B)       v(A_EQ_B)      
 0.00000000e+00  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 1.00000000e-13  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 2.00000000e-13  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 4.00000000e-13  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 8.00000000e-13  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 1.60000000e-12  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 3.20000000e-12  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 6.40000000e-12  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 1.28000000e-11  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 2.28000000e-11  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 3.28000000e-11  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 4.28000000e-11  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 5.28000000e-11  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 6.28000000e-11  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 7.28000000e-11  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 8.28000000e-11  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 9.28000000e-11  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 1.00000000e-10  0.00000000e+00  0.00000000e+00  3.41853444e-05  3.70290211e-05  1.19926091e+00 
 1.01000000e-10  1.20000000e-02  0.00000000e+00  8.46477754e-05  3.96698819e-05  1.19926107e+00 
 1.03000000e-10  3.60000000e-02  0.00000000e+00  2.63805114e-04  5.07453201e-05  1.19926188e+00 
 1.07000000e-10  8.40000000e-02  0.00000000e+00  7.83929702e-04  8.42805675e-05  1.19926528e+00 
 1.15000000e-10  1.80000000e-01  0.00000000e+00  1.44987496e-03  1.09490669e-04  1.19926850e+00 
 1.25000000e-10  3.00000000e-01  0.00000000e+00  1.60773413e-03  8.12120680e-05  1.19926322e+00 
 1.35000000e-10  4.20000000e-01  0.00000000e+00  1.33539478e-03  3.76509860e-05  1.19925734e+00 
 1.45000000e-10  5.40000000e-01  0.00000000e+00  5.75771668e-04 -2.59276067e-05  1.19925443e+00 
 1.55000000e-10  6.60000000e-01  0.00000000e+00 -7.67315622e-04 -1.25602308e-04  1.19925280e+00 
 1.65000000e-10  7.80000000e-01  0.00000000e+00 -2.56626154e-03 -2.62710047e-04  1.19925235e+00 
 1.75000000e-10  9.00000000e-01  0.00000000e+00 -5.03932249e-03 -4.66486942e-04  1.19925283e+00 
 1.85000000e-10  1.02000000e+00  0.00000000e+00 -7.83693057e-03 -6.69577301e-04  1.19925497e+00 
 1.95000000e-10  1.14000000e+00  0.00000000e+00 -1.05157047e-02 -8.14857958e-04  1.19926026e+00 
 2.00000000e-10  1.20000000e+00  0.00000000e+00 -1.18968909e-02 -9.18804905e-04  1.19926367e+00 
 2.01000000e-10  1.20000000e+00  0.00000000e+00 -1.22068405e-02 -9.44876786e-04  1.19926425e+00 
 2.03000000e-10  1.20000000e+00  0.00000000e+00 -1.28539437e-02 -9.90833064e-04  1.19926524e+00 
 2.07000000e-10  1.20000000e+00  0.00000000e+00 -1.39805230e-02 -1.00991813e-03  1.19926788e+00 
 2.15000000e-10  1.20000000e+00  0.00000000e+00 -1.51472424e-02 -7.58861860e-04  1.19928032e+00 
 2.23056474e-10  1.20000000e+00  0.00000000e+00 -1.51852273e-02 -3.25680083e-04  1.19929668e+00 
 2.33056474e-10  1.20000000e+00  0.00000000e+00 -1.28109535e-02  1.50855335e-04  1.19930857e+00 
 2.43056474e-10  1.20000000e+00  0.00000000e+00 -4.26818700e-03  4.70186864e-04  1.19930557e+00 
 2.53056474e-10  1.20000000e+00  0.00000000e+00  1.42205213e-02  6.05305653e-04  1.19929117e+00 
 2.63056474e-10  1.20000000e+00  0.00000000e+00  4.98116276e-02  5.80288516e-04  1.19927258e+00 
 2.73056474e-10  1.20000000e+00  0.00000000e+00  1.16241012e-01  4.86926108e-04  1.19924516e+00 
 2.83056474e-10  1.20000000e+00  0.00000000e+00  2.15891677e-01  3.75793251e-04  1.19919435e+00 
 2.93056474e-10  1.20000000e+00  0.00000000e+00  3.42455059e-01  2.78096770e-04  1.19911058e+00 
 3.03056474e-10  1.20000000e+00  0.00000000e+00  4.88142614e-01  2.01264579e-04  1.19900293e+00 
 3.13056474e-10  1.20000000e+00  0.00000000e+00  6.46411910e-01  1.44623048e-04  1.19884003e+00 
 3.23056474e-10  1.20000000e+00  0.00000000e+00  8.08144775e-01  1.04686606e-04  1.19864017e+00 
 3.33056474e-10  1.20000000e+00  0.00000000e+00  9.51996047e-01  7.70728592e-05  1.19846006e+00 
 3.43056474e-10  1.20000000e+00  0.00000000e+00  1.05388456e+00  5.92789063e-05  1.19831565e+00 
 3.53056474e-10  1.20000000e+00  0.00000000e+00  1.11537081e+00  4.74822807e-05  1.19817343e+00 
 3.63056474e-10  1.20000000e+00  0.00000000e+00  1.15079637e+00  4.00619044e-05  1.19790344e+00 
 3.73056474e-10  1.20000000e+00  0.00000000e+00  1.17068143e+00  3.51313784e-05  1.19779021e+00 
 3.83056474e-10  1.20000000e+00  0.00000000e+00  1.18174425e+00  3.30564785e-05  1.19810411e+00 
 3.93056474e-10  1.20000000e+00  0.00000000e+00  1.18796876e+00  3.24748103e-05  1.19857346e+00 
 4.03056474e-10  1.20000000e+00  0.00000000e+00  1.19157826e+00  3.24701139e-05  1.19959917e+00 
 4.13056474e-10  1.20000000e+00  0.00000000e+00  1.19376759e+00  3.20172846e-05  1.20238240e+00 
 4.23056474e-10  1.20000000e+00  0.00000000e+00  1.19517371e+00  3.17712146e-05  1.20662478e+00 
 4.33056474e-10  1.20000000e+00  0.00000000e+00  1.19612819e+00  3.16710288e-05  1.21103714e+00 
 4.43056474e-10  1.20000000e+00  0.00000000e+00  1.19681251e+00  3.20277145e-05  1.21487632e+00 
 4.53056474e-10  1.20000000e+00  0.00000000e+00  1.19732156e+00  3.24810085e-05  1.21792612e+00 
 4.63056474e-10  1.20000000e+00  0.00000000e+00  1.19771348e+00  3.31008845e-05  1.22015308e+00 
 4.73056474e-10  1.20000000e+00  0.00000000e+00  1.19801945e+00  3.36125066e-05  1.22132289e+00 
 4.83056474e-10  1.20000000e+00  0.00000000e+00  1.19826298e+00  3.41174591e-05  1.22044304e+00 
 4.93056474e-10  1.20000000e+00  0.00000000e+00  1.19845681e+00  3.44736455e-05  1.21557692e+00 
 5.03056474e-10  1.20000000e+00  0.00000000e+00  1.19861315e+00  3.47921030e-05  1.20405182e+00 
 5.13056474e-10  1.20000000e+00  0.00000000e+00  1.19873836e+00  3.49987725e-05  1.18442984e+00 
 5.23056474e-10  1.20000000e+00  0.00000000e+00  1.19883988e+00  3.51767005e-05  1.15196014e+00 
 5.33056474e-10  1.20000000e+00  0.00000000e+00  1.19892127e+00  3.52845684e-05  1.09886066e+00 
 5.43056474e-10  1.20000000e+00  0.00000000e+00  1.19898744e+00  3.53755549e-05  1.01760556e+00 
 5.53056474e-10  1.20000000e+00  0.00000000e+00  1.19904044e+00  3.54272644e-05  9.05888419e-01 
 5.63056474e-10  1.20000000e+00  0.00000000e+00  1.19908361e+00  3.54684469e-05  7.66550112e-01 
 5.73056474e-10  1.20000000e+00  0.00000000e+00  1.19911813e+00  3.54933501e-05  6.04274827e-01 
 5.83056474e-10  1.20000000e+00  0.00000000e+00  1.19914631e+00  3.55117418e-05  4.25899006e-01 
 5.93056474e-10  1.20000000e+00  0.00000000e+00  1.19916879e+00  3.55260024e-05  2.50148410e-01 
 6.03056474e-10  1.20000000e+00  0.00000000e+00  1.19918719e+00  3.55343142e-05  1.20549430e-01 
 6.13056474e-10  1.20000000e+00  0.00000000e+00  1.19920183e+00  3.55463183e-05  5.29958176e-02 
 6.23056474e-10  1.20000000e+00  0.00000000e+00  1.19921385e+00  3.55468646e-05  2.32918267e-02 
 6.33056474e-10  1.20000000e+00  0.00000000e+00  1.19922337e+00  3.55499374e-05  1.13950992e-02 
 6.43056474e-10  1.20000000e+00  0.00000000e+00  1.19923122e+00  3.55428199e-05  6.66104006e-03 
 6.53056474e-10  1.20000000e+00  0.00000000e+00  1.19923742e+00  3.55471139e-05  4.61851349e-03 
 6.63056474e-10  1.20000000e+00  0.00000000e+00  1.19924255e+00  3.55435909e-05  3.57071403e-03 
 6.73056474e-10  1.20000000e+00  0.00000000e+00  1.19924658e+00  3.55517400e-05  2.91710710e-03 
 6.83056474e-10  1.20000000e+00  0.00000000e+00  1.19924994e+00  3.55493825e-05  2.43957151e-03 
 6.93056474e-10  1.20000000e+00  0.00000000e+00  1.19925256e+00  3.55569294e-05  2.06031901e-03 
