 time            v(in1)          v(in2)          v(out)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.19057252e+00 
 1.00000000e-13  0.00000000e+00  0.00000000e+00  1.19057252e+00 
 2.00000000e-13  0.00000000e+00  0.00000000e+00  1.19057252e+00 
 4.00000000e-13  0.00000000e+00  0.00000000e+00  1.19057252e+00 
 8.00000000e-13  0.00000000e+00  0.00000000e+00  1.19057252e+00 
 1.60000000e-12  0.00000000e+00  0.00000000e+00  1.19057252e+00 
 3.20000000e-12  0.00000000e+00  0.00000000e+00  1.19057252e+00 
 6.40000000e-12  0.00000000e+00  0.00000000e+00  1.19057252e+00 
 1.28000000e-11  0.00000000e+00  0.00000000e+00  1.19057252e+00 
 2.28000000e-11  0.00000000e+00  0.00000000e+00  1.19057252e+00 
 3.28000000e-11  0.00000000e+00  0.00000000e+00  1.19057252e+00 
 4.28000000e-11  0.00000000e+00  0.00000000e+00  1.19057252e+00 
 5.28000000e-11  0.00000000e+00  0.00000000e+00  1.19057252e+00 
 6.28000000e-11  0.00000000e+00  0.00000000e+00  1.19057252e+00 
 7.28000000e-11  0.00000000e+00  0.00000000e+00  1.19057252e+00 
 8.28000000e-11  0.00000000e+00  0.00000000e+00  1.19057252e+00 
 9.28000000e-11  0.00000000e+00  0.00000000e+00  1.19057252e+00 
 1.00000000e-10  0.00000000e+00  0.00000000e+00  1.19057252e+00 
 1.00009246e-10  1.10957291e-04  0.00000000e+00  1.19057263e+00 
 1.00027739e-10  3.32871873e-04  0.00000000e+00  1.19057307e+00 
 1.00064725e-10  7.76701038e-04  0.00000000e+00  1.19057517e+00 
 1.00138697e-10  1.66435937e-03  0.00000000e+00  1.19058389e+00 
 1.00286640e-10  3.43967602e-03  0.00000000e+00  1.19061635e+00 
 1.00449526e-10  5.39431538e-03  0.00000000e+00  1.19067091e+00 
 1.00645751e-10  7.74900833e-03  0.00000000e+00  1.19075664e+00 
 1.00857570e-10  1.02908398e-02  0.00000000e+00  1.19086859e+00 
 1.01140255e-10  1.36830649e-02  0.00000000e+00  1.19104279e+00 
 1.01485824e-10  1.78298865e-02  0.00000000e+00  1.19128671e+00 
 1.01988662e-10  2.38639448e-02  0.00000000e+00  1.19168848e+00 
 1.02704093e-10  3.24491176e-02  0.00000000e+00  1.19232897e+00 
 1.03498454e-10  4.19814502e-02  0.00000000e+00  1.19310203e+00 
 1.04404750e-10  5.28569956e-02  0.00000000e+00  1.19402680e+00 
 1.05400400e-10  6.48048032e-02  0.00000000e+00  1.19506313e+00 
 1.06589593e-10  7.90751104e-02  0.00000000e+00  1.19629786e+00 
 1.07978097e-10  9.57371621e-02  0.00000000e+00  1.19770866e+00 
 1.09725101e-10  1.16701208e-01  0.00000000e+00  1.19941066e+00 
 1.10349308e-10  1.24191691e-01  0.00000000e+00  1.19999702e+00 
 1.10744609e-10  1.28935314e-01  0.00000000e+00  1.20041103e+00 
 1.11050438e-10  1.32605250e-01  0.00000000e+00  1.20072548e+00 
 1.11403025e-10  1.36836305e-01  0.00000000e+00  1.20108191e+00 
 1.12108201e-10  1.45298413e-01  0.00000000e+00  1.20177704e+00 
 1.13518553e-10  1.62222631e-01  0.00000000e+00  1.20310193e+00 
 1.16339256e-10  1.96071067e-01  0.00000000e+00  1.20551624e+00 
 1.19024014e-10  2.28288171e-01  0.00000000e+00  1.20755363e+00 
 1.22350856e-10  2.68210269e-01  0.00000000e+00  1.20977357e+00 
