 frequency       vdb(in)         vdb(out)       
 1.00000000e+02 -2.44369750e+01 -2.81387774e+01 
 1.25892541e+02 -2.44369750e+01 -2.81387774e+01 
 1.58489319e+02 -2.44369750e+01 -2.81387774e+01 
 1.99526231e+02 -2.44369750e+01 -2.81387774e+01 
 2.51188643e+02 -2.44369750e+01 -2.81387774e+01 
 3.16227766e+02 -2.44369750e+01 -2.81387774e+01 
 3.98107171e+02 -2.44369750e+01 -2.81387774e+01 
 5.01187234e+02 -2.44369750e+01 -2.81387774e+01 
 6.30957344e+02 -2.44369750e+01 -2.81387774e+01 
 7.94328235e+02 -2.44369750e+01 -2.81387774e+01 
 1.00000000e+03 -2.44369750e+01 -2.81387774e+01 
 1.25892541e+03 -2.44369750e+01 -2.81387774e+01 
 1.58489319e+03 -2.44369750e+01 -2.81387774e+01 
 1.99526231e+03 -2.44369750e+01 -2.81387774e+01 
 2.51188643e+03 -2.44369750e+01 -2.81387774e+01 
 3.16227766e+03 -2.44369750e+01 -2.81387774e+01 
 3.98107171e+03 -2.44369750e+01 -2.81387774e+01 
 5.01187234e+03 -2.44369750e+01 -2.81387774e+01 
 6.30957344e+03 -2.44369750e+01 -2.81387774e+01 
 7.94328235e+03 -2.44369750e+01 -2.81387775e+01 
 1.00000000e+04 -2.44369750e+01 -2.81387775e+01 
 1.25892541e+04 -2.44369750e+01 -2.81387776e+01 
 1.58489319e+04 -2.44369750e+01 -2.81387776e+01 
 1.99526231e+04 -2.44369750e+01 -2.81387778e+01 
 2.51188643e+04 -2.44369750e+01 -2.81387780e+01 
 3.16227766e+04 -2.44369750e+01 -2.81387783e+01 
 3.98107171e+04 -2.44369750e+01 -2.81387789e+01 
 5.01187234e+04 -2.44369750e+01 -2.81387797e+01 
 6.30957344e+04 -2.44369750e+01 -2.81387810e+01 
 7.94328235e+04 -2.44369750e+01 -2.81387832e+01 
 1.00000000e+05 -2.44369750e+01 -2.81387865e+01 
 1.25892541e+05 -2.44369750e+01 -2.81387918e+01 
 1.58489319e+05 -2.44369750e+01 -2.81388003e+01 
 1.99526231e+05 -2.44369750e+01 -2.81388137e+01 
 2.51188643e+05 -2.44369750e+01 -2.81388349e+01 
 3.16227766e+05 -2.44369750e+01 -2.81388685e+01 
 3.98107171e+05 -2.44369750e+01 -2.81389218e+01 
 5.01187234e+05 -2.44369750e+01 -2.81390062e+01 
 6.30957344e+05 -2.44369750e+01 -2.81391400e+01 
 7.94328235e+05 -2.44369750e+01 -2.81393520e+01 
 1.00000000e+06 -2.44369750e+01 -2.81396881e+01 
 1.25892541e+06 -2.44369750e+01 -2.81402206e+01 
 1.58489319e+06 -2.44369750e+01 -2.81410646e+01 
 1.99526231e+06 -2.44369750e+01 -2.81424018e+01 
 2.51188643e+06 -2.44369750e+01 -2.81445202e+01 
 3.16227766e+06 -2.44369750e+01 -2.81478756e+01 
 3.98107171e+06 -2.44369750e+01 -2.81531883e+01 
 5.01187234e+06 -2.44369750e+01 -2.81615950e+01 
 6.30957344e+06 -2.44369750e+01 -2.81748855e+01 
 7.94328235e+06 -2.44369750e+01 -2.81958666e+01 
 1.00000000e+07 -2.44369750e+01 -2.82289131e+01 
 1.25892541e+07 -2.44369750e+01 -2.82807786e+01 
 1.58489319e+07 -2.44369750e+01 -2.83617318e+01 
 1.99526231e+07 -2.44369750e+01 -2.84870207e+01 
 2.51188643e+07 -2.44369750e+01 -2.86784708e+01 
 3.16227766e+07 -2.44369750e+01 -2.89656032e+01 
 3.98107171e+07 -2.44369750e+01 -2.93850374e+01 
 5.01187234e+07 -2.44369750e+01 -2.99765308e+01 
 6.30957344e+07 -2.44369750e+01 -3.07748599e+01 
 7.94328235e+07 -2.44369750e+01 -3.17996365e+01 
 1.00000000e+08 -2.44369750e+01 -3.30483531e+01 
 1.25892541e+08 -2.44369750e+01 -3.44973184e+01 
 1.58489319e+08 -2.44369750e+01 -3.61098147e+01 
 1.99526231e+08 -2.44369750e+01 -3.78462018e+01 
 2.51188643e+08 -2.44369750e+01 -3.96711849e+01 
 3.16227766e+08 -2.44369750e+01 -4.15569173e+01 
 3.98107171e+08 -2.44369750e+01 -4.34830853e+01 
 5.01187234e+08 -2.44369750e+01 -4.54355969e+01 
 6.30957344e+08 -2.44369750e+01 -4.74049665e+01 
 7.94328235e+08 -2.44369750e+01 -4.93848952e+01 
 1.00000000e+09 -2.44369750e+01 -5.13711778e+01 
