 frequency       vdb(in)         vdb(out)       
 1.00000000e+02 -2.44369750e+01 -1.99613549e+01 
 1.25892541e+02 -2.44369750e+01 -1.99613549e+01 
 1.58489319e+02 -2.44369750e+01 -1.99613549e+01 
 1.99526231e+02 -2.44369750e+01 -1.99613549e+01 
 2.51188643e+02 -2.44369750e+01 -1.99613549e+01 
 3.16227766e+02 -2.44369750e+01 -1.99613549e+01 
 3.98107171e+02 -2.44369750e+01 -1.99613549e+01 
 5.01187234e+02 -2.44369750e+01 -1.99613549e+01 
 6.30957344e+02 -2.44369750e+01 -1.99613549e+01 
 7.94328235e+02 -2.44369750e+01 -1.99613549e+01 
 1.00000000e+03 -2.44369750e+01 -1.99613549e+01 
 1.25892541e+03 -2.44369750e+01 -1.99613549e+01 
 1.58489319e+03 -2.44369750e+01 -1.99613549e+01 
 1.99526231e+03 -2.44369750e+01 -1.99613549e+01 
 2.51188643e+03 -2.44369750e+01 -1.99613549e+01 
 3.16227766e+03 -2.44369750e+01 -1.99613549e+01 
 3.98107171e+03 -2.44369750e+01 -1.99613549e+01 
 5.01187234e+03 -2.44369750e+01 -1.99613549e+01 
 6.30957344e+03 -2.44369750e+01 -1.99613549e+01 
 7.94328235e+03 -2.44369750e+01 -1.99613549e+01 
 1.00000000e+04 -2.44369750e+01 -1.99613549e+01 
 1.25892541e+04 -2.44369750e+01 -1.99613549e+01 
 1.58489319e+04 -2.44369750e+01 -1.99613549e+01 
 1.99526231e+04 -2.44369750e+01 -1.99613549e+01 
 2.51188643e+04 -2.44369750e+01 -1.99613549e+01 
 3.16227766e+04 -2.44369750e+01 -1.99613549e+01 
 3.98107171e+04 -2.44369750e+01 -1.99613549e+01 
 5.01187234e+04 -2.44369750e+01 -1.99613549e+01 
 6.30957344e+04 -2.44369750e+01 -1.99613549e+01 
 7.94328235e+04 -2.44369750e+01 -1.99613549e+01 
 1.00000000e+05 -2.44369750e+01 -1.99613549e+01 
 1.25892541e+05 -2.44369750e+01 -1.99613549e+01 
 1.58489319e+05 -2.44369750e+01 -1.99613549e+01 
 1.99526231e+05 -2.44369750e+01 -1.99613549e+01 
 2.51188643e+05 -2.44369750e+01 -1.99613549e+01 
 3.16227766e+05 -2.44369750e+01 -1.99613549e+01 
 3.98107171e+05 -2.44369750e+01 -1.99613549e+01 
 5.01187234e+05 -2.44369750e+01 -1.99613549e+01 
 6.30957344e+05 -2.44369750e+01 -1.99613549e+01 
 7.94328235e+05 -2.44369750e+01 -1.99613549e+01 
 1.00000000e+06 -2.44369750e+01 -1.99613549e+01 
 1.25892541e+06 -2.44369750e+01 -1.99613549e+01 
 1.58489319e+06 -2.44369750e+01 -1.99613549e+01 
 1.99526231e+06 -2.44369750e+01 -1.99613550e+01 
 2.51188643e+06 -2.44369750e+01 -1.99613550e+01 
 3.16227766e+06 -2.44369750e+01 -1.99613550e+01 
 3.98107171e+06 -2.44369750e+01 -1.99613550e+01 
 5.01187234e+06 -2.44369750e+01 -1.99613550e+01 
 6.30957344e+06 -2.44369750e+01 -1.99613550e+01 
 7.94328235e+06 -2.44369750e+01 -1.99613550e+01 
 1.00000000e+07 -2.44369750e+01 -1.99613550e+01 
 1.25892541e+07 -2.44369750e+01 -1.99613551e+01 
 1.58489319e+07 -2.44369750e+01 -1.99613552e+01 
 1.99526231e+07 -2.44369750e+01 -1.99613553e+01 
 2.51188643e+07 -2.44369750e+01 -1.99613555e+01 
 3.16227766e+07 -2.44369750e+01 -1.99613558e+01 
 3.98107171e+07 -2.44369750e+01 -1.99613563e+01 
 5.01187234e+07 -2.44369750e+01 -1.99613571e+01 
 6.30957344e+07 -2.44369750e+01 -1.99613583e+01 
 7.94328235e+07 -2.44369750e+01 -1.99613603e+01 
 1.00000000e+08 -2.44369750e+01 -1.99613635e+01 
 1.25892541e+08 -2.44369750e+01 -1.99613684e+01 
 1.58489319e+08 -2.44369750e+01 -1.99613763e+01 
 1.99526231e+08 -2.44369750e+01 -1.99613888e+01 
 2.51188643e+08 -2.44369750e+01 -1.99614087e+01 
 3.16227766e+08 -2.44369750e+01 -1.99614401e+01 
 3.98107171e+08 -2.44369750e+01 -1.99614899e+01 
 5.01187234e+08 -2.44369750e+01 -1.99615688e+01 
 6.30957344e+08 -2.44369750e+01 -1.99616939e+01 
 7.94328235e+08 -2.44369750e+01 -1.99618921e+01 
 1.00000000e+09 -2.44369750e+01 -1.99622063e+01 
