 frequency       vdb(in)         vdb(d)         
 1.00000000e+02 -2.44369750e+01 -2.17904572e+01 
 1.25892541e+02 -2.44369750e+01 -2.17904572e+01 
 1.58489319e+02 -2.44369750e+01 -2.17904572e+01 
 1.99526231e+02 -2.44369750e+01 -2.17904572e+01 
 2.51188643e+02 -2.44369750e+01 -2.17904572e+01 
 3.16227766e+02 -2.44369750e+01 -2.17904572e+01 
 3.98107171e+02 -2.44369750e+01 -2.17904572e+01 
 5.01187234e+02 -2.44369750e+01 -2.17904572e+01 
 6.30957344e+02 -2.44369750e+01 -2.17904572e+01 
 7.94328235e+02 -2.44369750e+01 -2.17904572e+01 
 1.00000000e+03 -2.44369750e+01 -2.17904572e+01 
 1.25892541e+03 -2.44369750e+01 -2.17904572e+01 
 1.58489319e+03 -2.44369750e+01 -2.17904572e+01 
 1.99526231e+03 -2.44369750e+01 -2.17904572e+01 
 2.51188643e+03 -2.44369750e+01 -2.17904572e+01 
 3.16227766e+03 -2.44369750e+01 -2.17904573e+01 
 3.98107171e+03 -2.44369750e+01 -2.17904573e+01 
 5.01187234e+03 -2.44369750e+01 -2.17904573e+01 
 6.30957344e+03 -2.44369750e+01 -2.17904574e+01 
 7.94328235e+03 -2.44369750e+01 -2.17904576e+01 
 1.00000000e+04 -2.44369750e+01 -2.17904578e+01 
 1.25892541e+04 -2.44369750e+01 -2.17904581e+01 
 1.58489319e+04 -2.44369750e+01 -2.17904586e+01 
 1.99526231e+04 -2.44369750e+01 -2.17904595e+01 
 2.51188643e+04 -2.44369750e+01 -2.17904608e+01 
 3.16227766e+04 -2.44369750e+01 -2.17904630e+01 
 3.98107171e+04 -2.44369750e+01 -2.17904663e+01 
 5.01187234e+04 -2.44369750e+01 -2.17904717e+01 
 6.30957344e+04 -2.44369750e+01 -2.17904802e+01 
 7.94328235e+04 -2.44369750e+01 -2.17904936e+01 
 1.00000000e+05 -2.44369750e+01 -2.17905149e+01 
 1.25892541e+05 -2.44369750e+01 -2.17905487e+01 
 1.58489319e+05 -2.44369750e+01 -2.17906022e+01 
 1.99526231e+05 -2.44369750e+01 -2.17906870e+01 
 2.51188643e+05 -2.44369750e+01 -2.17908214e+01 
 3.16227766e+05 -2.44369750e+01 -2.17910344e+01 
 3.98107171e+05 -2.44369750e+01 -2.17913720e+01 
 5.01187234e+05 -2.44369750e+01 -2.17919070e+01 
 6.30957344e+05 -2.44369750e+01 -2.17927548e+01 
 7.94328235e+05 -2.44369750e+01 -2.17940981e+01 
 1.00000000e+06 -2.44369750e+01 -2.17962262e+01 
 1.25892541e+06 -2.44369750e+01 -2.17995969e+01 
 1.58489319e+06 -2.44369750e+01 -2.18049337e+01 
 1.99526231e+06 -2.44369750e+01 -2.18133786e+01 
 2.51188643e+06 -2.44369750e+01 -2.18267293e+01 
 3.16227766e+06 -2.44369750e+01 -2.18478050e+01 
 3.98107171e+06 -2.44369750e+01 -2.18809997e+01 
 5.01187234e+06 -2.44369750e+01 -2.19330955e+01 
 6.30957344e+06 -2.44369750e+01 -2.20144026e+01 
 7.94328235e+06 -2.44369750e+01 -2.21402265e+01 
 1.00000000e+07 -2.44369750e+01 -2.23324648e+01 
 1.25892541e+07 -2.44369750e+01 -2.26207159e+01 
 1.58489319e+07 -2.44369750e+01 -2.30416569e+01 
 1.99526231e+07 -2.44369750e+01 -2.36350424e+01 
 2.51188643e+07 -2.44369750e+01 -2.44355499e+01 
 3.16227766e+07 -2.44369750e+01 -2.54625975e+01 
 3.98107171e+07 -2.44369750e+01 -2.67134517e+01 
 5.01187234e+07 -2.44369750e+01 -2.81642479e+01 
 6.30957344e+07 -2.44369750e+01 -2.97781970e+01 
 7.94328235e+07 -2.44369750e+01 -3.15156817e+01 
 1.00000000e+08 -2.44369750e+01 -3.33414852e+01 
 1.25892541e+08 -2.44369750e+01 -3.52278592e+01 
 1.58489319e+08 -2.44369750e+01 -3.71545925e+01 
 1.99526231e+08 -2.44369750e+01 -3.91076993e+01 
 2.51188643e+08 -2.44369750e+01 -4.10778156e+01 
 3.16227766e+08 -2.44369750e+01 -4.30588008e+01 
 3.98107171e+08 -2.44369750e+01 -4.50466759e+01 
 5.01187234e+08 -2.44369750e+01 -4.70388740e+01 
 6.30957344e+08 -2.44369750e+01 -4.90337315e+01 
 7.94328235e+08 -2.44369750e+01 -5.10301465e+01 
 1.00000000e+09 -2.44369750e+01 -5.30273484e+01 
