 v-sweep         v(1)            i(vd)          
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
 2.00000000e-02  0.00000000e+00 -8.77787177e-14 
 4.00000000e-02  0.00000000e+00 -1.03377835e-13 
 6.00000000e-02  0.00000000e+00 -1.21862885e-13 
 8.00000000e-02  0.00000000e+00 -1.41859937e-13 
 1.00000000e-01  0.00000000e+00 -1.62136889e-13 
 1.20000000e-01  0.00000000e+00 -1.82383207e-13 
 1.40000000e-01  0.00000000e+00 -2.02562605e-13 
 1.60000000e-01  0.00000000e+00 -2.22689468e-13 
 1.80000000e-01  0.00000000e+00 -2.42779980e-13 
 2.00000000e-01  0.00000000e+00 -2.62845957e-13 
 2.20000000e-01  0.00000000e+00 -2.82895366e-13 
 2.40000000e-01  0.00000000e+00 -3.02933125e-13 
 2.60000000e-01  0.00000000e+00 -3.22962767e-13 
 2.80000000e-01  0.00000000e+00 -3.42985972e-13 
 3.00000000e-01  0.00000000e+00 -3.63004996e-13 
 3.20000000e-01  0.00000000e+00 -3.83020499e-13 
 3.40000000e-01  0.00000000e+00 -4.03033396e-13 
 3.60000000e-01  0.00000000e+00 -4.23044076e-13 
 3.80000000e-01  0.00000000e+00 -4.43053020e-13 
 4.00000000e-01  0.00000000e+00 -4.63060772e-13 
 4.20000000e-01  0.00000000e+00 -4.83067690e-13 
 4.40000000e-01  0.00000000e+00 -5.03073477e-13 
 4.60000000e-01  0.00000000e+00 -5.23078537e-13 
 4.80000000e-01  0.00000000e+00 -5.43083057e-13 
 5.00000000e-01  0.00000000e+00 -5.63087009e-13 
 5.20000000e-01  0.00000000e+00 -5.83090372e-13 
 5.40000000e-01  0.00000000e+00 -6.03093581e-13 
 5.60000000e-01  0.00000000e+00 -6.23096171e-13 
 5.80000000e-01  0.00000000e+00 -6.43098809e-13 
 6.00000000e-01  0.00000000e+00 -6.63101036e-13 
 6.20000000e-01  0.00000000e+00 -6.83103297e-13 
 6.40000000e-01  0.00000000e+00 -7.03104908e-13 
 6.60000000e-01  0.00000000e+00 -7.23106543e-13 
 6.80000000e-01  0.00000000e+00 -7.43108199e-13 
 7.00000000e-01  0.00000000e+00 -7.63109646e-13 
 7.20000000e-01  0.00000000e+00 -7.83110882e-13 
 7.40000000e-01  0.00000000e+00 -8.03112132e-13 
 7.60000000e-01  0.00000000e+00 -8.23113166e-13 
 7.80000000e-01  0.00000000e+00 -8.43114211e-13 
 8.00000000e-01  0.00000000e+00 -8.63115264e-13 
 8.20000000e-01  0.00000000e+00 -8.83116099e-13 
 8.40000000e-01  0.00000000e+00 -9.03116940e-13 
 8.60000000e-01  0.00000000e+00 -9.23117561e-13 
 8.80000000e-01  0.00000000e+00 -9.43118640e-13 
 9.00000000e-01  0.00000000e+00 -9.63119271e-13 
 9.20000000e-01  0.00000000e+00 -9.83119679e-13 
 9.40000000e-01  0.00000000e+00 -1.00312032e-12 
 9.60000000e-01  0.00000000e+00 -1.02312073e-12 
 9.80000000e-01  0.00000000e+00 -1.04312161e-12 
 1.00000000e+00  0.00000000e+00 -1.06312203e-12 
 1.02000000e+00  0.00000000e+00 -1.08312245e-12 
 1.04000000e+00  0.00000000e+00 -1.10312288e-12 
 1.06000000e+00  0.00000000e+00 -1.12312331e-12 
 1.08000000e+00  0.00000000e+00 -1.14312351e-12 
 1.10000000e+00  0.00000000e+00 -1.16312394e-12 
 1.12000000e+00  0.00000000e+00 -1.18312415e-12 
 1.14000000e+00  0.00000000e+00 -1.20312481e-12 
 1.16000000e+00  0.00000000e+00 -1.22312502e-12 
 1.18000000e+00  0.00000000e+00 -1.24312523e-12 
 1.20000000e+00  0.00000000e+00 -1.26312544e-12 
 0.00000000e+00  2.00000000e-01  0.00000000e+00 
 2.00000000e-02  2.00000000e-01 -2.70260497e-10 
 4.00000000e-02  2.00000000e-01 -3.58181413e-10 
 6.00000000e-02  2.00000000e-01 -3.88552624e-10 
 8.00000000e-02  2.00000000e-01 -4.00604729e-10 
 1.00000000e-01  2.00000000e-01 -4.06160524e-10 
 1.20000000e-01  2.00000000e-01 -4.10042207e-10 
 1.40000000e-01  2.00000000e-01 -4.11241357e-10 
 1.60000000e-01  2.00000000e-01 -4.12094457e-10 
 1.80000000e-01  2.00000000e-01 -4.12709429e-10 
 2.00000000e-01  2.00000000e-01 -4.13163801e-10 
 2.20000000e-01  2.00000000e-01 -4.13508566e-10 
 2.40000000e-01  2.00000000e-01 -4.13776909e-10 
 2.60000000e-01  2.00000000e-01 -4.13990708e-10 
 2.80000000e-01  2.00000000e-01 -4.14164693e-10 
 3.00000000e-01  2.00000000e-01 -4.14309005e-10 
 3.20000000e-01  2.00000000e-01 -4.14430781e-10 
 3.40000000e-01  2.00000000e-01 -4.14535149e-10 
 3.60000000e-01  2.00000000e-01 -4.14625865e-10 
 3.80000000e-01  2.00000000e-01 -4.14705727e-10 
 4.00000000e-01  2.00000000e-01 -4.14776853e-10 
 4.20000000e-01  2.00000000e-01 -4.14840868e-10 
 4.40000000e-01  2.00000000e-01 -4.14899037e-10 
 4.60000000e-01  2.00000000e-01 -4.14952355e-10 
 4.80000000e-01  2.00000000e-01 -4.15001616e-10 
 5.00000000e-01  2.00000000e-01 -4.15047454e-10 
 5.20000000e-01  2.00000000e-01 -4.15090388e-10 
 5.40000000e-01  2.00000000e-01 -4.15130838e-10 
 5.60000000e-01  2.00000000e-01 -4.15169153e-10 
 5.80000000e-01  2.00000000e-01 -4.15205622e-10 
 6.00000000e-01  2.00000000e-01 -4.15240487e-10 
 6.20000000e-01  2.00000000e-01 -4.15273951e-10 
 6.40000000e-01  2.00000000e-01 -4.15306186e-10 
 6.60000000e-01  2.00000000e-01 -4.15337338e-10 
 6.80000000e-01  2.00000000e-01 -4.15367533e-10 
 7.00000000e-01  2.00000000e-01 -4.15396877e-10 
 7.20000000e-01  2.00000000e-01 -4.15425463e-10 
 7.40000000e-01  2.00000000e-01 -4.15453373e-10 
 7.60000000e-01  2.00000000e-01 -4.15480676e-10 
 7.80000000e-01  2.00000000e-01 -4.15507432e-10 
 8.00000000e-01  2.00000000e-01 -4.15533697e-10 
 8.20000000e-01  2.00000000e-01 -4.15559516e-10 
 8.40000000e-01  2.00000000e-01 -4.15584932e-10 
 8.60000000e-01  2.00000000e-01 -4.15609981e-10 
 8.80000000e-01  2.00000000e-01 -4.15634696e-10 
 9.00000000e-01  2.00000000e-01 -4.15659106e-10 
 9.20000000e-01  2.00000000e-01 -4.15683237e-10 
 9.40000000e-01  2.00000000e-01 -4.15707113e-10 
 9.60000000e-01  2.00000000e-01 -4.15730754e-10 
 9.80000000e-01  2.00000000e-01 -4.15754179e-10 
 1.00000000e+00  2.00000000e-01 -4.15777405e-10 
 1.02000000e+00  2.00000000e-01 -4.15800448e-10 
 1.04000000e+00  2.00000000e-01 -4.15823321e-10 
 1.06000000e+00  2.00000000e-01 -4.15846036e-10 
 1.08000000e+00  2.00000000e-01 -4.15868606e-10 
 1.10000000e+00  2.00000000e-01 -4.15891040e-10 
 1.12000000e+00  2.00000000e-01 -4.15913348e-10 
 1.14000000e+00  2.00000000e-01 -4.15935539e-10 
 1.16000000e+00  2.00000000e-01 -4.15957621e-10 
 1.18000000e+00  2.00000000e-01 -4.15979600e-10 
 1.20000000e+00  2.00000000e-01 -4.16001484e-10 
 0.00000000e+00  4.00000000e-01  0.00000000e+00 
 2.00000000e-02  4.00000000e-01 -1.91678238e-06 
 4.00000000e-02  4.00000000e-01 -2.57013765e-06 
 6.00000000e-02  4.00000000e-01 -2.80018359e-06 
 8.00000000e-02  4.00000000e-01 -2.89270094e-06 
 1.00000000e-01  4.00000000e-01 -2.93610571e-06 
 1.20000000e-01  4.00000000e-01 -2.95947944e-06 
 1.40000000e-01  4.00000000e-01 -2.97356497e-06 
 1.60000000e-01  4.00000000e-01 -2.98476821e-06 
 1.80000000e-01  4.00000000e-01 -2.99052190e-06 
 2.00000000e-01  4.00000000e-01 -2.99499051e-06 
 2.20000000e-01  4.00000000e-01 -2.99856416e-06 
 2.40000000e-01  4.00000000e-01 -3.00149872e-06 
 2.60000000e-01  4.00000000e-01 -3.00396460e-06 
 2.80000000e-01  4.00000000e-01 -3.00607784e-06 
 3.00000000e-01  4.00000000e-01 -3.00791947e-06 
