 v-sweep         v(1)            i(vd)          
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
-2.00000000e-02  0.00000000e+00  5.78876242e-14 
-4.00000000e-02  0.00000000e+00  7.54276919e-14 
-6.00000000e-02  0.00000000e+00  9.45808627e-14 
-8.00000000e-02  0.00000000e+00  1.14579060e-13 
-1.00000000e-01  0.00000000e+00  1.34733917e-13 
-1.20000000e-01  0.00000000e+00  1.54871655e-13 
-1.40000000e-01  0.00000000e+00  1.74972302e-13 
-1.60000000e-01  0.00000000e+00  1.95043212e-13 
-1.80000000e-01  0.00000000e+00  2.15093768e-13 
-2.00000000e-01  0.00000000e+00  2.35130403e-13 
-2.20000000e-01  0.00000000e+00  2.55157850e-13 
-2.40000000e-01  0.00000000e+00  2.75179695e-13 
-2.60000000e-01  0.00000000e+00  2.95195812e-13 
-2.80000000e-01  0.00000000e+00  3.15208760e-13 
-3.00000000e-01  0.00000000e+00  3.35219269e-13 
-3.20000000e-01  0.00000000e+00  3.55228316e-13 
-3.40000000e-01  0.00000000e+00  3.75235197e-13 
-3.60000000e-01  0.00000000e+00  3.95241573e-13 
-3.80000000e-01  0.00000000e+00  4.15246421e-13 
-4.00000000e-01  0.00000000e+00  4.35251034e-13 
-4.20000000e-01  0.00000000e+00  4.55254445e-13 
-4.40000000e-01  0.00000000e+00  4.75257985e-13 
-4.60000000e-01  0.00000000e+00  4.95260256e-13 
-4.80000000e-01  0.00000000e+00  5.15263062e-13 
-5.00000000e-01  0.00000000e+00  5.35265474e-13 
-5.20000000e-01  0.00000000e+00  5.55267481e-13 
-5.40000000e-01  0.00000000e+00  5.75269072e-13 
-5.60000000e-01  0.00000000e+00  5.95270241e-13 
-5.80000000e-01  0.00000000e+00  6.15271894e-13 
-6.00000000e-01  0.00000000e+00  6.35273113e-13 
-6.20000000e-01  0.00000000e+00  6.55274352e-13 
-6.40000000e-01  0.00000000e+00  6.75275607e-13 
-6.60000000e-01  0.00000000e+00  6.95276420e-13 
-6.80000000e-01  0.00000000e+00  7.15277244e-13 
-7.00000000e-01  0.00000000e+00  7.35278079e-13 
-7.20000000e-01  0.00000000e+00  7.55278922e-13 
-7.40000000e-01  0.00000000e+00  7.75279316e-13 
-7.60000000e-01  0.00000000e+00  7.95280173e-13 
-7.80000000e-01  0.00000000e+00  8.15280580e-13 
-8.00000000e-01  0.00000000e+00  8.35280992e-13 
-8.20000000e-01  0.00000000e+00  8.55281864e-13 
-8.40000000e-01  0.00000000e+00  8.75282283e-13 
-8.60000000e-01  0.00000000e+00  8.95282706e-13 
-8.80000000e-01  0.00000000e+00  9.15283132e-13 
-9.00000000e-01  0.00000000e+00  9.35283561e-13 
-9.20000000e-01  0.00000000e+00  9.55283992e-13 
-9.40000000e-01  0.00000000e+00  9.75283969e-13 
-9.60000000e-01  0.00000000e+00  9.95284404e-13 
-9.80000000e-01  0.00000000e+00  1.01528484e-12 
-1.00000000e+00  0.00000000e+00  1.03528482e-12 
-1.02000000e+00  0.00000000e+00  1.05528526e-12 
-1.04000000e+00  0.00000000e+00  1.07528525e-12 
-1.06000000e+00  0.00000000e+00  1.09528569e-12 
-1.08000000e+00  0.00000000e+00  1.11528568e-12 
-1.10000000e+00  0.00000000e+00  1.13528612e-12 
-1.12000000e+00  0.00000000e+00  1.15528611e-12 
-1.14000000e+00  0.00000000e+00  1.17528656e-12 
-1.16000000e+00  0.00000000e+00  1.19528655e-12 
-1.18000000e+00  0.00000000e+00  1.21528654e-12 
-1.20000000e+00  0.00000000e+00  1.23528698e-12 
 0.00000000e+00 -3.00000000e-01  0.00000000e+00 
-2.00000000e-02 -3.00000000e-01  1.14719812e-08 
-4.00000000e-02 -3.00000000e-01  1.52039544e-08 
-6.00000000e-02 -3.00000000e-01  1.64926631e-08 
-8.00000000e-02 -3.00000000e-01  1.70035998e-08 
-1.00000000e-01 -3.00000000e-01  1.72387135e-08 
-1.20000000e-01 -3.00000000e-01  1.73617306e-08 
-1.40000000e-01 -3.00000000e-01  1.74330037e-08 
-1.60000000e-01 -3.00000000e-01  1.74882995e-08 
-1.80000000e-01 -3.00000000e-01  1.75136135e-08 
-2.00000000e-01 -3.00000000e-01  1.75321054e-08 
-2.20000000e-01 -3.00000000e-01  1.75459409e-08 
-2.40000000e-01 -3.00000000e-01  1.75565294e-08 
-2.60000000e-01 -3.00000000e-01  1.75648002e-08 
-2.80000000e-01 -3.00000000e-01  1.75713789e-08 
-3.00000000e-01 -3.00000000e-01  1.75766964e-08 
-3.20000000e-01 -3.00000000e-01  1.75810557e-08 
-3.40000000e-01 -3.00000000e-01  1.75846749e-08 
-3.60000000e-01 -3.00000000e-01  1.75877135e-08 
-3.80000000e-01 -3.00000000e-01  1.75902904e-08 
-4.00000000e-01 -3.00000000e-01  1.75924955e-08 
-4.20000000e-01 -3.00000000e-01  1.75943981e-08 
-4.40000000e-01 -3.00000000e-01  1.75960518e-08 
-4.60000000e-01 -3.00000000e-01  1.75974990e-08 
-4.80000000e-01 -3.00000000e-01  1.75987734e-08 
-5.00000000e-01 -3.00000000e-01  1.75999019e-08 
-5.20000000e-01 -3.00000000e-01  1.76009067e-08 
-5.40000000e-01 -3.00000000e-01  1.76018057e-08 
-5.60000000e-01 -3.00000000e-01  1.76026136e-08 
-5.80000000e-01 -3.00000000e-01  1.76033428e-08 
-6.00000000e-01 -3.00000000e-01  1.76040035e-08 
-6.20000000e-01 -3.00000000e-01  1.76046044e-08 
-6.40000000e-01 -3.00000000e-01  1.76051529e-08 
-6.60000000e-01 -3.00000000e-01  1.76056551e-08 
-6.80000000e-01 -3.00000000e-01  1.76061164e-08 
-7.00000000e-01 -3.00000000e-01  1.76065414e-08 
-7.20000000e-01 -3.00000000e-01  1.76069339e-08 
-7.40000000e-01 -3.00000000e-01  1.76072975e-08 
-7.60000000e-01 -3.00000000e-01  1.76076351e-08 
-7.80000000e-01 -3.00000000e-01  1.76079494e-08 
