 v-sweep         v(3)            i(vd)          
-6.00000000e-01  0.00000000e+00 -1.08062257e-13 
-5.80000000e-01  0.00000000e+00 -1.11292109e-13 
-5.60000000e-01  0.00000000e+00 -1.16981402e-13 
-5.40000000e-01  0.00000000e+00 -1.25684493e-13 
-5.20000000e-01  0.00000000e+00 -1.39061367e-13 
-5.00000000e-01  0.00000000e+00 -1.59714173e-13 
-4.80000000e-01  0.00000000e+00 -1.91735489e-13 
-4.60000000e-01  0.00000000e+00 -2.41581894e-13 
-4.40000000e-01  0.00000000e+00 -3.19468739e-13 
-4.20000000e-01  0.00000000e+00 -4.41605197e-13 
-4.00000000e-01  0.00000000e+00 -6.33778552e-13 
-3.80000000e-01  0.00000000e+00 -9.37121008e-13 
-3.60000000e-01  0.00000000e+00 -1.41740168e-12 
-3.40000000e-01  0.00000000e+00 -2.18003233e-12 
-3.20000000e-01  0.00000000e+00 -3.39434466e-12 
-3.00000000e-01  0.00000000e+00 -5.33294301e-12 
-2.80000000e-01  0.00000000e+00 -8.43560773e-12 
-2.60000000e-01  0.00000000e+00 -1.45987318e-11 
-2.40000000e-01  0.00000000e+00 -2.33330728e-11 
-2.20000000e-01  0.00000000e+00 -3.74181648e-11 
-2.00000000e-01  0.00000000e+00 -6.01792968e-11 
-1.80000000e-01  0.00000000e+00 -9.70343040e-11 
-1.60000000e-01  0.00000000e+00 -1.56825014e-10 
-1.40000000e-01  0.00000000e+00 -2.54004272e-10 
-1.20000000e-01  0.00000000e+00 -4.12233119e-10 
-1.00000000e-01  0.00000000e+00 -6.70305619e-10 
-8.00000000e-02  0.00000000e+00 -1.09191932e-09 
-6.00000000e-02  0.00000000e+00 -1.78180692e-09 
-4.00000000e-02  0.00000000e+00 -2.91240189e-09 
-2.00000000e-02  0.00000000e+00 -4.76796356e-09 
 1.73472348e-16  0.00000000e+00 -7.81766288e-09 
 2.00000000e-02  0.00000000e+00 -1.28367335e-08 
 4.00000000e-02  0.00000000e+00 -2.11074092e-08 
 6.00000000e-02  0.00000000e+00 -3.47540693e-08 
 8.00000000e-02  0.00000000e+00 -5.72917382e-08 
 1.00000000e-01  0.00000000e+00 -9.45480811e-08 
 1.20000000e-01  0.00000000e+00 -1.56174231e-07 
 1.40000000e-01  0.00000000e+00 -2.58133460e-07 
 1.60000000e-01  0.00000000e+00 -4.26751409e-07 
 1.80000000e-01  0.00000000e+00 -7.05201828e-07 
 2.00000000e-01  0.00000000e+00 -1.16360294e-06 
 2.20000000e-01  0.00000000e+00 -1.91399158e-06 
 2.40000000e-01  0.00000000e+00 -3.13074153e-06 
 2.60000000e-01  0.00000000e+00 -5.07445077e-06 
 2.80000000e-01  0.00000000e+00 -8.11204445e-06 
 3.00000000e-01  0.00000000e+00 -1.27193397e-05 
 3.20000000e-01  0.00000000e+00 -1.94509642e-05 
 3.40000000e-01  0.00000000e+00 -2.88735237e-05 
 3.60000000e-01  0.00000000e+00 -4.14775781e-05 
 3.80000000e-01  0.00000000e+00 -5.75968015e-05 
 4.00000000e-01  0.00000000e+00 -7.73597491e-05 
 4.20000000e-01  0.00000000e+00 -1.00686377e-04 
 4.40000000e-01  0.00000000e+00 -1.27325342e-04 
 4.60000000e-01  0.00000000e+00 -1.56914375e-04 
 4.80000000e-01  0.00000000e+00 -1.89041570e-04 
 5.00000000e-01  0.00000000e+00 -2.23292339e-04 
 5.20000000e-01  0.00000000e+00 -2.59278021e-04 
 5.40000000e-01  0.00000000e+00 -2.96649526e-04 
 5.60000000e-01  0.00000000e+00 -3.35101407e-04 
 5.80000000e-01  0.00000000e+00 -3.74002443e-04 
 6.00000000e-01  0.00000000e+00 -4.13971101e-04 
 6.20000000e-01  0.00000000e+00 -4.54327376e-04 
 6.40000000e-01  0.00000000e+00 -4.94914231e-04 
 6.60000000e-01  0.00000000e+00 -5.35600317e-04 
 6.80000000e-01  0.00000000e+00 -5.76276112e-04 
 7.00000000e-01  0.00000000e+00 -6.16850560e-04 
 7.20000000e-01  0.00000000e+00 -6.57248186e-04 
 7.40000000e-01  0.00000000e+00 -6.97406634e-04 
 7.60000000e-01  0.00000000e+00 -7.37274586e-04 
 7.80000000e-01  0.00000000e+00 -7.76810003e-04 
 8.00000000e-01  0.00000000e+00 -8.15978650e-04 
 8.20000000e-01  0.00000000e+00 -8.54752859e-04 
 8.40000000e-01  0.00000000e+00 -8.93110483e-04 
 8.60000000e-01  0.00000000e+00 -9.31034030e-04 
 8.80000000e-01  0.00000000e+00 -9.68509931e-04 
 9.00000000e-01  0.00000000e+00 -1.00552792e-03 
 9.20000000e-01  0.00000000e+00 -1.04208054e-03 
 9.40000000e-01  0.00000000e+00 -1.07816265e-03 
 9.60000000e-01  0.00000000e+00 -1.11377116e-03 
 9.80000000e-01  0.00000000e+00 -1.14890460e-03 
 1.00000000e+00  0.00000000e+00 -1.18356296e-03 
 1.02000000e+00  0.00000000e+00 -1.21774741e-03 
 1.04000000e+00  0.00000000e+00 -1.25146013e-03 
 1.06000000e+00  0.00000000e+00 -1.28470414e-03 
 1.08000000e+00  0.00000000e+00 -1.31748318e-03 
 1.10000000e+00  0.00000000e+00 -1.34980156e-03 
 1.12000000e+00  0.00000000e+00 -1.38166412e-03 
 1.14000000e+00  0.00000000e+00 -1.41307606e-03 
 1.16000000e+00  0.00000000e+00 -1.44404295e-03 
 1.18000000e+00  0.00000000e+00 -1.47457061e-03 
 1.20000000e+00  0.00000000e+00 -1.50466507e-03 
-6.00000000e-01 -3.00000000e-01 -4.00507387e-13 
-5.80000000e-01 -3.00000000e-01 -4.00743338e-13 
-5.60000000e-01 -3.00000000e-01 -4.01187225e-13 
-5.40000000e-01 -3.00000000e-01 -4.01900993e-13 
-5.20000000e-01 -3.00000000e-01 -4.03051253e-13 
-5.00000000e-01 -3.00000000e-01 -4.04908848e-13 
-4.80000000e-01 -3.00000000e-01 -4.07914750e-13 
-4.60000000e-01 -3.00000000e-01 -4.12788502e-13 
-4.40000000e-01 -3.00000000e-01 -4.20705443e-13 
-4.20000000e-01 -3.00000000e-01 -4.33588628e-13 
-4.00000000e-01 -3.00000000e-01 -4.54589762e-13 
-3.80000000e-01 -3.00000000e-01 -4.88882128e-13 
-3.60000000e-01 -3.00000000e-01 -5.44967050e-13 
-3.40000000e-01 -3.00000000e-01 -6.36837628e-13 
-3.20000000e-01 -3.00000000e-01 -7.87552820e-13 
-3.00000000e-01 -3.00000000e-01 -1.03516456e-12 
-2.80000000e-01 -3.00000000e-01 -1.44254296e-12 
-2.60000000e-01 -3.00000000e-01 -2.11368982e-12 
-2.40000000e-01 -3.00000000e-01 -3.22085332e-12 
-2.20000000e-01 -3.00000000e-01 -5.04963972e-12 
-2.00000000e-01 -3.00000000e-01 -8.07414827e-12 
-1.80000000e-01 -3.00000000e-01 -1.43582814e-11 
-1.60000000e-01 -3.00000000e-01 -2.35051156e-11 
-1.40000000e-01 -3.00000000e-01 -3.86914353e-11 
-1.20000000e-01 -3.00000000e-01 -6.39327300e-11 
-1.00000000e-01 -3.00000000e-01 -1.05931357e-10 
-8.00000000e-02 -3.00000000e-01 -1.75885012e-10 
-6.00000000e-02 -3.00000000e-01 -2.92519105e-10 
-4.00000000e-02 -3.00000000e-01 -4.87175518e-10 
-2.00000000e-02 -3.00000000e-01 -8.12359040e-10 
 1.73472348e-16 -3.00000000e-01 -1.35610184e-09 
 2.00000000e-02 -3.00000000e-01 -2.26612401e-09 
