 v-sweep         v(3)            i(vd)          
 6.00000000e-01  0.00000000e+00  1.09941409e-13 
 5.80000000e-01  0.00000000e+00  1.13845490e-13 
 5.60000000e-01  0.00000000e+00  1.20660281e-13 
 5.40000000e-01  0.00000000e+00  1.30995095e-13 
 5.20000000e-01  0.00000000e+00  1.46760349e-13 
 5.00000000e-01  0.00000000e+00  1.70920292e-13 
 4.80000000e-01  0.00000000e+00  2.08104959e-13 
 4.60000000e-01  0.00000000e+00  2.65570768e-13 
 4.40000000e-01  0.00000000e+00  3.54723639e-13 
 4.20000000e-01  0.00000000e+00  4.93544464e-13 
 4.00000000e-01  0.00000000e+00  7.10455781e-13 
 3.80000000e-01  0.00000000e+00  1.05050674e-12 
 3.60000000e-01  0.00000000e+00  1.58527670e-12 
 3.40000000e-01  0.00000000e+00  2.42877782e-12 
 3.20000000e-01  0.00000000e+00  3.76303424e-12 
 3.00000000e-01  0.00000000e+00  5.87930143e-12 
 2.80000000e-01  0.00000000e+00  9.24462248e-12 
 2.60000000e-01  0.00000000e+00  1.58691000e-11 
 2.40000000e-01  0.00000000e+00  2.52055580e-11 
 2.20000000e-01  0.00000000e+00  4.01688545e-11 
 2.00000000e-01  0.00000000e+00  6.42018567e-11 
 1.80000000e-01  0.00000000e+00  1.02881937e-10 
 1.60000000e-01  0.00000000e+00  1.65259802e-10 
 1.40000000e-01  0.00000000e+00  2.66046853e-10 
 1.20000000e-01  0.00000000e+00  4.29193914e-10 
 1.00000000e-01  0.00000000e+00  6.93754224e-10 
 8.00000000e-02  0.00000000e+00  1.12350198e-09 
 6.00000000e-02  0.00000000e+00  1.82273172e-09 
 4.00000000e-02  0.00000000e+00  2.96224170e-09 
 2.00000000e-02  0.00000000e+00  4.82211677e-09 
-1.73472348e-16  0.00000000e+00  7.86224923e-09 
-2.00000000e-02  0.00000000e+00  1.28386976e-08 
-4.00000000e-02  0.00000000e+00  2.09958448e-08 
-6.00000000e-02  0.00000000e+00  3.43839453e-08 
-8.00000000e-02  0.00000000e+00  5.63863293e-08 
-1.00000000e-01  0.00000000e+00  9.25818282e-08 
-1.20000000e-01  0.00000000e+00  1.52186177e-07 
-1.40000000e-01  0.00000000e+00  2.50413131e-07 
-1.60000000e-01  0.00000000e+00  4.12359319e-07 
-1.80000000e-01  0.00000000e+00  6.79336726e-07 
-2.00000000e-01  0.00000000e+00  1.11906676e-06 
-2.20000000e-01  0.00000000e+00  1.84173581e-06 
-2.40000000e-01  0.00000000e+00  3.02435666e-06 
-2.60000000e-01  0.00000000e+00  4.94544198e-06 
-2.80000000e-01  0.00000000e+00  8.02909603e-06 
-3.00000000e-01  0.00000000e+00  1.28901438e-05 
-3.20000000e-01  0.00000000e+00  2.03598160e-05 
-3.40000000e-01  0.00000000e+00  3.14622078e-05 
-3.60000000e-01  0.00000000e+00  4.73202117e-05 
-3.80000000e-01  0.00000000e+00  6.90015376e-05 
-4.00000000e-01  0.00000000e+00  9.73498120e-05 
-4.20000000e-01  0.00000000e+00  1.32854943e-04 
-4.40000000e-01  0.00000000e+00  1.75599407e-04 
-4.60000000e-01  0.00000000e+00  2.25288661e-04 
-4.80000000e-01  0.00000000e+00  2.81345295e-04 
-5.00000000e-01  0.00000000e+00  3.43028012e-04 
-5.20000000e-01  0.00000000e+00  4.09538150e-04 
-5.40000000e-01  0.00000000e+00  4.80094466e-04 
-5.60000000e-01  0.00000000e+00  5.53975463e-04 
-5.80000000e-01  0.00000000e+00  6.30537745e-04 
-6.00000000e-01  0.00000000e+00  7.09219827e-04 
-6.20000000e-01  0.00000000e+00  7.88794507e-04 
-6.40000000e-01  0.00000000e+00  8.70532071e-04 
-6.60000000e-01  0.00000000e+00  9.53113813e-04 
-6.80000000e-01  0.00000000e+00  1.03624823e-03 
-7.00000000e-01  0.00000000e+00  1.11969011e-03 
-7.20000000e-01  0.00000000e+00  1.20323358e-03 
-7.40000000e-01  0.00000000e+00  1.28670614e-03 
-7.60000000e-01  0.00000000e+00  1.36996344e-03 
-7.80000000e-01  0.00000000e+00  1.45288494e-03 
-8.00000000e-01  0.00000000e+00  1.53537018e-03 
-8.20000000e-01  0.00000000e+00  1.61733564e-03 
-8.40000000e-01  0.00000000e+00  1.69871211e-03 
-8.60000000e-01  0.00000000e+00  1.77944251e-03 
-8.80000000e-01  0.00000000e+00  1.85947997e-03 
-9.00000000e-01  0.00000000e+00  1.93878631e-03 
-9.20000000e-01  0.00000000e+00  2.01733073e-03 
-9.40000000e-01  0.00000000e+00  2.09508865e-03 
-9.60000000e-01  0.00000000e+00  2.17204084e-03 
-9.80000000e-01  0.00000000e+00  2.24817260e-03 
-1.00000000e+00  0.00000000e+00  2.32347310e-03 
-1.02000000e+00  0.00000000e+00  2.39793479e-03 
-1.04000000e+00  0.00000000e+00  2.47155296e-03 
-1.06000000e+00  0.00000000e+00  2.54432528e-03 
-1.08000000e+00  0.00000000e+00  2.61625150e-03 
-1.10000000e+00  0.00000000e+00  2.68733311e-03 
-1.12000000e+00  0.00000000e+00  2.75757310e-03 
-1.14000000e+00  0.00000000e+00  2.82697573e-03 
-1.16000000e+00  0.00000000e+00  2.89554637e-03 
-1.18000000e+00  0.00000000e+00  2.96329129e-03 
-1.20000000e+00  0.00000000e+00  3.03021754e-03 
 6.00000000e-01  3.00000000e-01  4.00559201e-13 
 5.80000000e-01  3.00000000e-01  4.00815497e-13 
 5.60000000e-01  3.00000000e-01  4.01293923e-13 
 5.40000000e-01  3.00000000e-01  4.02058420e-13 
 5.20000000e-01  3.00000000e-01  4.03282820e-13 
 5.00000000e-01  3.00000000e-01  4.05248069e-13 
 4.80000000e-01  3.00000000e-01  4.08409040e-13 
 4.60000000e-01  3.00000000e-01  4.13503484e-13 
 4.40000000e-01  3.00000000e-01  4.21729766e-13 
 4.20000000e-01  3.00000000e-01  4.35038739e-13 
 4.00000000e-01  3.00000000e-01  4.56608275e-13 
 3.80000000e-01  3.00000000e-01  4.91627673e-13 
 3.60000000e-01  3.00000000e-01  5.48576447e-13 
 3.40000000e-01  3.00000000e-01  6.41338623e-13 
 3.20000000e-01  3.00000000e-01  7.92672144e-13 
 3.00000000e-01  3.00000000e-01  1.03993225e-12 
 2.80000000e-01  3.00000000e-01  1.44451486e-12 
 2.60000000e-01  3.00000000e-01  2.10745704e-12 
 2.40000000e-01  3.00000000e-01  3.19523508e-12 
 2.20000000e-01  3.00000000e-01  4.98247430e-12 
 2.00000000e-01  3.00000000e-01  7.92273750e-12 
 1.80000000e-01  3.00000000e-01  1.39863358e-11 
 1.60000000e-01  3.00000000e-01  2.27713024e-11 
 1.40000000e-01  3.00000000e-01  3.72822764e-11 
 1.20000000e-01  3.00000000e-01  6.12788247e-11 
 1.00000000e-01  3.00000000e-01  1.01005604e-10 
 8.00000000e-02  3.00000000e-01  1.66845246e-10 
 6.00000000e-02  3.00000000e-01  2.76076956e-10 
 4.00000000e-02  3.00000000e-01  4.57484471e-10 
 2.00000000e-02  3.00000000e-01  7.59059633e-10 
-1.73472348e-16  3.00000000e-01  1.26089166e-09 
-2.00000000e-02  3.00000000e-01  2.09674976e-09 
-4.00000000e-02  3.00000000e-01  3.49024954e-09 
-6.00000000e-02  3.00000000e-01  5.81549983e-09 
-8.00000000e-02  3.00000000e-01  9.69886452e-09 
-1.00000000e-01  3.00000000e-01  1.61898022e-08 
-1.20000000e-01  3.00000000e-01  2.70477772e-08 
-1.40000000e-01  3.00000000e-01  4.52241471e-08 
-1.60000000e-01  3.00000000e-01  7.56749878e-08 
-1.80000000e-01  3.00000000e-01  1.26709776e-07 
-2.00000000e-01  3.00000000e-01  2.12276383e-07 
-2.20000000e-01  3.00000000e-01  3.55746638e-07 
-2.40000000e-01  3.00000000e-01  5.96195682e-07 
-2.60000000e-01  3.00000000e-01  9.98666527e-07 
-2.80000000e-01  3.00000000e-01  1.67059169e-06 
-3.00000000e-01  3.00000000e-01  2.78710052e-06 
-3.20000000e-01  3.00000000e-01  4.62757485e-06 
-3.40000000e-01  3.00000000e-01  7.62270840e-06 
-3.60000000e-01  3.00000000e-01  1.24029299e-05 
-3.80000000e-01  3.00000000e-01  1.98252198e-05 
-4.00000000e-01  3.00000000e-01  3.09449300e-05 
-4.20000000e-01  3.00000000e-01  4.69100321e-05 
-4.40000000e-01  3.00000000e-01  6.87927826e-05 
-4.60000000e-01  3.00000000e-01  9.74115220e-05 
-4.80000000e-01  3.00000000e-01  1.33201985e-04 
-5.00000000e-01  3.00000000e-01  1.76174806e-04 
-5.20000000e-01  3.00000000e-01  2.25962852e-04 
-5.40000000e-01  3.00000000e-01  2.81930722e-04 
-5.60000000e-01  3.00000000e-01  3.43301557e-04 
-5.80000000e-01  3.00000000e-01  4.09263207e-04 
-6.00000000e-01  3.00000000e-01  4.79037930e-04 
-6.20000000e-01  3.00000000e-01  5.51918697e-04 
-6.40000000e-01  3.00000000e-01  6.27282597e-04 
-6.60000000e-01  3.00000000e-01  7.04591234e-04 
-6.80000000e-01  3.00000000e-01  7.82712816e-04 
-7.00000000e-01  3.00000000e-01  8.62785429e-04 
-7.20000000e-01  3.00000000e-01  9.43595428e-04 
-7.40000000e-01  3.00000000e-01  1.02487077e-03 
-7.60000000e-01  3.00000000e-01  1.10638364e-03 
-7.80000000e-01  3.00000000e-01  1.18794356e-03 
-8.00000000e-01  3.00000000e-01  1.26939153e-03 
-8.20000000e-01  3.00000000e-01  1.35059497e-03 
-8.40000000e-01  3.00000000e-01  1.43144356e-03 
-8.60000000e-01  3.00000000e-01  1.51184563e-03 
-8.80000000e-01  3.00000000e-01  1.59172524e-03 
-9.00000000e-01  3.00000000e-01  1.67101968e-03 
-9.20000000e-01  3.00000000e-01  1.74967739e-03 
-9.40000000e-01  3.00000000e-01  1.82765621e-03 
-9.60000000e-01  3.00000000e-01  1.90492196e-03 
-9.80000000e-01  3.00000000e-01  1.98144716e-03 
-1.00000000e+00  3.00000000e-01  2.05721008e-03 
-1.02000000e+00  3.00000000e-01  2.13219382e-03 
-1.04000000e+00  3.00000000e-01  2.20638561e-03 
-1.06000000e+00  3.00000000e-01  2.27977619e-03 
-1.08000000e+00  3.00000000e-01  2.35235931e-03 
-1.10000000e+00  3.00000000e-01  2.42413123e-03 
-1.12000000e+00  3.00000000e-01  2.49509043e-03 
-1.14000000e+00  3.00000000e-01  2.56523723e-03 
-1.16000000e+00  3.00000000e-01  2.63457353e-03 
-1.18000000e+00  3.00000000e-01  2.70310257e-03 
-1.20000000e+00  3.00000000e-01  2.77082877e-03 
 6.00000000e-01  6.00000000e-01  7.00062405e-13 
 5.80000000e-01  6.00000000e-01  7.00092963e-13 
 5.60000000e-01  6.00000000e-01  7.00151965e-13 
 5.40000000e-01  6.00000000e-01  7.00248778e-13 
 5.20000000e-01  6.00000000e-01  7.00407844e-13 
 5.00000000e-01  6.00000000e-01  7.00669531e-13 
 4.80000000e-01  6.00000000e-01  7.01100582e-13 
 4.60000000e-01  6.00000000e-01  7.01811477e-13 
 4.40000000e-01  6.00000000e-01  7.02985285e-13 
 4.20000000e-01  6.00000000e-01  7.04925672e-13 
 4.00000000e-01  6.00000000e-01  7.08136862e-13 
 3.80000000e-01  6.00000000e-01  7.13456931e-13 
 3.60000000e-01  6.00000000e-01  7.22280235e-13 
 3.40000000e-01  6.00000000e-01  7.36928368e-13 
 3.20000000e-01  6.00000000e-01  7.61272806e-13 
 3.00000000e-01  6.00000000e-01  8.01769042e-13 
 2.80000000e-01  6.00000000e-01  8.69200122e-13 
 2.60000000e-01  6.00000000e-01  9.81585469e-13 
 2.40000000e-01  6.00000000e-01  1.16906544e-12 
 2.20000000e-01  6.00000000e-01  1.48209729e-12 
 2.00000000e-01  6.00000000e-01  2.00521609e-12 
 1.80000000e-01  6.00000000e-01  2.88016353e-12 
 1.60000000e-01  6.00000000e-01  4.34478406e-12 
 1.40000000e-01  6.00000000e-01  6.79848603e-12 
 1.20000000e-01  6.00000000e-01  1.19881294e-11 
 1.00000000e-01  6.00000000e-01  1.96233863e-11 
 8.00000000e-02  6.00000000e-01  3.24480412e-11 
 6.00000000e-02  6.00000000e-01  5.40051142e-11 
 4.00000000e-02  6.00000000e-01  9.02669107e-11 
 2.00000000e-02  6.00000000e-01  1.51307367e-10 
-1.73472348e-16  6.00000000e-01  2.54130038e-10 
-2.00000000e-02  6.00000000e-01  4.27453149e-10 
-4.00000000e-02  6.00000000e-01  7.19810798e-10 
-6.00000000e-02  6.00000000e-01  1.21327623e-09 
-8.00000000e-02  6.00000000e-01  2.04672142e-09 
-1.00000000e-01  6.00000000e-01  3.45525988e-09 
-1.20000000e-01  6.00000000e-01  5.83716387e-09 
-1.40000000e-01  6.00000000e-01  9.86743897e-09 
-1.60000000e-01  6.00000000e-01  1.66906435e-08 
-1.80000000e-01  6.00000000e-01  2.82482810e-08 
-2.00000000e-01  6.00000000e-01  4.78345838e-08 
-2.20000000e-01  6.00000000e-01  8.10434113e-08 
-2.40000000e-01  6.00000000e-01  1.37356645e-07 
-2.60000000e-01  6.00000000e-01  2.32857006e-07 
-2.80000000e-01  6.00000000e-01  3.94762815e-07 
-3.00000000e-01  6.00000000e-01  6.68997570e-07 
-3.20000000e-01  6.00000000e-01  1.13260824e-06 
-3.40000000e-01  6.00000000e-01  1.91360158e-06 
-3.60000000e-01  6.00000000e-01  3.22118707e-06 
-3.80000000e-01  6.00000000e-01  5.38826472e-06 
-4.00000000e-01  6.00000000e-01  8.92280676e-06 
-4.20000000e-01  6.00000000e-01  1.45530297e-05 
-4.40000000e-01  6.00000000e-01  2.32357825e-05 
-4.60000000e-01  6.00000000e-01  3.60934582e-05 
-4.80000000e-01  6.00000000e-01  5.42702090e-05 
-5.00000000e-01  6.00000000e-01  7.87442463e-05 
-5.20000000e-01  6.00000000e-01  1.10160876e-04 
-5.40000000e-01  6.00000000e-01  1.48740650e-04 
-5.60000000e-01  6.00000000e-01  1.94284654e-04 
-5.80000000e-01  6.00000000e-01  2.46262798e-04 
-6.00000000e-01  6.00000000e-01  3.03943084e-04 
-6.20000000e-01  6.00000000e-01  3.66514824e-04 
-6.40000000e-01  6.00000000e-01  4.33177653e-04 
-6.60000000e-01  6.00000000e-01  5.03192252e-04 
-6.80000000e-01  6.00000000e-01  5.75902150e-04 
-7.00000000e-01  6.00000000e-01  6.50738090e-04 
-7.20000000e-01  6.00000000e-01  7.27213510e-04 
-7.40000000e-01  6.00000000e-01  8.04365547e-04 
-7.60000000e-01  6.00000000e-01  8.83111962e-04 
-7.80000000e-01  6.00000000e-01  9.62420808e-04 
-8.00000000e-01  6.00000000e-01  1.04205236e-03 
-8.20000000e-01  6.00000000e-01  1.12180655e-03 
-8.40000000e-01  6.00000000e-01  1.20151661e-03 
-8.60000000e-01  6.00000000e-01  1.28104369e-03 
-8.80000000e-01  6.00000000e-01  1.36027234e-03 
-9.00000000e-01  6.00000000e-01  1.43910675e-03 
-9.20000000e-01  6.00000000e-01  1.51746752e-03 
-9.40000000e-01  6.00000000e-01  1.59528908e-03 
-9.60000000e-01  6.00000000e-01  1.67251745e-03 
-9.80000000e-01  6.00000000e-01  1.74910845e-03 
-1.00000000e+00  6.00000000e-01  1.82502610e-03 
-1.02000000e+00  6.00000000e-01  1.90024142e-03 
-1.04000000e+00  6.00000000e-01  1.97473129e-03 
-1.06000000e+00  6.00000000e-01  2.04847761e-03 
-1.08000000e+00  6.00000000e-01  2.12146651e-03 
-1.10000000e+00  6.00000000e-01  2.19368770e-03 
-1.12000000e+00  6.00000000e-01  2.26513398e-03 
-1.14000000e+00  6.00000000e-01  2.33580077e-03 
-1.16000000e+00  6.00000000e-01  2.40568568e-03 
-1.18000000e+00  6.00000000e-01  2.47478825e-03 
-1.20000000e+00  6.00000000e-01  2.54310962e-03 
 6.00000000e-01  9.00000000e-01  1.00000997e-12 
 5.80000000e-01  9.00000000e-01  1.00001504e-12 
 5.60000000e-01  9.00000000e-01  1.00002504e-12 
 5.40000000e-01  9.00000000e-01  1.00004171e-12 
 5.20000000e-01  9.00000000e-01  1.00006954e-12 
 5.00000000e-01  9.00000000e-01  1.00011605e-12 
 4.80000000e-01  9.00000000e-01  1.00019385e-12 
 4.60000000e-01  9.00000000e-01  1.00032407e-12 
 4.40000000e-01  9.00000000e-01  1.00054224e-12 
 4.20000000e-01  9.00000000e-01  1.00090804e-12 
 4.00000000e-01  9.00000000e-01  1.00152183e-12 
 3.80000000e-01  9.00000000e-01  1.00255252e-12 
 3.60000000e-01  9.00000000e-01  1.00428459e-12 
 3.40000000e-01  9.00000000e-01  1.00719746e-12 
 3.20000000e-01  9.00000000e-01  1.01209960e-12 
 3.00000000e-01  9.00000000e-01  1.02035503e-12 
 2.80000000e-01  9.00000000e-01  1.03426872e-12 
 2.60000000e-01  9.00000000e-01  1.05773115e-12 
 2.40000000e-01  9.00000000e-01  1.09732660e-12 
 2.20000000e-01  9.00000000e-01  1.16418580e-12 
 2.00000000e-01  9.00000000e-01  1.27715889e-12 
 1.80000000e-01  9.00000000e-01  1.46816671e-12 
 1.60000000e-01  9.00000000e-01  1.79131115e-12 
 1.40000000e-01  9.00000000e-01  2.33833029e-12 
 1.20000000e-01  9.00000000e-01  3.26487321e-12 
 1.00000000e-01  9.00000000e-01  4.83516651e-12 
 8.00000000e-02  9.00000000e-01  7.49799552e-12 
 6.00000000e-02  9.00000000e-01  1.32263851e-11 
 4.00000000e-02  9.00000000e-01  2.17430631e-11 
 2.00000000e-02  9.00000000e-01  3.62117873e-11 
-1.73472348e-16  9.00000000e-01  6.08052741e-11 
-2.00000000e-02  9.00000000e-01  1.02630273e-10 
-4.00000000e-02  9.00000000e-01  1.73796505e-10 
-6.00000000e-02  9.00000000e-01  2.94948466e-10 
-8.00000000e-02  9.00000000e-01  5.01297122e-10 
-1.00000000e-01  9.00000000e-01  8.52925376e-10 
-1.20000000e-01  9.00000000e-01  1.45240281e-09 
-1.40000000e-01  9.00000000e-01  2.47490571e-09 
-1.60000000e-01  9.00000000e-01  4.21973875e-09 
-1.80000000e-01  9.00000000e-01  7.19849244e-09 
-2.00000000e-01  9.00000000e-01  1.22859206e-08 
-2.20000000e-01  9.00000000e-01  2.09781823e-08 
-2.40000000e-01  9.00000000e-01  3.58347817e-08 
-2.60000000e-01  9.00000000e-01  6.12366660e-08 
-2.80000000e-01  9.00000000e-01  1.04672911e-07 
-3.00000000e-01  9.00000000e-01  1.78949989e-07 
-3.20000000e-01  9.00000000e-01  3.05928746e-07 
-3.40000000e-01  9.00000000e-01  5.22830334e-07 
-3.60000000e-01  9.00000000e-01  8.92729229e-07 
-3.80000000e-01  9.00000000e-01  1.52163001e-06 
-4.00000000e-01  9.00000000e-01  2.58519934e-06 
-4.20000000e-01  9.00000000e-01  4.36785461e-06 
-4.40000000e-01  9.00000000e-01  7.31330244e-06 
-4.60000000e-01  9.00000000e-01  1.20756841e-05 
-4.80000000e-01  9.00000000e-01  1.95443497e-05 
-5.00000000e-01  9.00000000e-01  3.08046208e-05 
-5.20000000e-01  9.00000000e-01  4.70132253e-05 
-5.40000000e-01  9.00000000e-01  6.92127943e-05 
-5.60000000e-01  9.00000000e-01  9.81487933e-05 
-5.80000000e-01  9.00000000e-01  1.34151950e-04 
-6.00000000e-01  9.00000000e-01  1.77118861e-04 
-6.20000000e-01  9.00000000e-01  2.26585173e-04 
-6.40000000e-01  9.00000000e-01  2.81852777e-04 
-6.60000000e-01  9.00000000e-01  3.42120526e-04 
-6.80000000e-01  9.00000000e-01  4.06583437e-04 
-7.00000000e-01  9.00000000e-01  4.74491527e-04 
-7.20000000e-01  9.00000000e-01  5.45176412e-04 
-7.40000000e-01  9.00000000e-01  6.18057927e-04 
-7.60000000e-01  9.00000000e-01  6.92640382e-04 
-7.80000000e-01  9.00000000e-01  7.67927613e-04 
-8.00000000e-01  9.00000000e-01  8.44886369e-04 
-8.20000000e-01  9.00000000e-01  9.22451198e-04 
-8.40000000e-01  9.00000000e-01  1.00037929e-03 
-8.60000000e-01  9.00000000e-01  1.07846830e-03 
-8.80000000e-01  9.00000000e-01  1.15654974e-03 
-9.00000000e-01  9.00000000e-01  1.23448351e-03 
-9.20000000e-01  9.00000000e-01  1.31215322e-03 
-9.40000000e-01  9.00000000e-01  1.38946228e-03 
-9.60000000e-01  9.00000000e-01  1.46633073e-03 
-9.80000000e-01  9.00000000e-01  1.54269251e-03 
-1.00000000e+00  9.00000000e-01  1.61849322e-03 
-1.02000000e+00  9.00000000e-01  1.69368826e-03 
-1.04000000e+00  9.00000000e-01  1.76824131e-03 
-1.06000000e+00  9.00000000e-01  1.84212300e-03 
-1.08000000e+00  9.00000000e-01  1.91530985e-03 
-1.10000000e+00  9.00000000e-01  1.98778337e-03 
-1.12000000e+00  9.00000000e-01  2.05952928e-03 
-1.14000000e+00  9.00000000e-01  2.13053692e-03 
-1.16000000e+00  9.00000000e-01  2.20079864e-03 
-1.18000000e+00  9.00000000e-01  2.27030941e-03 
