 frequency       frequency       onoise_spectrum inoise_spectrum
 1.00000000e+00  1.00000000e+00  1.52257292e-07  1.08609841e-06 
 1.04712855e+00  1.04712855e+00  1.48791889e-07  1.06137861e-06 
 1.09647820e+00  1.09647820e+00  1.45405377e-07  1.03722158e-06 
 1.14815362e+00  1.14815362e+00  1.42095961e-07  1.01361449e-06 
 1.20226443e+00  1.20226443e+00  1.38861887e-07  9.90544832e-07 
 1.25892541e+00  1.25892541e+00  1.35701438e-07  9.68000375e-07 
 1.31825674e+00  1.31825674e+00  1.32612941e-07  9.45969165e-07 
 1.38038426e+00  1.38038426e+00  1.29594756e-07  9.24439521e-07 
 1.44543977e+00  1.44543977e+00  1.26645284e-07  9.03400026e-07 
 1.51356125e+00  1.51356125e+00  1.23762962e-07  8.82839526e-07 
 1.58489319e+00  1.58489319e+00  1.20946260e-07  8.62747119e-07 
 1.65958691e+00  1.65958691e+00  1.18193685e-07  8.43112153e-07 
 1.73780083e+00  1.73780083e+00  1.15503779e-07  8.23924215e-07 
 1.81970086e+00  1.81970086e+00  1.12875113e-07  8.05173133e-07 
 1.90546072e+00  1.90546072e+00  1.10306296e-07  7.86848964e-07 
 1.99526231e+00  1.99526231e+00  1.07795965e-07  7.68941993e-07 
 2.08929613e+00  2.08929613e+00  1.05342788e-07  7.51442726e-07 
 2.18776162e+00  2.18776162e+00  1.02945466e-07  7.34341883e-07 
 2.29086765e+00  2.29086765e+00  1.00602727e-07  7.17630398e-07 
 2.39883292e+00  2.39883292e+00  9.83133281e-08  7.01299410e-07 
 2.51188643e+00  2.51188643e+00  9.60760567e-08  6.85340260e-07 
 2.63026799e+00  2.63026799e+00  9.38897261e-08  6.69744487e-07 
 2.75422870e+00  2.75422870e+00  9.17531770e-08  6.54503821e-07 
 2.88403150e+00  2.88403150e+00  8.96652767e-08  6.39610181e-07 
 3.01995172e+00  3.01995172e+00  8.76249181e-08  6.25055671e-07 
 3.16227766e+00  3.16227766e+00  8.56310194e-08  6.10832574e-07 
 3.31131121e+00  3.31131121e+00  8.36825233e-08  5.96933349e-07 
 3.46736850e+00  3.46736850e+00  8.17783969e-08  5.83350625e-07 
 3.63078055e+00  3.63078055e+00  7.99176304e-08  5.70077202e-07 
 3.80189396e+00  3.80189396e+00  7.80992373e-08  5.57106041e-07 
 3.98107171e+00  3.98107171e+00  7.63222535e-08  5.44430265e-07 
 4.16869383e+00  4.16869383e+00  7.45857367e-08  5.32043153e-07 
 4.36515832e+00  4.36515832e+00  7.28887662e-08  5.19938138e-07 
 4.57088190e+00  4.57088190e+00  7.12304424e-08  5.08108800e-07 
 4.78630092e+00  4.78630092e+00  6.96098858e-08  4.96548868e-07 
 5.01187234e+00  5.01187234e+00  6.80262373e-08  4.85252213e-07 
 5.24807460e+00  5.24807460e+00  6.64786572e-08  4.74212845e-07 
 5.49540874e+00  5.49540874e+00  6.49663250e-08  4.63424911e-07 
 5.75439937e+00  5.75439937e+00  6.34884388e-08  4.52882691e-07 
 6.02559586e+00  6.02559586e+00  6.20442149e-08  4.42580595e-07 
 6.30957344e+00  6.30957344e+00  6.06328877e-08  4.32513161e-07 
 6.60693448e+00  6.60693448e+00  5.92537089e-08  4.22675052e-07 
 6.91830971e+00  6.91830971e+00  5.79059471e-08  4.13061050e-07 
 7.24435960e+00  7.24435960e+00  5.65888878e-08  4.03666058e-07 
 7.58577575e+00  7.58577575e+00  5.53018327e-08  3.94485095e-07 
 7.94328235e+00  7.94328235e+00  5.40440993e-08  3.85513293e-07 
 8.31763771e+00  8.31763771e+00  5.28150207e-08  3.76745896e-07 
 8.70963590e+00  8.70963590e+00  5.16139454e-08  3.68178254e-07 
 9.12010839e+00  9.12010839e+00  5.04402365e-08  3.59805824e-07 
 9.54992586e+00  9.54992586e+00  4.92932716e-08  3.51624169e-07 
 1.00000000e+01  1.00000000e+01  4.81724426e-08  3.43628948e-07 
 1.04712855e+01  1.04712855e+01  4.70771553e-08  3.35815925e-07 
 1.09647820e+01  1.09647820e+01  4.60068288e-08  3.28180955e-07 
 1.14815362e+01  1.14815362e+01  4.49608957e-08  3.20719990e-07 
 1.20226443e+01  1.20226443e+01  4.39388015e-08  3.13429076e-07 
 1.25892541e+01  1.25892541e+01  4.29400042e-08  3.06304345e-07 
 1.31825674e+01  1.31825674e+01  4.19639741e-08  2.99342020e-07 
 1.38038426e+01  1.38038426e+01  4.10101939e-08  2.92538411e-07 
 1.44543977e+01  1.44543977e+01  4.00781578e-08  2.85889908e-07 
 1.51356125e+01  1.51356125e+01  3.91673715e-08  2.79392988e-07 
 1.58489319e+01  1.58489319e+01  3.82773523e-08  2.73044206e-07 
 1.65958691e+01  1.65958691e+01  3.74076282e-08  2.66840194e-07 
 1.73780083e+01  1.73780083e+01  3.65577380e-08  2.60777664e-07 
 1.81970086e+01  1.81970086e+01  3.57272312e-08  2.54853402e-07 
 1.90546072e+01  1.90546072e+01  3.49156673e-08  2.49064265e-07 
 1.99526231e+01  1.99526231e+01  3.41226161e-08  2.43407186e-07 
 2.08929613e+01  2.08929613e+01  3.33476570e-08  2.37879163e-07 
 2.18776162e+01  2.18776162e+01  3.25903792e-08  2.32477266e-07 
 2.29086765e+01  2.29086765e+01  3.18503812e-08  2.27198631e-07 
 2.39883292e+01  2.39883292e+01  3.11272706e-08  2.22040459e-07 
 2.51188643e+01  2.51188643e+01  3.04206639e-08  2.17000014e-07 
 2.63026799e+01  2.63026799e+01  2.97301865e-08  2.12074625e-07 
 2.75422870e+01  2.75422870e+01  2.90554723e-08  2.07261680e-07 
 2.88403150e+01  2.88403150e+01  2.83961636e-08  2.02558627e-07 
 3.01995172e+01  3.01995172e+01  2.77519108e-08  1.97962972e-07 
 3.16227766e+01  3.16227766e+01  2.71223722e-08  1.93472278e-07 
 3.31131121e+01  3.31131121e+01  2.65072140e-08  1.89084165e-07 
 3.46736850e+01  3.46736850e+01  2.59061101e-08  1.84796305e-07 
 3.63078055e+01  3.63078055e+01  2.53187418e-08  1.80606425e-07 
 3.80189396e+01  3.80189396e+01  2.47447976e-08  1.76512303e-07 
 3.98107171e+01  3.98107171e+01  2.41839732e-08  1.72511769e-07 
 4.16869383e+01  4.16869383e+01  2.36359712e-08  1.68602701e-07 
 4.36515832e+01  4.36515832e+01  2.31005010e-08  1.64783026e-07 
