 time            v(A)            v(B)            v(A_GT_B)       v(A_LT_B)       v(A_EQ_B)      
 0.00000000e+00  0.00000000e+00  0.00000000e+00  5.12368022e-09  5.12368010e-09  1.20000000e+00 
 1.00000000e-13  0.00000000e+00  0.00000000e+00  5.12368015e-09  5.12367704e-09  1.20000000e+00 
 2.00000000e-13  0.00000000e+00  0.00000000e+00  5.12368059e-09  5.12367393e-09  1.20000000e+00 
 4.00000000e-13  0.00000000e+00  0.00000000e+00  5.12368081e-09  5.12366816e-09  1.20000000e+00 
 8.00000000e-13  0.00000000e+00  0.00000000e+00  5.12368081e-09  5.12365994e-09  1.20000000e+00 
 1.60000000e-12  0.00000000e+00  0.00000000e+00  5.12368059e-09  5.12365328e-09  1.20000000e+00 
 3.20000000e-12  0.00000000e+00  0.00000000e+00  5.12367992e-09  5.12365095e-09  1.20000000e+00 
 6.40000000e-12  0.00000000e+00  0.00000000e+00  5.12367992e-09  5.12365950e-09  1.20000000e+00 
 1.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368015e-09  5.12367382e-09  1.20000000e+00 
 2.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368009e-09  5.12367937e-09  1.20000000e+00 
 3.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368031e-09  5.12368026e-09  1.20000000e+00 
 4.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368048e-09  5.12368042e-09  1.20000000e+00 
 5.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368009e-09  5.12368042e-09  1.20000000e+00 
 6.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368042e-09  5.12368026e-09  1.20000000e+00 
 7.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368026e-09  5.12367998e-09  1.20000000e+00 
 8.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368009e-09  5.12368020e-09  1.20000000e+00 
 9.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368048e-09  5.12368026e-09  1.20000000e+00 
 1.00000000e-10  0.00000000e+00  0.00000000e+00  5.12368048e-09  5.12368037e-09  1.20000000e+00 
 1.01000000e-10  1.20000000e-02  0.00000000e+00  2.60595077e-03  5.11232676e-04  1.20021943e+00 
 1.03000000e-10  3.60000000e-02  0.00000000e+00  4.83007892e-03  7.64090590e-04  1.20012863e+00 
 1.07000000e-10  8.40000000e-02  0.00000000e+00  2.99769273e-03  2.64684578e-05  1.19978001e+00 
 1.15000000e-10  1.80000000e-01  0.00000000e+00  9.07431333e-04 -2.41925661e-04  1.20005932e+00 
 1.25000000e-10  3.00000000e-01  0.00000000e+00  9.04406567e-04 -1.60235782e-05  1.19997566e+00 
 1.35000000e-10  4.20000000e-01  0.00000000e+00  1.02929102e-03  4.84295621e-06  1.20003096e+00 
 1.45000000e-10  5.40000000e-01  0.00000000e+00  3.44965779e-04 -1.44005348e-04  1.19997994e+00 
 1.55000000e-10  6.60000000e-01  0.00000000e+00 -2.29341802e-03 -4.98650398e-04  1.20001208e+00 
 1.65000000e-10  7.80000000e-01  0.00000000e+00 -7.29911252e-03 -9.77449871e-04  1.19998314e+00 
 1.75000000e-10  9.00000000e-01  0.00000000e+00 -1.57020115e-02 -1.40953869e-03  1.20000099e+00 
 1.85000000e-10  1.02000000e+00  0.00000000e+00 -2.60083845e-02 -1.50223104e-03  1.19999951e+00 
 1.95000000e-10  1.14000000e+00  0.00000000e+00 -3.86255432e-02 -1.43800264e-03  1.20000479e+00 
 2.00000000e-10  1.20000000e+00  0.00000000e+00 -4.66227540e-02 -1.07853305e-03  1.20001590e+00 
 2.01000000e-10  1.20000000e+00  0.00000000e+00 -5.18238542e-02 -1.34845442e-03  1.19978782e+00 
 2.03000000e-10  1.20000000e+00  0.00000000e+00 -6.01194886e-02 -1.01293241e-03  1.19987271e+00 
 2.07000000e-10  1.20000000e+00  0.00000000e+00 -6.86400078e-02  9.84380862e-04  1.20033303e+00 
 2.15000000e-10  1.20000000e+00  0.00000000e+00 -4.96934679e-02  2.26086014e-03  1.20011449e+00 
 2.25000000e-10  1.20000000e+00  0.00000000e+00  1.10806122e-01  1.57788315e-03  1.20011444e+00 
 2.35000000e-10  1.20000000e+00  0.00000000e+00  4.75184137e-01  1.04850260e-03  1.20010973e+00 
 2.45000000e-10  1.20000000e+00  0.00000000e+00  9.42282997e-01  2.46620688e-04  1.19893172e+00 
 2.55000000e-10  1.20000000e+00  0.00000000e+00  1.17103057e+00 -1.81739462e-04  1.19738253e+00 
 2.65000000e-10  1.20000000e+00  0.00000000e+00  1.17831488e+00  2.24111497e-04  1.19780011e+00 
 2.72576494e-10  1.20000000e+00  0.00000000e+00  1.18825323e+00  5.48510996e-04  1.19979044e+00 
 2.81773747e-10  1.20000000e+00  0.00000000e+00  1.19094140e+00  1.65332962e-04  1.20194095e+00 
 2.90801526e-10  1.20000000e+00  0.00000000e+00  1.19507025e+00  7.06436366e-05  1.21330113e+00 
 3.00029233e-10  1.20000000e+00  0.00000000e+00  1.19624266e+00  6.10014014e-05  1.24366596e+00 
 3.10029233e-10  1.20000000e+00  0.00000000e+00  1.19816100e+00  1.06970091e-04  1.27217039e+00 
 3.20029233e-10  1.20000000e+00  0.00000000e+00  1.19851227e+00 -7.47980477e-05  1.20949757e+00 
 3.30029233e-10  1.20000000e+00  0.00000000e+00  1.19933321e+00  4.24316357e-05  8.61938066e-01 
 3.40029233e-10  1.20000000e+00  0.00000000e+00  1.19943340e+00  7.96655796e-06  3.24694694e-01 
 3.50029233e-10  1.20000000e+00  0.00000000e+00  1.19976536e+00 -4.75927332e-06  4.74110025e-02 
 3.60029233e-10  1.20000000e+00  0.00000000e+00  1.19977002e+00  1.51255560e-06  1.86096891e-02 
 3.70029233e-10  1.20000000e+00  0.00000000e+00  1.19992249e+00 -1.44637683e-06  4.56750819e-03 
 3.80029233e-10  1.20000000e+00  0.00000000e+00  1.19991371e+00  1.58226396e-05  3.60501268e-03 
 3.90029233e-10  1.20000000e+00  0.00000000e+00  1.19996963e+00 -2.00870552e-05  6.15355790e-04 
 4.00029233e-10  1.20000000e+00  0.00000000e+00  1.19996662e+00  1.79317962e-05  8.42694425e-04 
 4.10029233e-10  1.20000000e+00  0.00000000e+00  1.19998934e+00 -1.52771402e-05  6.66323556e-05 
 4.20029233e-10  1.20000000e+00  0.00000000e+00  1.19998699e+00  1.26017368e-05  1.98433531e-04 
 4.30029233e-10  1.20000000e+00  0.00000000e+00  1.19999646e+00 -9.96931037e-06  5.19789967e-06 
