 time            v(in1)          v(in2)          v(out)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.20000000e+00 
 1.00000000e-13  0.00000000e+00  0.00000000e+00  1.20000000e+00 
 2.00000000e-13  0.00000000e+00  0.00000000e+00  1.20000000e+00 
 4.00000000e-13  0.00000000e+00  0.00000000e+00  1.20000000e+00 
 8.00000000e-13  0.00000000e+00  0.00000000e+00  1.20000000e+00 
 1.60000000e-12  0.00000000e+00  0.00000000e+00  1.20000000e+00 
 3.20000000e-12  0.00000000e+00  0.00000000e+00  1.20000000e+00 
 6.40000000e-12  0.00000000e+00  0.00000000e+00  1.20000000e+00 
 1.28000000e-11  0.00000000e+00  0.00000000e+00  1.20000000e+00 
 2.28000000e-11  0.00000000e+00  0.00000000e+00  1.20000000e+00 
 3.28000000e-11  0.00000000e+00  0.00000000e+00  1.20000000e+00 
 4.28000000e-11  0.00000000e+00  0.00000000e+00  1.20000000e+00 
 5.28000000e-11  0.00000000e+00  0.00000000e+00  1.20000000e+00 
 6.28000000e-11  0.00000000e+00  0.00000000e+00  1.20000000e+00 
 7.28000000e-11  0.00000000e+00  0.00000000e+00  1.20000000e+00 
 8.28000000e-11  0.00000000e+00  0.00000000e+00  1.20000000e+00 
 9.28000000e-11  0.00000000e+00  0.00000000e+00  1.20000000e+00 
 1.00000000e-10  0.00000000e+00  0.00000000e+00  1.20000000e+00 
 1.00013148e-10  1.57770047e-04  0.00000000e+00  1.20009088e+00 
 1.00039443e-10  4.73310141e-04  0.00000000e+00  1.20027054e+00 
 1.00092033e-10  1.10439033e-03  0.00000000e+00  1.20061757e+00 
 1.00197213e-10  2.36655071e-03  0.00000000e+00  1.20126519e+00 
 1.00407573e-10  4.89087146e-03  0.00000000e+00  1.20239464e+00 
 1.00828293e-10  9.93951296e-03  0.00000000e+00  1.20412137e+00 
 1.01475013e-10  1.77001597e-02  0.00000000e+00  1.20580371e+00 
