 time            v(in1)          v(in2)          v(out)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.19999999e+00 
 1.00000000e-13  0.00000000e+00  0.00000000e+00  1.19999999e+00 
 2.00000000e-13  0.00000000e+00  0.00000000e+00  1.19999999e+00 
 4.00000000e-13  0.00000000e+00  0.00000000e+00  1.19999999e+00 
 8.00000000e-13  0.00000000e+00  0.00000000e+00  1.19999999e+00 
 1.60000000e-12  0.00000000e+00  0.00000000e+00  1.19999999e+00 
 3.20000000e-12  0.00000000e+00  0.00000000e+00  1.19999999e+00 
 6.40000000e-12  0.00000000e+00  0.00000000e+00  1.19999999e+00 
 1.28000000e-11  0.00000000e+00  0.00000000e+00  1.19999999e+00 
 2.28000000e-11  0.00000000e+00  0.00000000e+00  1.19999999e+00 
 3.28000000e-11  0.00000000e+00  0.00000000e+00  1.19999999e+00 
 4.28000000e-11  0.00000000e+00  0.00000000e+00  1.19999999e+00 
 5.28000000e-11  0.00000000e+00  0.00000000e+00  1.19999999e+00 
 6.28000000e-11  0.00000000e+00  0.00000000e+00  1.19999999e+00 
 7.28000000e-11  0.00000000e+00  0.00000000e+00  1.19999999e+00 
 8.28000000e-11  0.00000000e+00  0.00000000e+00  1.19999999e+00 
 9.28000000e-11  0.00000000e+00  0.00000000e+00  1.19999999e+00 
 1.00000000e-10  0.00000000e+00  0.00000000e+00  1.19999999e+00 
 1.00008367e-10  1.00408583e-04  0.00000000e+00  1.20006688e+00 
 1.00025102e-10  3.01225749e-04  0.00000000e+00  1.20020055e+00 
 1.00058572e-10  7.02860082e-04  0.00000000e+00  1.20046722e+00 
 1.00125511e-10  1.50612875e-03  0.00000000e+00  1.20099770e+00 
 1.00259389e-10  3.11266608e-03  0.00000000e+00  1.20204619e+00 
 1.00527145e-10  6.32574074e-03  0.00000000e+00  1.20408711e+00 
 1.01062658e-10  1.27518901e-02  0.00000000e+00  1.20791955e+00 
 1.02133682e-10  2.56041887e-02  0.00000000e+00  1.21456849e+00 
 1.03304215e-10  3.96505836e-02  0.00000000e+00  1.22042769e+00 
 1.04970252e-10  5.96430288e-02  0.00000000e+00  1.22677317e+00 
 1.06512757e-10  7.81530841e-02  0.00000000e+00  1.23105768e+00 
 1.08310766e-10  9.97291870e-02  0.00000000e+00  1.23471237e+00 
 1.10098082e-10  1.21176987e-01  0.00000000e+00  1.23733678e+00 
 1.12297880e-10  1.47574561e-01  0.00000000e+00  1.23966177e+00 
 1.14591973e-10  1.75103679e-01  0.00000000e+00  1.24139886e+00 
 1.17407376e-10  2.08888508e-01  0.00000000e+00  1.24298129e+00 
 1.20418458e-10  2.45021494e-01  0.00000000e+00  1.24432029e+00 
 1.24127061e-10  2.89524730e-01  0.00000000e+00  1.24578194e+00 
 1.28396263e-10  3.40755160e-01  0.00000000e+00  1.24744499e+00 
 1.30799638e-10  3.69595660e-01  0.00000000e+00  1.24841055e+00 
 1.32988612e-10  3.95863345e-01  0.00000000e+00  1.24925271e+00 
