 time            v(in1)          v(in2)          v(out)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  5.12368158e-09 
 1.00000000e-13  0.00000000e+00  0.00000000e+00  5.12368147e-09 
 2.00000000e-13  0.00000000e+00  0.00000000e+00  5.12368147e-09 
 4.00000000e-13  0.00000000e+00  0.00000000e+00  5.12368147e-09 
 8.00000000e-13  0.00000000e+00  0.00000000e+00  5.12368188e-09 
 1.60000000e-12  0.00000000e+00  0.00000000e+00  5.12368322e-09 
 3.20000000e-12  0.00000000e+00  0.00000000e+00  5.12368264e-09 
 6.40000000e-12  0.00000000e+00  0.00000000e+00  5.12368166e-09 
 1.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368135e-09 
 2.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368174e-09 
 3.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368156e-09 
 4.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368174e-09 
 5.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368156e-09 
 6.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368198e-09 
 7.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368192e-09 
 8.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368156e-09 
 9.28000000e-11  0.00000000e+00  0.00000000e+00  5.12368168e-09 
 1.00000000e-10  0.00000000e+00  0.00000000e+00  5.12368157e-09 
 1.00000837e-10  1.00408585e-05  0.00000000e+00  3.48132372e-06 
 1.00002510e-10  3.01225755e-05  0.00000000e+00  1.04319805e-05 
 1.00005857e-10  7.02860095e-05  0.00000000e+00  2.43228173e-05 
 1.00012551e-10  1.50612877e-04  0.00000000e+00  5.20624295e-05 
 1.00025939e-10  3.11266613e-04  0.00000000e+00  1.07372170e-04 
 1.00052715e-10  6.32574085e-04  0.00000000e+00  2.17304216e-04 
 1.00106266e-10  1.27518903e-03  0.00000000e+00  4.34348939e-04 
 1.00213368e-10  2.56041892e-03  0.00000000e+00  8.56696077e-04 
 1.00427573e-10  5.13087869e-03  0.00000000e+00  1.65192373e-03 
 1.00713262e-10  8.55913875e-03  0.00000000e+00  2.60630320e-03 
 1.01016901e-10  1.22028158e-02  0.00000000e+00  3.48753966e-03 
 1.01379730e-10  1.65567567e-02  0.00000000e+00  4.36977661e-03 
 1.01772268e-10  2.12672153e-02  0.00000000e+00  5.13410116e-03 
 1.02253401e-10  2.70408102e-02  0.00000000e+00  5.83901259e-03 
 1.02792382e-10  3.35085810e-02  0.00000000e+00  6.37845417e-03 
 1.03362905e-10  4.03548625e-02  0.00000000e+00  6.72291668e-03 
 1.03935697e-10  4.72283684e-02  0.00000000e+00  6.89058306e-03 
 1.04514916e-10  5.41789929e-02  0.00000000e+00  6.92582334e-03 
 1.05125043e-10  6.15005152e-02  0.00000000e+00  6.85757959e-03 
 1.05772720e-10  6.92726404e-02  0.00000000e+00  6.70262384e-03 
 1.06467408e-10  7.76088968e-02  0.00000000e+00  6.47419262e-03 
 1.07209892e-10  8.65187066e-02  0.00000000e+00  6.18755090e-03 
 1.07996858e-10  9.59622957e-02  0.00000000e+00  5.85921987e-03 
 1.08868217e-10  1.06418607e-01  0.00000000e+00  5.48634548e-03 
 1.09796738e-10  1.17560862e-01  0.00000000e+00  5.09478031e-03 
 1.10770803e-10  1.29249631e-01  0.00000000e+00  4.70204861e-03 
 1.11825144e-10  1.41901729e-01  0.00000000e+00  4.30533245e-03 
 1.12937303e-10  1.55247631e-01  0.00000000e+00  3.92259878e-03 
 1.14126343e-10  1.69516114e-01  0.00000000e+00  3.55471008e-03 
 1.15370910e-10  1.84450918e-01  0.00000000e+00  3.21362259e-03 
 1.16689466e-10  2.00273590e-01  0.00000000e+00  2.89774709e-03 
 1.18064896e-10  2.16778752e-01  0.00000000e+00  2.61335452e-03 
 1.19514749e-10  2.34176988e-01  0.00000000e+00  2.35784823e-03 
 1.21026290e-10  2.52315485e-01  0.00000000e+00  2.13389858e-03 
 1.22617132e-10  2.71405585e-01  0.00000000e+00  1.93876737e-03 
 1.24280173e-10  2.91362081e-01  0.00000000e+00  1.77297897e-03 
 1.26037638e-10  3.12451652e-01  0.00000000e+00  1.63361021e-03 
 1.27903648e-10  3.34843776e-01  0.00000000e+00  1.51835808e-03 
 1.29352546e-10  3.52230550e-01  0.00000000e+00  1.44681617e-03 
 1.30674485e-10  3.68093819e-01  0.00000000e+00  1.38892779e-03 
 1.31977502e-10  3.83730024e-01  0.00000000e+00  1.33323114e-03 
 1.33396231e-10  4.00754772e-01  0.00000000e+00  1.26552639e-03 
 1.34736974e-10  4.16843686e-01  0.00000000e+00  1.18414251e-03 
 1.35963449e-10  4.31561393e-01  0.00000000e+00  1.08631031e-03 
 1.37146635e-10  4.45759618e-01  0.00000000e+00  9.64190588e-04 
 1.38435683e-10  4.61228193e-01  0.00000000e+00  7.94274603e-04 
